[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=CACHE  cpu2=BUS  cpu3=POINTER  cpu4=PIPELINE
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=iir cycles=17226 instructions=2592 cache-misses=21
[sample=1] cpu=0 bench=iir cycles=15233 instructions=2588 cache-misses=14
[sample=2] cpu=0 bench=iir cycles=9260 instructions=2588 cache-misses=9
[sample=3] cpu=0 bench=iir cycles=5181 instructions=2588 cache-misses=8
[sample=4] cpu=0 bench=iir cycles=3568 instructions=2588 cache-misses=5
[sample=5] cpu=0 bench=iir cycles=3644 instructions=2588 cache-misses=8
[sample=6] cpu=0 bench=iir cycles=3611 instructions=2588 cache-misses=7
[sample=7] cpu=0 bench=iir cycles=3596 instructions=2589 cache-misses=5
[sample=8] cpu=0 bench=iir cycles=4542 instructions=2589 cache-misses=6
[sample=9] cpu=0 bench=iir cycles=4295 instructions=2589 cache-misses=12
[sample=10] cpu=0 bench=iir cycles=3616 instructions=2589 cache-misses=5
[sample=11] cpu=0 bench=iir cycles=3712 instructions=2589 cache-misses=7
[sample=12] cpu=0 bench=iir cycles=3614 instructions=2589 cache-misses=8
[sample=13] cpu=0 bench=iir cycles=3638 instructions=2589 cache-misses=10
[sample=14] cpu=0 bench=iir cycles=3628 instructions=2589 cache-misses=7
[sample=15] cpu=0 bench=iir cycles=4207 instructions=2589 cache-misses=6
[sample=16] cpu=0 bench=iir cycles=3605 instructions=2589 cache-misses=8
[sample=17] cpu=0 bench=iir cycles=3584 instructions=2589 cache-misses=6
[sample=18] cpu=0 bench=iir cycles=3615 instructions=2589 cache-misses=7
[sample=19] cpu=0 bench=iir cycles=3635 instructions=2589 cache-misses=9
[sample=20] cpu=0 bench=iir cycles=3579 instructions=2589 cache-misses=8
[sample=21] cpu=0 bench=iir cycles=3592 instructions=2588 cache-misses=6
[sample=22] cpu=0 bench=iir cycles=3646 instructions=2589 cache-misses=8
[sample=23] cpu=0 bench=iir cycles=3624 instructions=2589 cache-misses=7
[sample=24] cpu=0 bench=iir cycles=3655 instructions=2588 cache-misses=7
[sample=25] cpu=0 bench=iir cycles=3620 instructions=2588 cache-misses=6
[sample=26] cpu=0 bench=iir cycles=3614 instructions=2589 cache-misses=7
[sample=27] cpu=0 bench=iir cycles=3599 instructions=2589 cache-misses=6
[sample=28] cpu=0 bench=iir cycles=3627 instructions=2589 cache-misses=9
[sample=29] cpu=0 bench=iir cycles=3656 instructions=2589 cache-misses=8
[sample=30] cpu=0 bench=iir cycles=3621 instructions=2589 cache-misses=7
[sample=31] cpu=0 bench=iir cycles=3630 instructions=2589 cache-misses=8
[sample=32] cpu=0 bench=iir cycles=3626 instructions=2589 cache-misses=6
[sample=33] cpu=0 bench=iir cycles=3631 instructions=2589 cache-misses=9
[sample=34] cpu=0 bench=iir cycles=3596 instructions=2589 cache-misses=6
[sample=35] cpu=0 bench=iir cycles=3617 instructions=2589 cache-misses=7
[sample=36] cpu=0 bench=iir cycles=3614 instructions=2589 cache-misses=7
[sample=37] cpu=0 bench=iir cycles=3578 instructions=2589 cache-misses=6
[sample=38] cpu=0 bench=iir cycles=3634 instructions=2589 cache-misses=8
[sample=39] cpu=0 bench=iir cycles=3605 instructions=2589 cache-misses=6
[sample=40] cpu=0 bench=iir cycles=3617 instructions=2589 cache-misses=6
[sample=41] cpu=0 bench=iir cycles=3567 instructions=2589 cache-misses=8
[sample=42] cpu=0 bench=iir cycles=3602 instructions=2589 cache-misses=9
[sample=43] cpu=0 bench=iir cycles=3575 instructions=2588 cache-misses=4
[sample=44] cpu=0 bench=iir cycles=3628 instructions=2589 cache-misses=6
[sample=45] cpu=0 bench=iir cycles=3586 instructions=2589 cache-misses=6
[sample=46] cpu=0 bench=iir cycles=4050 instructions=2589 cache-misses=5
[sample=47] cpu=0 bench=iir cycles=3579 instructions=2589 cache-misses=6
[sample=48] cpu=0 bench=iir cycles=3609 instructions=2589 cache-misses=8
[sample=49] cpu=0 bench=iir cycles=4109 instructions=2589 cache-misses=9
[sample=50] cpu=0 bench=iir cycles=3641 instructions=2588 cache-misses=10
[sample=51] cpu=0 bench=iir cycles=3611 instructions=2588 cache-misses=12
[sample=52] cpu=0 bench=iir cycles=3557 instructions=2589 cache-misses=4
[sample=53] cpu=0 bench=iir cycles=3625 instructions=2589 cache-misses=12
[sample=54] cpu=0 bench=iir cycles=3600 instructions=2588 cache-misses=6
[sample=55] cpu=0 bench=iir cycles=3594 instructions=2589 cache-misses=4
[sample=56] cpu=0 bench=iir cycles=3599 instructions=2589 cache-misses=6
[sample=57] cpu=0 bench=iir cycles=3579 instructions=2589 cache-misses=6
[sample=58] cpu=0 bench=iir cycles=3597 instructions=2589 cache-misses=7
[sample=59] cpu=0 bench=iir cycles=3658 instructions=2589 cache-misses=7
[sample=60] cpu=0 bench=iir cycles=3605 instructions=2589 cache-misses=5
[sample=61] cpu=0 bench=iir cycles=3645 instructions=2589 cache-misses=9
[sample=62] cpu=0 bench=iir cycles=3640 instructions=2589 cache-misses=8
[sample=63] cpu=0 bench=iir cycles=3607 instructions=2589 cache-misses=6
[sample=64] cpu=0 bench=iir cycles=3598 instructions=2589 cache-misses=6
[sample=65] cpu=0 bench=iir cycles=3617 instructions=2589 cache-misses=6
[sample=66] cpu=0 bench=iir cycles=3650 instructions=2589 cache-misses=7
[sample=67] cpu=0 bench=iir cycles=3566 instructions=2589 cache-misses=7
[sample=68] cpu=0 bench=iir cycles=3592 instructions=2589 cache-misses=11
[sample=69] cpu=0 bench=iir cycles=3660 instructions=2589 cache-misses=9
[sample=70] cpu=0 bench=iir cycles=3597 instructions=2588 cache-misses=6
[sample=71] cpu=0 bench=iir cycles=3609 instructions=2588 cache-misses=9
[sample=72] cpu=0 bench=iir cycles=3648 instructions=2589 cache-misses=9
[sample=73] cpu=0 bench=iir cycles=3604 instructions=2589 cache-misses=7
[sample=74] cpu=0 bench=iir cycles=3601 instructions=2589 cache-misses=4
[sample=75] cpu=0 bench=iir cycles=3613 instructions=2589 cache-misses=8
[sample=76] cpu=0 bench=iir cycles=3621 instructions=2589 cache-misses=7
[sample=77] cpu=0 bench=iir cycles=3606 instructions=2588 cache-misses=6
[sample=78] cpu=0 bench=iir cycles=3593 instructions=2588 cache-misses=7
[sample=79] cpu=0 bench=iir cycles=3629 instructions=2589 cache-misses=7
[sample=80] cpu=0 bench=iir cycles=3598 instructions=2588 cache-misses=8
[sample=81] cpu=0 bench=iir cycles=3866 instructions=2588 cache-misses=6
[sample=82] cpu=0 bench=iir cycles=3623 instructions=2588 cache-misses=9
[sample=83] cpu=0 bench=iir cycles=3639 instructions=2588 cache-misses=7
[sample=84] cpu=0 bench=iir cycles=3665 instructions=2589 cache-misses=9
[sample=85] cpu=0 bench=iir cycles=3619 instructions=2589 cache-misses=7
[sample=86] cpu=0 bench=iir cycles=3664 instructions=2588 cache-misses=9
[sample=87] cpu=0 bench=iir cycles=3592 instructions=2589 cache-misses=6
[sample=88] cpu=0 bench=iir cycles=5271 instructions=2589 cache-misses=13
[sample=89] cpu=0 bench=iir cycles=3684 instructions=2589 cache-misses=10
[sample=90] cpu=0 bench=iir cycles=3622 instructions=2589 cache-misses=5
[sample=91] cpu=0 bench=iir cycles=3584 instructions=2588 cache-misses=8
[sample=92] cpu=0 bench=iir cycles=3608 instructions=2588 cache-misses=7
[sample=93] cpu=0 bench=iir cycles=3608 instructions=2589 cache-misses=7
[sample=94] cpu=0 bench=iir cycles=3646 instructions=2588 cache-misses=10
[sample=95] cpu=0 bench=iir cycles=3597 instructions=2588 cache-misses=6
[sample=96] cpu=0 bench=iir cycles=3623 instructions=2588 cache-misses=8
[sample=97] cpu=0 bench=iir cycles=3612 instructions=2588 cache-misses=8
[sample=98] cpu=0 bench=iir cycles=3617 instructions=2589 cache-misses=8
[sample=99] cpu=0 bench=iir cycles=3638 instructions=2589 cache-misses=9

# Statistics over 100 samples on cpu0 bench=iir (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                        3557                17226              3990.34              3617.00
  instructions                  2588                 2592              2588.75              2589.00
  cache-misses                     4                   21                 7.55                 7.00
