[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=MEM  cpu2=MEM  cpu3=BUS
[sample=0] cpu=0 bench=insertsort cycles=49560 instructions=2953 cache-misses=26
[sample=1] cpu=0 bench=insertsort cycles=45864 instructions=2946 cache-misses=20
[sample=2] cpu=0 bench=insertsort cycles=4561 instructions=2946 cache-misses=5
[sample=3] cpu=0 bench=insertsort cycles=6940 instructions=2946 cache-misses=4
[sample=4] cpu=0 bench=insertsort cycles=4250 instructions=2946 cache-misses=1
[sample=5] cpu=0 bench=insertsort cycles=4205 instructions=2946 cache-misses=1
[sample=6] cpu=0 bench=insertsort cycles=4538 instructions=2946 cache-misses=1
[sample=7] cpu=0 bench=insertsort cycles=4442 instructions=2946 cache-misses=1
[sample=8] cpu=0 bench=insertsort cycles=4201 instructions=2946 cache-misses=1
[sample=9] cpu=0 bench=insertsort cycles=4173 instructions=2946 cache-misses=0
[sample=10] cpu=0 bench=insertsort cycles=4338 instructions=2946 cache-misses=1
[sample=11] cpu=0 bench=insertsort cycles=4357 instructions=2946 cache-misses=2
[sample=12] cpu=0 bench=insertsort cycles=4630 instructions=2946 cache-misses=1
[sample=13] cpu=0 bench=insertsort cycles=4277 instructions=2946 cache-misses=2
[sample=14] cpu=0 bench=insertsort cycles=4499 instructions=2946 cache-misses=1
[sample=15] cpu=0 bench=insertsort cycles=4423 instructions=2946 cache-misses=2
[sample=16] cpu=0 bench=insertsort cycles=4383 instructions=2947 cache-misses=2
[sample=17] cpu=0 bench=insertsort cycles=4258 instructions=2946 cache-misses=0
[sample=18] cpu=0 bench=insertsort cycles=4548 instructions=2946 cache-misses=1
[sample=19] cpu=0 bench=insertsort cycles=4412 instructions=2946 cache-misses=3
[sample=20] cpu=0 bench=insertsort cycles=4631 instructions=2946 cache-misses=2
[sample=21] cpu=0 bench=insertsort cycles=4508 instructions=2946 cache-misses=2
[sample=22] cpu=0 bench=insertsort cycles=7460 instructions=2946 cache-misses=2
[sample=23] cpu=0 bench=insertsort cycles=4317 instructions=2946 cache-misses=3
[sample=24] cpu=0 bench=insertsort cycles=4336 instructions=2946 cache-misses=1
[sample=25] cpu=0 bench=insertsort cycles=4600 instructions=2946 cache-misses=2
[sample=26] cpu=0 bench=insertsort cycles=4473 instructions=2946 cache-misses=2
[sample=27] cpu=0 bench=insertsort cycles=4265 instructions=2946 cache-misses=0
[sample=28] cpu=0 bench=insertsort cycles=4553 instructions=2946 cache-misses=1
[sample=29] cpu=0 bench=insertsort cycles=4285 instructions=2946 cache-misses=2
[sample=30] cpu=0 bench=insertsort cycles=4172 instructions=2946 cache-misses=1
[sample=31] cpu=0 bench=insertsort cycles=4820 instructions=2946 cache-misses=2
[sample=32] cpu=0 bench=insertsort cycles=4589 instructions=2946 cache-misses=2
