[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=MEM  cpu2=MEM  cpu3=POINTER
[sample=0] cpu=0 bench=insertsort cycles=38703 instructions=2954 cache-misses=27
[sample=1] cpu=0 bench=insertsort cycles=6387 instructions=2946 cache-misses=10
[sample=2] cpu=0 bench=insertsort cycles=32610 instructions=2948 cache-misses=32
[sample=3] cpu=0 bench=insertsort cycles=5243 instructions=2946 cache-misses=7
[sample=4] cpu=0 bench=insertsort cycles=5906 instructions=2946 cache-misses=6
[sample=5] cpu=0 bench=insertsort cycles=4836 instructions=2946 cache-misses=2
[sample=6] cpu=0 bench=insertsort cycles=6377 instructions=2946 cache-misses=5
[sample=7] cpu=0 bench=insertsort cycles=4881 instructions=2946 cache-misses=3
[sample=8] cpu=0 bench=insertsort cycles=4819 instructions=2946 cache-misses=3
[sample=9] cpu=0 bench=insertsort cycles=4741 instructions=2946 cache-misses=3
[sample=10] cpu=0 bench=insertsort cycles=4750 instructions=2946 cache-misses=2
[sample=11] cpu=0 bench=insertsort cycles=4286 instructions=2946 cache-misses=3
[sample=12] cpu=0 bench=insertsort cycles=4646 instructions=2946 cache-misses=2
[sample=13] cpu=0 bench=insertsort cycles=4448 instructions=2946 cache-misses=2
[sample=14] cpu=0 bench=insertsort cycles=5131 instructions=2946 cache-misses=2
[sample=15] cpu=0 bench=insertsort cycles=4362 instructions=2946 cache-misses=1
[sample=16] cpu=0 bench=insertsort cycles=4673 instructions=2946 cache-misses=2
[sample=17] cpu=0 bench=insertsort cycles=9228 instructions=2946 cache-misses=2
[sample=18] cpu=0 bench=insertsort cycles=4676 instructions=2946 cache-misses=3
[sample=19] cpu=0 bench=insertsort cycles=4511 instructions=2946 cache-misses=2
[sample=20] cpu=0 bench=insertsort cycles=4316 instructions=2946 cache-misses=2
[sample=21] cpu=0 bench=insertsort cycles=4566 instructions=2946 cache-misses=2
[sample=22] cpu=0 bench=insertsort cycles=4560 instructions=2946 cache-misses=0
[sample=23] cpu=0 bench=insertsort cycles=9582 instructions=2946 cache-misses=2
[sample=24] cpu=0 bench=insertsort cycles=4925 instructions=2946 cache-misses=3
[sample=25] cpu=0 bench=insertsort cycles=4574 instructions=2946 cache-misses=1
[sample=26] cpu=0 bench=insertsort cycles=4752 instructions=2946 cache-misses=3
[sample=27] cpu=0 bench=insertsort cycles=4606 instructions=2946 cache-misses=3
[sample=28] cpu=0 bench=insertsort cycles=4756 instructions=2946 cache-misses=3
[sample=29] cpu=0 bench=insertsort cycles=4239 instructions=2946 cache-misses=1
[sample=30] cpu=0 bench=insertsort cycles=4551 instructions=2946 cache-misses=2
[sample=31] cpu=0 bench=insertsort cycles=5306 instructions=2946 cache-misses=3
[sample=32] cpu=0 bench=insertsort cycles=4579 instructions=2946 cache-misses=2
[sample=33] cpu=0 bench=insertsort cycles=4909 instructions=2946 cache-misses=2
[sample=34] cpu=0 bench=insertsort cycles=4510 instructions=2946 cache-misses=1
[sample=35] cpu=0 bench=insertsort cycles=4609 instructions=2946 cache-misses=1
[sample=36] cpu=0 bench=insertsort cycles=4456 instructions=2946 cache-misses=2
[sample=37] cpu=0 bench=insertsort cycles=4292 instructions=2946 cache-misses=2
[sample=38] cpu=0 bench=insertsort cycles=4569 instructions=2946 cache-misses=1
[sample=39] cpu=0 bench=insertsort cycles=4290 instructions=2946 cache-misses=2
[sample=40] cpu=0 bench=insertsort cycles=4875 instructions=2946 cache-misses=3
[sample=41] cpu=0 bench=insertsort cycles=4505 instructions=2946 cache-misses=2
[sample=42] cpu=0 bench=insertsort cycles=4498 instructions=2946 cache-misses=2
[sample=43] cpu=0 bench=insertsort cycles=4678 instructions=2946 cache-misses=3
[sample=44] cpu=0 bench=insertsort cycles=9528 instructions=2946 cache-misses=1
[sample=45] cpu=0 bench=insertsort cycles=4643 instructions=2946 cache-misses=2
[sample=46] cpu=0 bench=insertsort cycles=4676 instructions=2946 cache-misses=2
[sample=47] cpu=0 bench=insertsort cycles=4618 instructions=2946 cache-misses=1
[sample=48] cpu=0 bench=insertsort cycles=4458 instructions=2946 cache-misses=2
[sample=49] cpu=0 bench=insertsort cycles=4970 instructions=2946 cache-misses=3
[sample=50] cpu=0 bench=insertsort cycles=4525 instructions=2946 cache-misses=2
[sample=51] cpu=0 bench=insertsort cycles=4868 instructions=2946 cache-misses=2
[sample=52] cpu=0 bench=insertsort cycles=4377 instructions=2946 cache-misses=2
[sample=53] cpu=0 bench=insertsort cycles=4757 instructions=2946 cache-misses=1
[sample=54] cpu=0 bench=insertsort cycles=4922 instructions=2946 cache-misses=2
[sample=55] cpu=0 bench=insertsort cycles=4715 instructions=2946 cache-misses=2
[sample=56] cpu=0 bench=insertsort cycles=4676 instructions=2946 cache-misses=2
[sample=57] cpu=0 bench=insertsort cycles=4856 instructions=2946 cache-misses=1
[sample=58] cpu=0 bench=insertsort cycles=4433 instructions=2946 cache-misses=2
[sample=59] cpu=0 bench=insertsort cycles=4652 instructions=2946 cache-misses=2
[sample=60] cpu=0 bench=insertsort cycles=4613 instructions=2946 cache-misses=3
[sample=61] cpu=0 bench=insertsort cycles=4343 instructions=2946 cache-misses=2
[sample=62] cpu=0 bench=insertsort cycles=26541 instructions=2946 cache-misses=23
[sample=63] cpu=0 bench=insertsort cycles=6228 instructions=2946 cache-misses=8
[sample=64] cpu=0 bench=insertsort cycles=4527 instructions=2946 cache-misses=2
[sample=65] cpu=0 bench=insertsort cycles=9345 instructions=2946 cache-misses=2
[sample=66] cpu=0 bench=insertsort cycles=4545 instructions=2946 cache-misses=4
[sample=67] cpu=0 bench=insertsort cycles=4962 instructions=2946 cache-misses=2
[sample=68] cpu=0 bench=insertsort cycles=4466 instructions=2946 cache-misses=2
[sample=69] cpu=0 bench=insertsort cycles=4751 instructions=2946 cache-misses=2
[sample=70] cpu=0 bench=insertsort cycles=4674 instructions=2946 cache-misses=3
[sample=71] cpu=0 bench=insertsort cycles=4151 instructions=2946 cache-misses=1
[sample=72] cpu=0 bench=insertsort cycles=4590 instructions=2946 cache-misses=3
[sample=73] cpu=0 bench=insertsort cycles=4482 instructions=2946 cache-misses=2
[sample=74] cpu=0 bench=insertsort cycles=4813 instructions=2946 cache-misses=3
[sample=75] cpu=0 bench=insertsort cycles=5052 instructions=2946 cache-misses=3
[sample=76] cpu=0 bench=insertsort cycles=4366 instructions=2946 cache-misses=3
[sample=77] cpu=0 bench=insertsort cycles=4769 instructions=2946 cache-misses=2
[sample=78] cpu=0 bench=insertsort cycles=4610 instructions=2946 cache-misses=3
[sample=79] cpu=0 bench=insertsort cycles=4347 instructions=2946 cache-misses=3
[sample=80] cpu=0 bench=insertsort cycles=4470 instructions=2946 cache-misses=2
[sample=81] cpu=0 bench=insertsort cycles=4637 instructions=2946 cache-misses=1
[sample=82] cpu=0 bench=insertsort cycles=4510 instructions=2946 cache-misses=1
[sample=83] cpu=0 bench=insertsort cycles=4981 instructions=2946 cache-misses=4
[sample=84] cpu=0 bench=insertsort cycles=4505 instructions=2946 cache-misses=2
[sample=85] cpu=0 bench=insertsort cycles=4528 instructions=2946 cache-misses=1
[sample=86] cpu=0 bench=insertsort cycles=4633 instructions=2946 cache-misses=0
[sample=87] cpu=0 bench=insertsort cycles=5006 instructions=2946 cache-misses=2
[sample=88] cpu=0 bench=insertsort cycles=4225 instructions=2946 cache-misses=1
[sample=89] cpu=0 bench=insertsort cycles=4594 instructions=2946 cache-misses=3
[sample=90] cpu=0 bench=insertsort cycles=4482 instructions=2946 cache-misses=2
[sample=91] cpu=0 bench=insertsort cycles=4440 instructions=2946 cache-misses=1
[sample=92] cpu=0 bench=insertsort cycles=4315 instructions=2946 cache-misses=1
