[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=insertsort cycles=49619 instructions=2953 cache-misses=26
[sample=1] cpu=0 bench=insertsort cycles=9843 instructions=2946 cache-misses=18
[sample=2] cpu=0 bench=insertsort cycles=7882 instructions=2946 cache-misses=15
[sample=3] cpu=0 bench=insertsort cycles=7046 instructions=2946 cache-misses=14
[sample=4] cpu=0 bench=insertsort cycles=7335 instructions=2946 cache-misses=11
[sample=5] cpu=0 bench=insertsort cycles=7662 instructions=2946 cache-misses=16
[sample=6] cpu=0 bench=insertsort cycles=8225 instructions=2946 cache-misses=13
[sample=7] cpu=0 bench=insertsort cycles=6939 instructions=2946 cache-misses=16
[sample=8] cpu=0 bench=insertsort cycles=6870 instructions=2946 cache-misses=15
[sample=9] cpu=0 bench=insertsort cycles=6479 instructions=2946 cache-misses=13
[sample=10] cpu=0 bench=insertsort cycles=7407 instructions=2946 cache-misses=16
[sample=11] cpu=0 bench=insertsort cycles=6188 instructions=2946 cache-misses=14
[sample=12] cpu=0 bench=insertsort cycles=7800 instructions=2946 cache-misses=14
[sample=13] cpu=0 bench=insertsort cycles=8050 instructions=2947 cache-misses=13
[sample=14] cpu=0 bench=insertsort cycles=6561 instructions=2946 cache-misses=14
[sample=15] cpu=0 bench=insertsort cycles=6387 instructions=2946 cache-misses=12
[sample=16] cpu=0 bench=insertsort cycles=8510 instructions=2946 cache-misses=18
[sample=17] cpu=0 bench=insertsort cycles=6681 instructions=2946 cache-misses=13
[sample=18] cpu=0 bench=insertsort cycles=8248 instructions=2946 cache-misses=16
[sample=19] cpu=0 bench=insertsort cycles=6408 instructions=2946 cache-misses=13
[sample=20] cpu=0 bench=insertsort cycles=7802 instructions=2946 cache-misses=13
[sample=21] cpu=0 bench=insertsort cycles=7407 instructions=2946 cache-misses=14
[sample=22] cpu=0 bench=insertsort cycles=8550 instructions=2947 cache-misses=17
[sample=23] cpu=0 bench=insertsort cycles=7731 instructions=2946 cache-misses=13
[sample=24] cpu=0 bench=insertsort cycles=6622 instructions=2946 cache-misses=15
[sample=25] cpu=0 bench=insertsort cycles=7872 instructions=2946 cache-misses=16
[sample=26] cpu=0 bench=insertsort cycles=7391 instructions=2946 cache-misses=13
[sample=27] cpu=0 bench=insertsort cycles=12667 instructions=2946 cache-misses=14
[sample=28] cpu=0 bench=insertsort cycles=8034 instructions=2946 cache-misses=17
[sample=29] cpu=0 bench=insertsort cycles=8769 instructions=2946 cache-misses=14
[sample=30] cpu=0 bench=insertsort cycles=7493 instructions=2946 cache-misses=16
[sample=31] cpu=0 bench=insertsort cycles=6628 instructions=2946 cache-misses=12
[sample=32] cpu=0 bench=insertsort cycles=6467 instructions=2946 cache-misses=13
[sample=33] cpu=0 bench=insertsort cycles=6396 instructions=2946 cache-misses=16
[sample=34] cpu=0 bench=insertsort cycles=6346 instructions=2946 cache-misses=17
[sample=35] cpu=0 bench=insertsort cycles=6161 instructions=2946 cache-misses=13
[sample=36] cpu=0 bench=insertsort cycles=10909 instructions=2946 cache-misses=13
[sample=37] cpu=0 bench=insertsort cycles=6047 instructions=2946 cache-misses=15
[sample=38] cpu=0 bench=insertsort cycles=8001 instructions=2946 cache-misses=13
[sample=39] cpu=0 bench=insertsort cycles=6138 instructions=2946 cache-misses=13
[sample=40] cpu=0 bench=insertsort cycles=6818 instructions=2946 cache-misses=17
[sample=41] cpu=0 bench=insertsort cycles=7458 instructions=2946 cache-misses=14
[sample=42] cpu=0 bench=insertsort cycles=6978 instructions=2946 cache-misses=14
[sample=43] cpu=0 bench=insertsort cycles=7417 instructions=2946 cache-misses=15
[sample=44] cpu=0 bench=insertsort cycles=6201 instructions=2946 cache-misses=15
[sample=45] cpu=0 bench=insertsort cycles=5566 instructions=2946 cache-misses=14
[sample=46] cpu=0 bench=insertsort cycles=7050 instructions=2946 cache-misses=12
[sample=47] cpu=0 bench=insertsort cycles=6937 instructions=2946 cache-misses=13
[sample=48] cpu=0 bench=insertsort cycles=7195 instructions=2946 cache-misses=15
[sample=49] cpu=0 bench=insertsort cycles=5581 instructions=2946 cache-misses=13
[sample=50] cpu=0 bench=insertsort cycles=6483 instructions=2946 cache-misses=14
[sample=51] cpu=0 bench=insertsort cycles=7094 instructions=2946 cache-misses=12
[sample=52] cpu=0 bench=insertsort cycles=7076 instructions=2946 cache-misses=15
[sample=53] cpu=0 bench=insertsort cycles=7883 instructions=2946 cache-misses=14
[sample=54] cpu=0 bench=insertsort cycles=6163 instructions=2946 cache-misses=13
[sample=55] cpu=0 bench=insertsort cycles=7348 instructions=2946 cache-misses=14
[sample=56] cpu=0 bench=insertsort cycles=6488 instructions=2946 cache-misses=17
[sample=57] cpu=0 bench=insertsort cycles=6349 instructions=2946 cache-misses=14
[sample=58] cpu=0 bench=insertsort cycles=7722 instructions=2946 cache-misses=16
[sample=59] cpu=0 bench=insertsort cycles=8761 instructions=2947 cache-misses=12
[sample=60] cpu=0 bench=insertsort cycles=6846 instructions=2946 cache-misses=12
[sample=61] cpu=0 bench=insertsort cycles=6832 instructions=2946 cache-misses=13
[sample=62] cpu=0 bench=insertsort cycles=6974 instructions=2946 cache-misses=12
[sample=63] cpu=0 bench=insertsort cycles=6674 instructions=2946 cache-misses=14
[sample=64] cpu=0 bench=insertsort cycles=7471 instructions=2946 cache-misses=13
[sample=65] cpu=0 bench=insertsort cycles=6675 instructions=2946 cache-misses=13
[sample=66] cpu=0 bench=insertsort cycles=5504 instructions=2946 cache-misses=12
[sample=67] cpu=0 bench=insertsort cycles=7212 instructions=2946 cache-misses=12
[sample=68] cpu=0 bench=insertsort cycles=6815 instructions=2946 cache-misses=13
[sample=69] cpu=0 bench=insertsort cycles=6842 instructions=2946 cache-misses=12
[sample=70] cpu=0 bench=insertsort cycles=7740 instructions=2946 cache-misses=14
[sample=71] cpu=0 bench=insertsort cycles=6704 instructions=2946 cache-misses=14
[sample=72] cpu=0 bench=insertsort cycles=6654 instructions=2946 cache-misses=14
[sample=73] cpu=0 bench=insertsort cycles=7000 instructions=2946 cache-misses=14
[sample=74] cpu=0 bench=insertsort cycles=6388 instructions=2946 cache-misses=11
[sample=75] cpu=0 bench=insertsort cycles=6838 instructions=2946 cache-misses=12
[sample=76] cpu=0 bench=insertsort cycles=7488 instructions=2946 cache-misses=16
[sample=77] cpu=0 bench=insertsort cycles=6503 instructions=2946 cache-misses=13
[sample=78] cpu=0 bench=insertsort cycles=6638 instructions=2946 cache-misses=14
[sample=79] cpu=0 bench=insertsort cycles=6931 instructions=2946 cache-misses=12
[sample=80] cpu=0 bench=insertsort cycles=7639 instructions=2946 cache-misses=12
[sample=81] cpu=0 bench=insertsort cycles=6860 instructions=2946 cache-misses=14
[sample=82] cpu=0 bench=insertsort cycles=7996 instructions=2946 cache-misses=18
[sample=83] cpu=0 bench=insertsort cycles=8558 instructions=2946 cache-misses=14
[sample=84] cpu=0 bench=insertsort cycles=6032 instructions=2946 cache-misses=12
[sample=85] cpu=0 bench=insertsort cycles=19631 instructions=2946 cache-misses=22
[sample=86] cpu=0 bench=insertsort cycles=8893 instructions=2946 cache-misses=15
[sample=87] cpu=0 bench=insertsort cycles=8915 instructions=2946 cache-misses=18
[sample=88] cpu=0 bench=insertsort cycles=6365 instructions=2946 cache-misses=17
[sample=89] cpu=0 bench=insertsort cycles=6355 instructions=2946 cache-misses=14
[sample=90] cpu=0 bench=insertsort cycles=7166 instructions=2946 cache-misses=13
[sample=91] cpu=0 bench=insertsort cycles=6833 instructions=2946 cache-misses=13
[sample=92] cpu=0 bench=insertsort cycles=6687 instructions=2946 cache-misses=13
[sample=93] cpu=0 bench=insertsort cycles=7640 instructions=2946 cache-misses=12
[sample=94] cpu=0 bench=insertsort cycles=8899 instructions=2946 cache-misses=15
[sample=95] cpu=0 bench=insertsort cycles=6372 instructions=2946 cache-misses=11
[sample=96] cpu=0 bench=insertsort cycles=7928 instructions=2946 cache-misses=15
[sample=97] cpu=0 bench=insertsort cycles=7612 instructions=2946 cache-misses=14
[sample=98] cpu=0 bench=insertsort cycles=7419 instructions=2946 cache-misses=12
[sample=99] cpu=0 bench=insertsort cycles=6100 instructions=2946 cache-misses=14

# Statistics over 100 samples on cpu0 bench=insertsort (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        5504                49619              7787.68              7023.00
  instructions                  2946                 2953              2946.10              2946.00
  cache-misses                    11                   26                14.18                14.00
