[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=insertsort cycles=55521 instructions=2953 cache-misses=23
[sample=1] cpu=0 bench=insertsort cycles=10086 instructions=2946 cache-misses=17
[sample=2] cpu=0 bench=insertsort cycles=9240 instructions=2946 cache-misses=15
[sample=3] cpu=0 bench=insertsort cycles=8580 instructions=2946 cache-misses=13
[sample=4] cpu=0 bench=insertsort cycles=8671 instructions=2946 cache-misses=14
[sample=5] cpu=0 bench=insertsort cycles=9144 instructions=2946 cache-misses=14
[sample=6] cpu=0 bench=insertsort cycles=9099 instructions=2946 cache-misses=19
[sample=7] cpu=0 bench=insertsort cycles=12365 instructions=2946 cache-misses=14
[sample=8] cpu=0 bench=insertsort cycles=6342 instructions=2946 cache-misses=14
[sample=9] cpu=0 bench=insertsort cycles=6634 instructions=2946 cache-misses=20
[sample=10] cpu=0 bench=insertsort cycles=11083 instructions=2946 cache-misses=13
[sample=11] cpu=0 bench=insertsort cycles=7737 instructions=2946 cache-misses=18
[sample=12] cpu=0 bench=insertsort cycles=8384 instructions=2946 cache-misses=20
[sample=13] cpu=0 bench=insertsort cycles=7290 instructions=2946 cache-misses=14
[sample=14] cpu=0 bench=insertsort cycles=7323 instructions=2946 cache-misses=13
[sample=15] cpu=0 bench=insertsort cycles=8596 instructions=2946 cache-misses=12
[sample=16] cpu=0 bench=insertsort cycles=7771 instructions=2946 cache-misses=17
[sample=17] cpu=0 bench=insertsort cycles=8015 instructions=2946 cache-misses=16
[sample=18] cpu=0 bench=insertsort cycles=6270 instructions=2946 cache-misses=16
[sample=19] cpu=0 bench=insertsort cycles=7053 instructions=2946 cache-misses=14
[sample=20] cpu=0 bench=insertsort cycles=6162 instructions=2946 cache-misses=13
[sample=21] cpu=0 bench=insertsort cycles=7232 instructions=2946 cache-misses=19
[sample=22] cpu=0 bench=insertsort cycles=10129 instructions=2946 cache-misses=17
[sample=23] cpu=0 bench=insertsort cycles=5699 instructions=2946 cache-misses=14
[sample=24] cpu=0 bench=insertsort cycles=6347 instructions=2946 cache-misses=16
[sample=25] cpu=0 bench=insertsort cycles=7667 instructions=2946 cache-misses=19
[sample=26] cpu=0 bench=insertsort cycles=6572 instructions=2946 cache-misses=12
[sample=27] cpu=0 bench=insertsort cycles=9963 instructions=2946 cache-misses=12
[sample=28] cpu=0 bench=insertsort cycles=11663 instructions=2946 cache-misses=12
[sample=29] cpu=0 bench=insertsort cycles=7689 instructions=2946 cache-misses=16
