[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=insertsort cycles=52170 instructions=2954 cache-misses=23
[sample=1] cpu=0 bench=insertsort cycles=6544 instructions=2947 cache-misses=18
[sample=2] cpu=0 bench=insertsort cycles=7273 instructions=2947 cache-misses=16
[sample=3] cpu=0 bench=insertsort cycles=6428 instructions=2947 cache-misses=20
[sample=4] cpu=0 bench=insertsort cycles=7288 instructions=2947 cache-misses=16
[sample=5] cpu=0 bench=insertsort cycles=7505 instructions=2947 cache-misses=13
[sample=6] cpu=0 bench=insertsort cycles=8079 instructions=2947 cache-misses=13
[sample=7] cpu=0 bench=insertsort cycles=6574 instructions=2947 cache-misses=17
[sample=8] cpu=0 bench=insertsort cycles=7278 instructions=2946 cache-misses=16
[sample=9] cpu=0 bench=insertsort cycles=7985 instructions=2946 cache-misses=17
[sample=10] cpu=0 bench=insertsort cycles=7781 instructions=2946 cache-misses=18
[sample=11] cpu=0 bench=insertsort cycles=7353 instructions=2947 cache-misses=14
[sample=12] cpu=0 bench=insertsort cycles=5294 instructions=2947 cache-misses=12
[sample=13] cpu=0 bench=insertsort cycles=7246 instructions=2946 cache-misses=14
[sample=14] cpu=0 bench=insertsort cycles=7024 instructions=2947 cache-misses=13
[sample=15] cpu=0 bench=insertsort cycles=8199 instructions=2946 cache-misses=19
[sample=16] cpu=0 bench=insertsort cycles=6618 instructions=2947 cache-misses=16
[sample=17] cpu=0 bench=insertsort cycles=5717 instructions=2947 cache-misses=14
[sample=18] cpu=0 bench=insertsort cycles=6827 instructions=2946 cache-misses=16
[sample=19] cpu=0 bench=insertsort cycles=7196 instructions=2947 cache-misses=15
[sample=20] cpu=0 bench=insertsort cycles=9064 instructions=2947 cache-misses=17
[sample=21] cpu=0 bench=insertsort cycles=7410 instructions=2947 cache-misses=13
[sample=22] cpu=0 bench=insertsort cycles=6702 instructions=2947 cache-misses=15
[sample=23] cpu=0 bench=insertsort cycles=4908 instructions=2947 cache-misses=13
[sample=24] cpu=0 bench=insertsort cycles=7508 instructions=2947 cache-misses=13
[sample=25] cpu=0 bench=insertsort cycles=6962 instructions=2947 cache-misses=12
[sample=26] cpu=0 bench=insertsort cycles=7053 instructions=2947 cache-misses=14
[sample=27] cpu=0 bench=insertsort cycles=6628 instructions=2947 cache-misses=14
[sample=28] cpu=0 bench=insertsort cycles=6641 instructions=2947 cache-misses=15
[sample=29] cpu=0 bench=insertsort cycles=6041 instructions=2947 cache-misses=16
[sample=30] cpu=0 bench=insertsort cycles=6526 instructions=2947 cache-misses=15
[sample=31] cpu=0 bench=insertsort cycles=5891 instructions=2947 cache-misses=16
[sample=32] cpu=0 bench=insertsort cycles=7419 instructions=2947 cache-misses=14
[sample=33] cpu=0 bench=insertsort cycles=7378 instructions=2947 cache-misses=14
[sample=34] cpu=0 bench=insertsort cycles=5563 instructions=2947 cache-misses=15
[sample=35] cpu=0 bench=insertsort cycles=5731 instructions=2947 cache-misses=15
[sample=36] cpu=0 bench=insertsort cycles=7698 instructions=2947 cache-misses=17
[sample=37] cpu=0 bench=insertsort cycles=6704 instructions=2947 cache-misses=13
[sample=38] cpu=0 bench=insertsort cycles=6950 instructions=2947 cache-misses=16
[sample=39] cpu=0 bench=insertsort cycles=6899 instructions=2947 cache-misses=15
[sample=40] cpu=0 bench=insertsort cycles=6182 instructions=2947 cache-misses=14
[sample=41] cpu=0 bench=insertsort cycles=7253 instructions=2947 cache-misses=16
[sample=42] cpu=0 bench=insertsort cycles=6610 instructions=2947 cache-misses=18
[sample=43] cpu=0 bench=insertsort cycles=10457 instructions=2947 cache-misses=18
[sample=44] cpu=0 bench=insertsort cycles=7571 instructions=2947 cache-misses=14
[sample=45] cpu=0 bench=insertsort cycles=7010 instructions=2947 cache-misses=16
[sample=46] cpu=0 bench=insertsort cycles=8140 instructions=2947 cache-misses=12
[sample=47] cpu=0 bench=insertsort cycles=6336 instructions=2947 cache-misses=14
[sample=48] cpu=0 bench=insertsort cycles=6062 instructions=2947 cache-misses=15
[sample=49] cpu=0 bench=insertsort cycles=7496 instructions=2947 cache-misses=19
[sample=50] cpu=0 bench=insertsort cycles=6148 instructions=2947 cache-misses=15
[sample=51] cpu=0 bench=insertsort cycles=6469 instructions=2947 cache-misses=12
[sample=52] cpu=0 bench=insertsort cycles=8861 instructions=2947 cache-misses=12
[sample=53] cpu=0 bench=insertsort cycles=6879 instructions=2947 cache-misses=15
[sample=54] cpu=0 bench=insertsort cycles=7378 instructions=2947 cache-misses=15
[sample=55] cpu=0 bench=insertsort cycles=7030 instructions=2947 cache-misses=14
[sample=56] cpu=0 bench=insertsort cycles=6092 instructions=2947 cache-misses=14
[sample=57] cpu=0 bench=insertsort cycles=7568 instructions=2947 cache-misses=16
[sample=58] cpu=0 bench=insertsort cycles=6429 instructions=2947 cache-misses=16
[sample=59] cpu=0 bench=insertsort cycles=4599 instructions=2947 cache-misses=13
[sample=60] cpu=0 bench=insertsort cycles=4554 instructions=2947 cache-misses=12
[sample=61] cpu=0 bench=insertsort cycles=6200 instructions=2947 cache-misses=15
[sample=62] cpu=0 bench=insertsort cycles=6892 instructions=2947 cache-misses=14
[sample=63] cpu=0 bench=insertsort cycles=10349 instructions=2947 cache-misses=13
[sample=64] cpu=0 bench=insertsort cycles=6636 instructions=2947 cache-misses=15
[sample=65] cpu=0 bench=insertsort cycles=8168 instructions=2947 cache-misses=17
