[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=MEM  cpu4=MEM
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=insertsort cycles=39314 instructions=2953 cache-misses=24
[sample=1] cpu=0 bench=insertsort cycles=18453 instructions=2946 cache-misses=17
[sample=2] cpu=0 bench=insertsort cycles=5293 instructions=2946 cache-misses=14
[sample=3] cpu=0 bench=insertsort cycles=6592 instructions=2946 cache-misses=15
[sample=4] cpu=0 bench=insertsort cycles=5173 instructions=2946 cache-misses=12
[sample=5] cpu=0 bench=insertsort cycles=6361 instructions=2946 cache-misses=15
[sample=6] cpu=0 bench=insertsort cycles=4564 instructions=2946 cache-misses=12
[sample=7] cpu=0 bench=insertsort cycles=9058 instructions=2946 cache-misses=12
[sample=8] cpu=0 bench=insertsort cycles=4814 instructions=2946 cache-misses=14
[sample=9] cpu=0 bench=insertsort cycles=4952 instructions=2946 cache-misses=15
[sample=10] cpu=0 bench=insertsort cycles=5231 instructions=2946 cache-misses=15
[sample=11] cpu=0 bench=insertsort cycles=4707 instructions=2946 cache-misses=14
[sample=12] cpu=0 bench=insertsort cycles=5078 instructions=2946 cache-misses=12
[sample=13] cpu=0 bench=insertsort cycles=4580 instructions=2946 cache-misses=15
[sample=14] cpu=0 bench=insertsort cycles=4662 instructions=2946 cache-misses=15
[sample=15] cpu=0 bench=insertsort cycles=4969 instructions=2946 cache-misses=15
[sample=16] cpu=0 bench=insertsort cycles=4915 instructions=2946 cache-misses=14
[sample=17] cpu=0 bench=insertsort cycles=4689 instructions=2946 cache-misses=11
[sample=18] cpu=0 bench=insertsort cycles=4980 instructions=2946 cache-misses=15
[sample=19] cpu=0 bench=insertsort cycles=4790 instructions=2946 cache-misses=12
[sample=20] cpu=0 bench=insertsort cycles=4908 instructions=2946 cache-misses=16
[sample=21] cpu=0 bench=insertsort cycles=4637 instructions=2946 cache-misses=16
[sample=22] cpu=0 bench=insertsort cycles=4958 instructions=2946 cache-misses=15
[sample=23] cpu=0 bench=insertsort cycles=4837 instructions=2946 cache-misses=15
[sample=24] cpu=0 bench=insertsort cycles=5009 instructions=2946 cache-misses=13
[sample=25] cpu=0 bench=insertsort cycles=4810 instructions=2946 cache-misses=13
[sample=26] cpu=0 bench=insertsort cycles=4898 instructions=2946 cache-misses=11
[sample=27] cpu=0 bench=insertsort cycles=4700 instructions=2946 cache-misses=13
[sample=28] cpu=0 bench=insertsort cycles=4885 instructions=2946 cache-misses=13
[sample=29] cpu=0 bench=insertsort cycles=4998 instructions=2946 cache-misses=14
[sample=30] cpu=0 bench=insertsort cycles=5052 instructions=2946 cache-misses=13
[sample=31] cpu=0 bench=insertsort cycles=4774 instructions=2946 cache-misses=12
[sample=32] cpu=0 bench=insertsort cycles=4547 instructions=2946 cache-misses=13
[sample=33] cpu=0 bench=insertsort cycles=4889 instructions=2946 cache-misses=15
[sample=34] cpu=0 bench=insertsort cycles=4737 instructions=2946 cache-misses=15
[sample=35] cpu=0 bench=insertsort cycles=4982 instructions=2946 cache-misses=15
[sample=36] cpu=0 bench=insertsort cycles=4673 instructions=2946 cache-misses=15
[sample=37] cpu=0 bench=insertsort cycles=9968 instructions=2946 cache-misses=14
[sample=38] cpu=0 bench=insertsort cycles=4348 instructions=2946 cache-misses=13
[sample=39] cpu=0 bench=insertsort cycles=4932 instructions=2946 cache-misses=13
[sample=40] cpu=0 bench=insertsort cycles=4879 instructions=2946 cache-misses=16
[sample=41] cpu=0 bench=insertsort cycles=4687 instructions=2946 cache-misses=15
[sample=42] cpu=0 bench=insertsort cycles=4696 instructions=2946 cache-misses=14
[sample=43] cpu=0 bench=insertsort cycles=5280 instructions=2946 cache-misses=15
[sample=44] cpu=0 bench=insertsort cycles=4732 instructions=2946 cache-misses=12
[sample=45] cpu=0 bench=insertsort cycles=4707 instructions=2946 cache-misses=16
[sample=46] cpu=0 bench=insertsort cycles=5062 instructions=2946 cache-misses=16
[sample=47] cpu=0 bench=insertsort cycles=5045 instructions=2946 cache-misses=13
[sample=48] cpu=0 bench=insertsort cycles=4716 instructions=2946 cache-misses=15
[sample=49] cpu=0 bench=insertsort cycles=5022 instructions=2946 cache-misses=15
[sample=50] cpu=0 bench=insertsort cycles=4960 instructions=2946 cache-misses=13
[sample=51] cpu=0 bench=insertsort cycles=4614 instructions=2946 cache-misses=12
[sample=52] cpu=0 bench=insertsort cycles=5008 instructions=2946 cache-misses=14
[sample=53] cpu=0 bench=insertsort cycles=4803 instructions=2946 cache-misses=16
[sample=54] cpu=0 bench=insertsort cycles=4939 instructions=2946 cache-misses=16
[sample=55] cpu=0 bench=insertsort cycles=5104 instructions=2946 cache-misses=14
[sample=56] cpu=0 bench=insertsort cycles=4724 instructions=2946 cache-misses=15
[sample=57] cpu=0 bench=insertsort cycles=4565 instructions=2946 cache-misses=16
[sample=58] cpu=0 bench=insertsort cycles=4697 instructions=2946 cache-misses=13
[sample=59] cpu=0 bench=insertsort cycles=5403 instructions=2946 cache-misses=12
[sample=60] cpu=0 bench=insertsort cycles=5086 instructions=2946 cache-misses=13
[sample=61] cpu=0 bench=insertsort cycles=4783 instructions=2946 cache-misses=13
[sample=62] cpu=0 bench=insertsort cycles=4873 instructions=2946 cache-misses=13
[sample=63] cpu=0 bench=insertsort cycles=5118 instructions=2946 cache-misses=13
[sample=64] cpu=0 bench=insertsort cycles=5258 instructions=2946 cache-misses=15
[sample=65] cpu=0 bench=insertsort cycles=4728 instructions=2946 cache-misses=15
[sample=66] cpu=0 bench=insertsort cycles=4917 instructions=2946 cache-misses=15
[sample=67] cpu=0 bench=insertsort cycles=4639 instructions=2946 cache-misses=15
[sample=68] cpu=0 bench=insertsort cycles=5203 instructions=2946 cache-misses=15
[sample=69] cpu=0 bench=insertsort cycles=5913 instructions=2946 cache-misses=12
[sample=70] cpu=0 bench=insertsort cycles=4989 instructions=2946 cache-misses=13
[sample=71] cpu=0 bench=insertsort cycles=4992 instructions=2946 cache-misses=13
[sample=72] cpu=0 bench=insertsort cycles=9563 instructions=2946 cache-misses=13
[sample=73] cpu=0 bench=insertsort cycles=4825 instructions=2946 cache-misses=12
[sample=74] cpu=0 bench=insertsort cycles=4903 instructions=2946 cache-misses=13
