[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=MEM  cpu2=MEM  cpu3=CACHE  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=insertsort cycles=49215 instructions=2954 cache-misses=23
[sample=1] cpu=0 bench=insertsort cycles=17394 instructions=2946 cache-misses=20
[sample=2] cpu=0 bench=insertsort cycles=5980 instructions=2946 cache-misses=16
[sample=3] cpu=0 bench=insertsort cycles=5488 instructions=2946 cache-misses=15
[sample=4] cpu=0 bench=insertsort cycles=5536 instructions=2946 cache-misses=15
[sample=5] cpu=0 bench=insertsort cycles=5985 instructions=2946 cache-misses=15
[sample=6] cpu=0 bench=insertsort cycles=5663 instructions=2946 cache-misses=14
[sample=7] cpu=0 bench=insertsort cycles=5641 instructions=2946 cache-misses=16
[sample=8] cpu=0 bench=insertsort cycles=5793 instructions=2946 cache-misses=15
[sample=9] cpu=0 bench=insertsort cycles=6075 instructions=2946 cache-misses=12
[sample=10] cpu=0 bench=insertsort cycles=5495 instructions=2946 cache-misses=15
[sample=11] cpu=0 bench=insertsort cycles=6113 instructions=2946 cache-misses=15
[sample=12] cpu=0 bench=insertsort cycles=4842 instructions=2946 cache-misses=11
[sample=13] cpu=0 bench=insertsort cycles=5734 instructions=2946 cache-misses=12
[sample=14] cpu=0 bench=insertsort cycles=5864 instructions=2946 cache-misses=13
[sample=15] cpu=0 bench=insertsort cycles=5145 instructions=2946 cache-misses=14
[sample=16] cpu=0 bench=insertsort cycles=6196 instructions=2946 cache-misses=14
[sample=17] cpu=0 bench=insertsort cycles=5730 instructions=2946 cache-misses=14
[sample=18] cpu=0 bench=insertsort cycles=5965 instructions=2946 cache-misses=14
[sample=19] cpu=0 bench=insertsort cycles=5195 instructions=2946 cache-misses=13
[sample=20] cpu=0 bench=insertsort cycles=5721 instructions=2946 cache-misses=15
[sample=21] cpu=0 bench=insertsort cycles=5498 instructions=2946 cache-misses=13
[sample=22] cpu=0 bench=insertsort cycles=5812 instructions=2946 cache-misses=13
