[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=adpcm_dec cycles=339918 instructions=228477 cache-misses=59
[sample=1] cpu=0 bench=adpcm_dec cycles=315625 instructions=228470 cache-misses=42
[sample=2] cpu=0 bench=adpcm_dec cycles=315098 instructions=228470 cache-misses=22
[sample=3] cpu=0 bench=adpcm_dec cycles=314753 instructions=228469 cache-misses=14
[sample=4] cpu=0 bench=adpcm_dec cycles=314381 instructions=228470 cache-misses=14
[sample=5] cpu=0 bench=adpcm_dec cycles=314152 instructions=228469 cache-misses=13
[sample=6] cpu=0 bench=adpcm_dec cycles=314372 instructions=228469 cache-misses=10
[sample=7] cpu=0 bench=adpcm_dec cycles=314390 instructions=228469 cache-misses=12
[sample=8] cpu=0 bench=adpcm_dec cycles=314398 instructions=228469 cache-misses=9
[sample=9] cpu=0 bench=adpcm_dec cycles=314944 instructions=228469 cache-misses=13
[sample=10] cpu=0 bench=adpcm_dec cycles=314475 instructions=228469 cache-misses=13
[sample=11] cpu=0 bench=adpcm_dec cycles=314320 instructions=228468 cache-misses=9
[sample=12] cpu=0 bench=adpcm_dec cycles=342161 instructions=228474 cache-misses=75
[sample=13] cpu=0 bench=adpcm_dec cycles=325028 instructions=228471 cache-misses=31
[sample=14] cpu=0 bench=adpcm_dec cycles=314966 instructions=228470 cache-misses=27
[sample=15] cpu=0 bench=adpcm_dec cycles=344510 instructions=228475 cache-misses=72
[sample=16] cpu=0 bench=adpcm_dec cycles=321266 instructions=228472 cache-misses=39
[sample=17] cpu=0 bench=adpcm_dec cycles=314718 instructions=228471 cache-misses=18
[sample=18] cpu=0 bench=adpcm_dec cycles=315018 instructions=228472 cache-misses=19
[sample=19] cpu=0 bench=adpcm_dec cycles=314450 instructions=228468 cache-misses=15
[sample=20] cpu=0 bench=adpcm_dec cycles=314812 instructions=228468 cache-misses=12
[sample=21] cpu=0 bench=adpcm_dec cycles=314482 instructions=228469 cache-misses=10
[sample=22] cpu=0 bench=adpcm_dec cycles=314599 instructions=228468 cache-misses=11
[sample=23] cpu=0 bench=adpcm_dec cycles=314421 instructions=228469 cache-misses=13
[sample=24] cpu=0 bench=adpcm_dec cycles=314990 instructions=228469 cache-misses=13
[sample=25] cpu=0 bench=adpcm_dec cycles=314541 instructions=228468 cache-misses=14
[sample=26] cpu=0 bench=adpcm_dec cycles=314477 instructions=228468 cache-misses=12
[sample=27] cpu=0 bench=adpcm_dec cycles=314365 instructions=228468 cache-misses=10
[sample=28] cpu=0 bench=adpcm_dec cycles=314611 instructions=228468 cache-misses=12
[sample=29] cpu=0 bench=adpcm_dec cycles=314421 instructions=228469 cache-misses=9
[sample=30] cpu=0 bench=adpcm_dec cycles=314290 instructions=228468 cache-misses=4
[sample=31] cpu=0 bench=adpcm_dec cycles=343237 instructions=228471 cache-misses=71
[sample=32] cpu=0 bench=adpcm_dec cycles=319836 instructions=228470 cache-misses=27
[sample=33] cpu=0 bench=adpcm_dec cycles=315091 instructions=228470 cache-misses=23
[sample=34] cpu=0 bench=adpcm_dec cycles=314636 instructions=228469 cache-misses=13
[sample=35] cpu=0 bench=adpcm_dec cycles=315086 instructions=228469 cache-misses=12
[sample=36] cpu=0 bench=adpcm_dec cycles=314553 instructions=228469 cache-misses=11
[sample=37] cpu=0 bench=adpcm_dec cycles=314412 instructions=228469 cache-misses=11
[sample=38] cpu=0 bench=adpcm_dec cycles=314449 instructions=228469 cache-misses=10
[sample=39] cpu=0 bench=adpcm_dec cycles=314835 instructions=228469 cache-misses=11
[sample=40] cpu=0 bench=adpcm_dec cycles=314743 instructions=228469 cache-misses=10
[sample=41] cpu=0 bench=adpcm_dec cycles=314430 instructions=228470 cache-misses=8
[sample=42] cpu=0 bench=adpcm_dec cycles=314704 instructions=228469 cache-misses=8
