[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=fir2dim cycles=20884 instructions=10127 cache-misses=20
[sample=1] cpu=0 bench=fir2dim cycles=20014 instructions=10124 cache-misses=13
[sample=2] cpu=0 bench=fir2dim cycles=13330 instructions=10118 cache-misses=7
[sample=3] cpu=0 bench=fir2dim cycles=13269 instructions=10115 cache-misses=10
[sample=4] cpu=0 bench=fir2dim cycles=13404 instructions=10111 cache-misses=7
[sample=5] cpu=0 bench=fir2dim cycles=13286 instructions=10111 cache-misses=10
[sample=6] cpu=0 bench=fir2dim cycles=13295 instructions=10111 cache-misses=10
[sample=7] cpu=0 bench=fir2dim cycles=16512 instructions=10122 cache-misses=15
[sample=8] cpu=0 bench=fir2dim cycles=14246 instructions=10116 cache-misses=9
[sample=9] cpu=0 bench=fir2dim cycles=13349 instructions=10117 cache-misses=11
[sample=10] cpu=0 bench=fir2dim cycles=13295 instructions=10112 cache-misses=8
[sample=11] cpu=0 bench=fir2dim cycles=13359 instructions=10110 cache-misses=8
[sample=12] cpu=0 bench=fir2dim cycles=13297 instructions=10114 cache-misses=10
[sample=13] cpu=0 bench=fir2dim cycles=13311 instructions=10113 cache-misses=11
[sample=14] cpu=0 bench=fir2dim cycles=13312 instructions=10110 cache-misses=9
[sample=15] cpu=0 bench=fir2dim cycles=13368 instructions=10114 cache-misses=12
[sample=16] cpu=0 bench=fir2dim cycles=13357 instructions=10107 cache-misses=9
[sample=17] cpu=0 bench=fir2dim cycles=13264 instructions=10110 cache-misses=11
[sample=18] cpu=0 bench=fir2dim cycles=13183 instructions=10112 cache-misses=6
[sample=19] cpu=0 bench=fir2dim cycles=13393 instructions=10118 cache-misses=9
[sample=20] cpu=0 bench=fir2dim cycles=13314 instructions=10114 cache-misses=9
[sample=21] cpu=0 bench=fir2dim cycles=13400 instructions=10115 cache-misses=10
[sample=22] cpu=0 bench=fir2dim cycles=13364 instructions=10112 cache-misses=12
