[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=iir (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=iir cycles=7718 instructions=2593 cache-misses=15
[sample=1] cpu=0 bench=iir cycles=5298 instructions=2589 cache-misses=13
[sample=2] cpu=0 bench=iir cycles=3993 instructions=2589 cache-misses=10
[sample=3] cpu=0 bench=iir cycles=3590 instructions=2589 cache-misses=9
[sample=4] cpu=0 bench=iir cycles=3607 instructions=2589 cache-misses=8
[sample=5] cpu=0 bench=iir cycles=3576 instructions=2589 cache-misses=8
[sample=6] cpu=0 bench=iir cycles=3610 instructions=2589 cache-misses=10
[sample=7] cpu=0 bench=iir cycles=3607 instructions=2589 cache-misses=8
[sample=8] cpu=0 bench=iir cycles=3582 instructions=2589 cache-misses=7
[sample=9] cpu=0 bench=iir cycles=3584 instructions=2589 cache-misses=8
[sample=10] cpu=0 bench=iir cycles=3582 instructions=2588 cache-misses=8
[sample=11] cpu=0 bench=iir cycles=3588 instructions=2588 cache-misses=9
[sample=12] cpu=0 bench=iir cycles=3559 instructions=2589 cache-misses=5
[sample=13] cpu=0 bench=iir cycles=3627 instructions=2589 cache-misses=9
[sample=14] cpu=0 bench=iir cycles=3618 instructions=2589 cache-misses=8
[sample=15] cpu=0 bench=iir cycles=3551 instructions=2589 cache-misses=9
[sample=16] cpu=0 bench=iir cycles=3577 instructions=2589 cache-misses=8
[sample=17] cpu=0 bench=iir cycles=3592 instructions=2589 cache-misses=9
[sample=18] cpu=0 bench=iir cycles=3568 instructions=2589 cache-misses=9
[sample=19] cpu=0 bench=iir cycles=3593 instructions=2589 cache-misses=9
[sample=20] cpu=0 bench=iir cycles=3578 instructions=2589 cache-misses=6
[sample=21] cpu=0 bench=iir cycles=3563 instructions=2589 cache-misses=7
[sample=22] cpu=0 bench=iir cycles=3595 instructions=2589 cache-misses=9
[sample=23] cpu=0 bench=iir cycles=3561 instructions=2589 cache-misses=8
[sample=24] cpu=0 bench=iir cycles=3553 instructions=2589 cache-misses=10
[sample=25] cpu=0 bench=iir cycles=3605 instructions=2589 cache-misses=7
[sample=26] cpu=0 bench=iir cycles=3599 instructions=2589 cache-misses=7
[sample=27] cpu=0 bench=iir cycles=3562 instructions=2589 cache-misses=9
[sample=28] cpu=0 bench=iir cycles=3556 instructions=2589 cache-misses=7
[sample=29] cpu=0 bench=iir cycles=3554 instructions=2589 cache-misses=9
[sample=30] cpu=0 bench=iir cycles=3552 instructions=2589 cache-misses=7
[sample=31] cpu=0 bench=iir cycles=3549 instructions=2589 cache-misses=7
[sample=32] cpu=0 bench=iir cycles=3557 instructions=2589 cache-misses=10
[sample=33] cpu=0 bench=iir cycles=3573 instructions=2589 cache-misses=8
[sample=34] cpu=0 bench=iir cycles=3537 instructions=2589 cache-misses=10
[sample=35] cpu=0 bench=iir cycles=3532 instructions=2589 cache-misses=7
[sample=36] cpu=0 bench=iir cycles=3564 instructions=2589 cache-misses=9
[sample=37] cpu=0 bench=iir cycles=3542 instructions=2589 cache-misses=9
[sample=38] cpu=0 bench=iir cycles=3538 instructions=2589 cache-misses=8
[sample=39] cpu=0 bench=iir cycles=3561 instructions=2589 cache-misses=9
[sample=40] cpu=0 bench=iir cycles=3532 instructions=2589 cache-misses=8
[sample=41] cpu=0 bench=iir cycles=3552 instructions=2589 cache-misses=9
[sample=42] cpu=0 bench=iir cycles=3570 instructions=2589 cache-misses=8
[sample=43] cpu=0 bench=iir cycles=3543 instructions=2588 cache-misses=7
[sample=44] cpu=0 bench=iir cycles=3580 instructions=2589 cache-misses=9
[sample=45] cpu=0 bench=iir cycles=3584 instructions=2589 cache-misses=8
[sample=46] cpu=0 bench=iir cycles=3629 instructions=2588 cache-misses=9
[sample=47] cpu=0 bench=iir cycles=3577 instructions=2589 cache-misses=9
[sample=48] cpu=0 bench=iir cycles=3570 instructions=2589 cache-misses=8
[sample=49] cpu=0 bench=iir cycles=3629 instructions=2589 cache-misses=9
[sample=50] cpu=0 bench=iir cycles=3599 instructions=2589 cache-misses=9
[sample=51] cpu=0 bench=iir cycles=3546 instructions=2589 cache-misses=8
[sample=52] cpu=0 bench=iir cycles=3568 instructions=2589 cache-misses=9
[sample=53] cpu=0 bench=iir cycles=3601 instructions=2588 cache-misses=9
[sample=54] cpu=0 bench=iir cycles=3602 instructions=2589 cache-misses=9
[sample=55] cpu=0 bench=iir cycles=3576 instructions=2589 cache-misses=8
[sample=56] cpu=0 bench=iir cycles=3587 instructions=2589 cache-misses=9
[sample=57] cpu=0 bench=iir cycles=3567 instructions=2589 cache-misses=8
[sample=58] cpu=0 bench=iir cycles=3612 instructions=2589 cache-misses=9
[sample=59] cpu=0 bench=iir cycles=3611 instructions=2589 cache-misses=8
[sample=60] cpu=0 bench=iir cycles=3600 instructions=2589 cache-misses=9
[sample=61] cpu=0 bench=iir cycles=3598 instructions=2589 cache-misses=10
[sample=62] cpu=0 bench=iir cycles=3629 instructions=2589 cache-misses=9
[sample=63] cpu=0 bench=iir cycles=3609 instructions=2589 cache-misses=6
[sample=64] cpu=0 bench=iir cycles=3586 instructions=2589 cache-misses=6
[sample=65] cpu=0 bench=iir cycles=3581 instructions=2589 cache-misses=10
[sample=66] cpu=0 bench=iir cycles=3585 instructions=2589 cache-misses=8
[sample=67] cpu=0 bench=iir cycles=3593 instructions=2589 cache-misses=8
