[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=insertsort (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=insertsort cycles=12264 instructions=2954 cache-misses=21
[sample=1] cpu=0 bench=insertsort cycles=4471 instructions=2946 cache-misses=9
[sample=2] cpu=0 bench=insertsort cycles=4618 instructions=2946 cache-misses=6
[sample=3] cpu=0 bench=insertsort cycles=4222 instructions=2946 cache-misses=3
[sample=4] cpu=0 bench=insertsort cycles=4211 instructions=2946 cache-misses=4
[sample=5] cpu=0 bench=insertsort cycles=4184 instructions=2946 cache-misses=0
[sample=6] cpu=0 bench=insertsort cycles=4197 instructions=2947 cache-misses=2
[sample=7] cpu=0 bench=insertsort cycles=4209 instructions=2946 cache-misses=1
[sample=8] cpu=0 bench=insertsort cycles=4195 instructions=2946 cache-misses=3
[sample=9] cpu=0 bench=insertsort cycles=4199 instructions=2946 cache-misses=2
[sample=10] cpu=0 bench=insertsort cycles=4139 instructions=2946 cache-misses=1
[sample=11] cpu=0 bench=insertsort cycles=4194 instructions=2946 cache-misses=1
[sample=12] cpu=0 bench=insertsort cycles=4181 instructions=2947 cache-misses=1
[sample=13] cpu=0 bench=insertsort cycles=4218 instructions=2946 cache-misses=1
[sample=14] cpu=0 bench=insertsort cycles=4195 instructions=2946 cache-misses=3
[sample=15] cpu=0 bench=insertsort cycles=4225 instructions=2946 cache-misses=2
[sample=16] cpu=0 bench=insertsort cycles=4236 instructions=2946 cache-misses=2
[sample=17] cpu=0 bench=insertsort cycles=4206 instructions=2946 cache-misses=3
[sample=18] cpu=0 bench=insertsort cycles=4154 instructions=2946 cache-misses=1
[sample=19] cpu=0 bench=insertsort cycles=4239 instructions=2946 cache-misses=1
[sample=20] cpu=0 bench=insertsort cycles=4217 instructions=2946 cache-misses=1
[sample=21] cpu=0 bench=insertsort cycles=4197 instructions=2946 cache-misses=1
[sample=22] cpu=0 bench=insertsort cycles=4199 instructions=2946 cache-misses=2
[sample=23] cpu=0 bench=insertsort cycles=4218 instructions=2946 cache-misses=5
[sample=24] cpu=0 bench=insertsort cycles=4266 instructions=2946 cache-misses=3
[sample=25] cpu=0 bench=insertsort cycles=4255 instructions=2946 cache-misses=4
[sample=26] cpu=0 bench=insertsort cycles=4232 instructions=2946 cache-misses=4
[sample=27] cpu=0 bench=insertsort cycles=4155 instructions=2946 cache-misses=0
[sample=28] cpu=0 bench=insertsort cycles=4206 instructions=2946 cache-misses=4
[sample=29] cpu=0 bench=insertsort cycles=4191 instructions=2946 cache-misses=1
[sample=30] cpu=0 bench=insertsort cycles=4222 instructions=2946 cache-misses=4
[sample=31] cpu=0 bench=insertsort cycles=4212 instructions=2946 cache-misses=3
[sample=32] cpu=0 bench=insertsort cycles=4209 instructions=2946 cache-misses=3
[sample=33] cpu=0 bench=insertsort cycles=4149 instructions=2946 cache-misses=0
[sample=34] cpu=0 bench=insertsort cycles=4221 instructions=2946 cache-misses=3
[sample=35] cpu=0 bench=insertsort cycles=4200 instructions=2946 cache-misses=2
[sample=36] cpu=0 bench=insertsort cycles=4214 instructions=2946 cache-misses=3
[sample=37] cpu=0 bench=insertsort cycles=4189 instructions=2946 cache-misses=2
[sample=38] cpu=0 bench=insertsort cycles=4218 instructions=2947 cache-misses=2
[sample=39] cpu=0 bench=insertsort cycles=4208 instructions=2946 cache-misses=1
[sample=40] cpu=0 bench=insertsort cycles=4175 instructions=2946 cache-misses=1
[sample=41] cpu=0 bench=insertsort cycles=4173 instructions=2946 cache-misses=1
[sample=42] cpu=0 bench=insertsort cycles=4167 instructions=2946 cache-misses=2
[sample=43] cpu=0 bench=insertsort cycles=4198 instructions=2946 cache-misses=3
[sample=44] cpu=0 bench=insertsort cycles=4156 instructions=2947 cache-misses=1
[sample=45] cpu=0 bench=insertsort cycles=4226 instructions=2946 cache-misses=3
[sample=46] cpu=0 bench=insertsort cycles=4185 instructions=2946 cache-misses=2
[sample=47] cpu=0 bench=insertsort cycles=4226 instructions=2946 cache-misses=2
[sample=48] cpu=0 bench=insertsort cycles=4234 instructions=2946 cache-misses=6
[sample=49] cpu=0 bench=insertsort cycles=4162 instructions=2946 cache-misses=2
[sample=50] cpu=0 bench=insertsort cycles=4185 instructions=2946 cache-misses=2
[sample=51] cpu=0 bench=insertsort cycles=4169 instructions=2946 cache-misses=2
[sample=52] cpu=0 bench=insertsort cycles=4201 instructions=2946 cache-misses=2
[sample=53] cpu=0 bench=insertsort cycles=4139 instructions=2946 cache-misses=0
[sample=54] cpu=0 bench=insertsort cycles=4211 instructions=2946 cache-misses=2
[sample=55] cpu=0 bench=insertsort cycles=4180 instructions=2946 cache-misses=1
[sample=56] cpu=0 bench=insertsort cycles=4148 instructions=2946 cache-misses=1
[sample=57] cpu=0 bench=insertsort cycles=4170 instructions=2946 cache-misses=2
[sample=58] cpu=0 bench=insertsort cycles=4153 instructions=2946 cache-misses=1
[sample=59] cpu=0 bench=insertsort cycles=4120 instructions=2946 cache-misses=1
[sample=60] cpu=0 bench=insertsort cycles=4185 instructions=2947 cache-misses=2
[sample=61] cpu=0 bench=insertsort cycles=4188 instructions=2947 cache-misses=3
[sample=62] cpu=0 bench=insertsort cycles=4180 instructions=2946 cache-misses=3
[sample=63] cpu=0 bench=insertsort cycles=4145 instructions=2946 cache-misses=2
[sample=64] cpu=0 bench=insertsort cycles=4200 instructions=2946 cache-misses=2
[sample=65] cpu=0 bench=insertsort cycles=4182 instructions=2946 cache-misses=2
[sample=66] cpu=0 bench=insertsort cycles=4195 instructions=2946 cache-misses=0
[sample=67] cpu=0 bench=insertsort cycles=4084 instructions=2946 cache-misses=2
[sample=68] cpu=0 bench=insertsort cycles=4161 instructions=2946 cache-misses=4
[sample=69] cpu=0 bench=insertsort cycles=4175 instructions=2946 cache-misses=2
[sample=70] cpu=0 bench=insertsort cycles=4141 instructions=2946 cache-misses=2
[sample=71] cpu=0 bench=insertsort cycles=4198 instructions=2947 cache-misses=2
[sample=72] cpu=0 bench=insertsort cycles=4137 instructions=2946 cache-misses=2
[sample=73] cpu=0 bench=insertsort cycles=4159 instructions=2946 cache-misses=1
[sample=74] cpu=0 bench=insertsort cycles=4115 instructions=2946 cache-misses=1
[sample=75] cpu=0 bench=insertsort cycles=4182 instructions=2947 cache-misses=2
[sample=76] cpu=0 bench=insertsort cycles=4176 instructions=2946 cache-misses=2
[sample=77] cpu=0 bench=insertsort cycles=4157 instructions=2946 cache-misses=1
[sample=78] cpu=0 bench=insertsort cycles=4125 instructions=2946 cache-misses=1
[sample=79] cpu=0 bench=insertsort cycles=4200 instructions=2946 cache-misses=3
[sample=80] cpu=0 bench=insertsort cycles=4213 instructions=2946 cache-misses=3
[sample=81] cpu=0 bench=insertsort cycles=4161 instructions=2946 cache-misses=0
[sample=82] cpu=0 bench=insertsort cycles=4188 instructions=2946 cache-misses=1
[sample=83] cpu=0 bench=insertsort cycles=4134 instructions=2946 cache-misses=1
[sample=84] cpu=0 bench=insertsort cycles=4230 instructions=2947 cache-misses=2
[sample=85] cpu=0 bench=insertsort cycles=4150 instructions=2946 cache-misses=2
[sample=86] cpu=0 bench=insertsort cycles=4234 instructions=2946 cache-misses=3
[sample=87] cpu=0 bench=insertsort cycles=4175 instructions=2946 cache-misses=2
[sample=88] cpu=0 bench=insertsort cycles=4132 instructions=2946 cache-misses=1
[sample=89] cpu=0 bench=insertsort cycles=4169 instructions=2946 cache-misses=3
[sample=90] cpu=0 bench=insertsort cycles=4173 instructions=2946 cache-misses=3
[sample=91] cpu=0 bench=insertsort cycles=4202 instructions=2946 cache-misses=3
[sample=92] cpu=0 bench=insertsort cycles=4120 instructions=2946 cache-misses=0
[sample=93] cpu=0 bench=insertsort cycles=4207 instructions=2946 cache-misses=3
[sample=94] cpu=0 bench=insertsort cycles=4186 instructions=2946 cache-misses=2
[sample=95] cpu=0 bench=insertsort cycles=4165 instructions=2946 cache-misses=3
[sample=96] cpu=0 bench=insertsort cycles=4181 instructions=2946 cache-misses=3
[sample=97] cpu=0 bench=insertsort cycles=4124 instructions=2946 cache-misses=3
[sample=98] cpu=0 bench=insertsort cycles=4220 instructions=2946 cache-misses=4
[sample=99] cpu=0 bench=insertsort cycles=4169 instructions=2946 cache-misses=4

# Statistics over 100 samples on cpu0 bench=insertsort (background load on cpu1..cpu0)
# event                          min                  max                  avg               median
  cycles                        4084                12264              4273.31              4188.50
  instructions                  2946                 2954              2946.17              2946.00
  cache-misses                     0                   21                 2.37                 2.00
