[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=adpcm_dec cycles=471652 instructions=228478 cache-misses=57
[sample=1] cpu=0 bench=adpcm_dec cycles=343619 instructions=228473 cache-misses=44
[sample=2] cpu=0 bench=adpcm_dec cycles=331684 instructions=228471 cache-misses=49
[sample=3] cpu=0 bench=adpcm_dec cycles=326888 instructions=228470 cache-misses=45
[sample=4] cpu=0 bench=adpcm_dec cycles=326238 instructions=228471 cache-misses=45
[sample=5] cpu=0 bench=adpcm_dec cycles=326961 instructions=228473 cache-misses=51
[sample=6] cpu=0 bench=adpcm_dec cycles=325415 instructions=228470 cache-misses=43
[sample=7] cpu=0 bench=adpcm_dec cycles=327682 instructions=228472 cache-misses=42
[sample=8] cpu=0 bench=adpcm_dec cycles=332744 instructions=228472 cache-misses=43
[sample=9] cpu=0 bench=adpcm_dec cycles=334367 instructions=228472 cache-misses=44
[sample=10] cpu=0 bench=adpcm_dec cycles=326755 instructions=228470 cache-misses=46
[sample=11] cpu=0 bench=adpcm_dec cycles=325360 instructions=228473 cache-misses=39
[sample=12] cpu=0 bench=adpcm_dec cycles=328780 instructions=228473 cache-misses=54
[sample=13] cpu=0 bench=adpcm_dec cycles=327379 instructions=228471 cache-misses=42
[sample=14] cpu=0 bench=adpcm_dec cycles=330639 instructions=228469 cache-misses=51
[sample=15] cpu=0 bench=adpcm_dec cycles=328920 instructions=228474 cache-misses=46
[sample=16] cpu=0 bench=adpcm_dec cycles=333584 instructions=228473 cache-misses=42
[sample=17] cpu=0 bench=adpcm_dec cycles=326824 instructions=228471 cache-misses=50
[sample=18] cpu=0 bench=adpcm_dec cycles=330395 instructions=228472 cache-misses=46
[sample=19] cpu=0 bench=adpcm_dec cycles=325318 instructions=228472 cache-misses=51
[sample=20] cpu=0 bench=adpcm_dec cycles=328507 instructions=228472 cache-misses=42
[sample=21] cpu=0 bench=adpcm_dec cycles=324611 instructions=228474 cache-misses=47
[sample=22] cpu=0 bench=adpcm_dec cycles=325128 instructions=228471 cache-misses=46
[sample=23] cpu=0 bench=adpcm_dec cycles=325998 instructions=228472 cache-misses=42
[sample=24] cpu=0 bench=adpcm_dec cycles=324972 instructions=228471 cache-misses=47
[sample=25] cpu=0 bench=adpcm_dec cycles=331856 instructions=228473 cache-misses=52
[sample=26] cpu=0 bench=adpcm_dec cycles=340512 instructions=228475 cache-misses=74
[sample=27] cpu=0 bench=adpcm_dec cycles=329420 instructions=228472 cache-misses=47
[sample=28] cpu=0 bench=adpcm_dec cycles=329542 instructions=228473 cache-misses=43
[sample=29] cpu=0 bench=adpcm_dec cycles=324384 instructions=228472 cache-misses=52
[sample=30] cpu=0 bench=adpcm_dec cycles=328931 instructions=228472 cache-misses=46
[sample=31] cpu=0 bench=adpcm_dec cycles=322716 instructions=228472 cache-misses=50
[sample=32] cpu=0 bench=adpcm_dec cycles=327578 instructions=228471 cache-misses=45
[sample=33] cpu=0 bench=adpcm_dec cycles=333456 instructions=228473 cache-misses=47
[sample=34] cpu=0 bench=adpcm_dec cycles=329690 instructions=228471 cache-misses=54
[sample=35] cpu=0 bench=adpcm_dec cycles=329466 instructions=228471 cache-misses=42
[sample=36] cpu=0 bench=adpcm_dec cycles=325106 instructions=228472 cache-misses=48
[sample=37] cpu=0 bench=adpcm_dec cycles=332256 instructions=228471 cache-misses=43
[sample=38] cpu=0 bench=adpcm_dec cycles=326619 instructions=228471 cache-misses=47
[sample=39] cpu=0 bench=adpcm_dec cycles=328774 instructions=228472 cache-misses=53
[sample=40] cpu=0 bench=adpcm_dec cycles=328727 instructions=228474 cache-misses=45
[sample=41] cpu=0 bench=adpcm_dec cycles=325722 instructions=228472 cache-misses=50
[sample=42] cpu=0 bench=adpcm_dec cycles=330145 instructions=228474 cache-misses=46
[sample=43] cpu=0 bench=adpcm_dec cycles=332394 instructions=228473 cache-misses=46
[sample=44] cpu=0 bench=adpcm_dec cycles=333903 instructions=228474 cache-misses=46
[sample=45] cpu=0 bench=adpcm_dec cycles=331744 instructions=228472 cache-misses=45
[sample=46] cpu=0 bench=adpcm_dec cycles=326510 instructions=228471 cache-misses=53
[sample=47] cpu=0 bench=adpcm_dec cycles=327371 instructions=228473 cache-misses=43
[sample=48] cpu=0 bench=adpcm_dec cycles=329165 instructions=228472 cache-misses=44
[sample=49] cpu=0 bench=adpcm_dec cycles=328011 instructions=228471 cache-misses=45
[sample=50] cpu=0 bench=adpcm_dec cycles=328627 instructions=228474 cache-misses=45
[sample=51] cpu=0 bench=adpcm_dec cycles=322160 instructions=228472 cache-misses=44
[sample=52] cpu=0 bench=adpcm_dec cycles=327084 instructions=228471 cache-misses=44
[sample=53] cpu=0 bench=adpcm_dec cycles=326463 instructions=228471 cache-misses=41
[sample=54] cpu=0 bench=adpcm_dec cycles=325889 instructions=228471 cache-misses=45
[sample=55] cpu=0 bench=adpcm_dec cycles=330666 instructions=228471 cache-misses=43
[sample=56] cpu=0 bench=adpcm_dec cycles=329473 instructions=228470 cache-misses=44
[sample=57] cpu=0 bench=adpcm_dec cycles=333400 instructions=228471 cache-misses=44
[sample=58] cpu=0 bench=adpcm_dec cycles=333369 instructions=228472 cache-misses=45
[sample=59] cpu=0 bench=adpcm_dec cycles=329524 instructions=228471 cache-misses=44
[sample=60] cpu=0 bench=adpcm_dec cycles=332438 instructions=228470 cache-misses=49
[sample=61] cpu=0 bench=adpcm_dec cycles=327165 instructions=228472 cache-misses=52
[sample=62] cpu=0 bench=adpcm_dec cycles=330353 instructions=228471 cache-misses=44
[sample=63] cpu=0 bench=adpcm_dec cycles=331531 instructions=228471 cache-misses=42
[sample=64] cpu=0 bench=adpcm_dec cycles=325521 instructions=228471 cache-misses=41
[sample=65] cpu=0 bench=adpcm_dec cycles=328285 instructions=228470 cache-misses=54
[sample=66] cpu=0 bench=adpcm_dec cycles=335636 instructions=228471 cache-misses=45
[sample=67] cpu=0 bench=adpcm_dec cycles=332001 instructions=228469 cache-misses=42
[sample=68] cpu=0 bench=adpcm_dec cycles=327813 instructions=228471 cache-misses=42
[sample=69] cpu=0 bench=adpcm_dec cycles=333512 instructions=228473 cache-misses=46
[sample=70] cpu=0 bench=adpcm_dec cycles=329900 instructions=228472 cache-misses=47
[sample=71] cpu=0 bench=adpcm_dec cycles=329842 instructions=228471 cache-misses=45
[sample=72] cpu=0 bench=adpcm_dec cycles=336353 instructions=228475 cache-misses=61
[sample=73] cpu=0 bench=adpcm_dec cycles=327894 instructions=228469 cache-misses=46
[sample=74] cpu=0 bench=adpcm_dec cycles=327358 instructions=228471 cache-misses=43
[sample=75] cpu=0 bench=adpcm_dec cycles=329545 instructions=228472 cache-misses=42
