[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=adpcm_dec cycles=461015 instructions=228480 cache-misses=61
[sample=1] cpu=0 bench=adpcm_dec cycles=338950 instructions=228477 cache-misses=52
[sample=2] cpu=0 bench=adpcm_dec cycles=327417 instructions=228474 cache-misses=37
[sample=3] cpu=0 bench=adpcm_dec cycles=325228 instructions=228474 cache-misses=46
[sample=4] cpu=0 bench=adpcm_dec cycles=327438 instructions=228474 cache-misses=45
[sample=5] cpu=0 bench=adpcm_dec cycles=328214 instructions=228472 cache-misses=43
[sample=6] cpu=0 bench=adpcm_dec cycles=331072 instructions=228472 cache-misses=44
[sample=7] cpu=0 bench=adpcm_dec cycles=329060 instructions=228471 cache-misses=57
[sample=8] cpu=0 bench=adpcm_dec cycles=332780 instructions=228473 cache-misses=53
[sample=9] cpu=0 bench=adpcm_dec cycles=329611 instructions=228473 cache-misses=43
[sample=10] cpu=0 bench=adpcm_dec cycles=333272 instructions=228477 cache-misses=60
[sample=11] cpu=0 bench=adpcm_dec cycles=327395 instructions=228472 cache-misses=47
[sample=12] cpu=0 bench=adpcm_dec cycles=335746 instructions=228472 cache-misses=48
[sample=13] cpu=0 bench=adpcm_dec cycles=328160 instructions=228472 cache-misses=39
[sample=14] cpu=0 bench=adpcm_dec cycles=326240 instructions=228471 cache-misses=42
[sample=15] cpu=0 bench=adpcm_dec cycles=328544 instructions=228470 cache-misses=42
[sample=16] cpu=0 bench=adpcm_dec cycles=326451 instructions=228474 cache-misses=46
[sample=17] cpu=0 bench=adpcm_dec cycles=326879 instructions=228472 cache-misses=40
[sample=18] cpu=0 bench=adpcm_dec cycles=327287 instructions=228473 cache-misses=56
[sample=19] cpu=0 bench=adpcm_dec cycles=326163 instructions=228473 cache-misses=51
[sample=20] cpu=0 bench=adpcm_dec cycles=327262 instructions=228473 cache-misses=41
[sample=21] cpu=0 bench=adpcm_dec cycles=326916 instructions=228474 cache-misses=42
[sample=22] cpu=0 bench=adpcm_dec cycles=328928 instructions=228473 cache-misses=41
[sample=23] cpu=0 bench=adpcm_dec cycles=333870 instructions=228472 cache-misses=45
[sample=24] cpu=0 bench=adpcm_dec cycles=336656 instructions=228472 cache-misses=45
[sample=25] cpu=0 bench=adpcm_dec cycles=327804 instructions=228471 cache-misses=49
[sample=26] cpu=0 bench=adpcm_dec cycles=328051 instructions=228473 cache-misses=49
[sample=27] cpu=0 bench=adpcm_dec cycles=325156 instructions=228472 cache-misses=57
[sample=28] cpu=0 bench=adpcm_dec cycles=328348 instructions=228471 cache-misses=46
[sample=29] cpu=0 bench=adpcm_dec cycles=330664 instructions=228473 cache-misses=41
[sample=30] cpu=0 bench=adpcm_dec cycles=335847 instructions=228472 cache-misses=50
[sample=31] cpu=0 bench=adpcm_dec cycles=327840 instructions=228473 cache-misses=44
[sample=32] cpu=0 bench=adpcm_dec cycles=333399 instructions=228472 cache-misses=40
[sample=33] cpu=0 bench=adpcm_dec cycles=334286 instructions=228471 cache-misses=44
[sample=34] cpu=0 bench=adpcm_dec cycles=329392 instructions=228475 cache-misses=44
[sample=35] cpu=0 bench=adpcm_dec cycles=327212 instructions=228473 cache-misses=46
[sample=36] cpu=0 bench=adpcm_dec cycles=326631 instructions=228472 cache-misses=39
[sample=37] cpu=0 bench=adpcm_dec cycles=327322 instructions=228473 cache-misses=46
[sample=38] cpu=0 bench=adpcm_dec cycles=330103 instructions=228472 cache-misses=41
[sample=39] cpu=0 bench=adpcm_dec cycles=326142 instructions=228472 cache-misses=41
[sample=40] cpu=0 bench=adpcm_dec cycles=327474 instructions=228474 cache-misses=40
[sample=41] cpu=0 bench=adpcm_dec cycles=330565 instructions=228472 cache-misses=57
[sample=42] cpu=0 bench=adpcm_dec cycles=329129 instructions=228471 cache-misses=47
[sample=43] cpu=0 bench=adpcm_dec cycles=328254 instructions=228473 cache-misses=55
[sample=44] cpu=0 bench=adpcm_dec cycles=324917 instructions=228471 cache-misses=42
[sample=45] cpu=0 bench=adpcm_dec cycles=325622 instructions=228471 cache-misses=47
[sample=46] cpu=0 bench=adpcm_dec cycles=324628 instructions=228472 cache-misses=40
[sample=47] cpu=0 bench=adpcm_dec cycles=327712 instructions=228473 cache-misses=42
[sample=48] cpu=0 bench=adpcm_dec cycles=331035 instructions=228472 cache-misses=43
[sample=49] cpu=0 bench=adpcm_dec cycles=335860 instructions=228473 cache-misses=44
[sample=50] cpu=0 bench=adpcm_dec cycles=329420 instructions=228472 cache-misses=42
[sample=51] cpu=0 bench=adpcm_dec cycles=333613 instructions=228471 cache-misses=45
[sample=52] cpu=0 bench=adpcm_dec cycles=333478 instructions=228470 cache-misses=53
[sample=53] cpu=0 bench=adpcm_dec cycles=328313 instructions=228469 cache-misses=47
[sample=54] cpu=0 bench=adpcm_dec cycles=329719 instructions=228472 cache-misses=44
[sample=55] cpu=0 bench=adpcm_dec cycles=326283 instructions=228473 cache-misses=38
[sample=56] cpu=0 bench=adpcm_dec cycles=332017 instructions=228472 cache-misses=58
[sample=57] cpu=0 bench=adpcm_dec cycles=327129 instructions=228470 cache-misses=49
[sample=58] cpu=0 bench=adpcm_dec cycles=332872 instructions=228473 cache-misses=48
[sample=59] cpu=0 bench=adpcm_dec cycles=328914 instructions=228470 cache-misses=42
[sample=60] cpu=0 bench=adpcm_dec cycles=328336 instructions=228471 cache-misses=41
[sample=61] cpu=0 bench=adpcm_dec cycles=328693 instructions=228470 cache-misses=42
[sample=62] cpu=0 bench=adpcm_dec cycles=324994 instructions=228469 cache-misses=42
[sample=63] cpu=0 bench=adpcm_dec cycles=326853 instructions=228468 cache-misses=44
[sample=64] cpu=0 bench=adpcm_dec cycles=324385 instructions=228471 cache-misses=59
[sample=65] cpu=0 bench=adpcm_dec cycles=328021 instructions=228470 cache-misses=50
[sample=66] cpu=0 bench=adpcm_dec cycles=330109 instructions=228471 cache-misses=40
[sample=67] cpu=0 bench=adpcm_dec cycles=353948 instructions=228476 cache-misses=52
[sample=68] cpu=0 bench=adpcm_dec cycles=343941 instructions=228471 cache-misses=42
[sample=69] cpu=0 bench=adpcm_dec cycles=334821 instructions=228471 cache-misses=40
[sample=70] cpu=0 bench=adpcm_dec cycles=332577 instructions=228472 cache-misses=44
[sample=71] cpu=0 bench=adpcm_dec cycles=339698 instructions=228474 cache-misses=95
[sample=72] cpu=0 bench=adpcm_dec cycles=334889 instructions=228473 cache-misses=51
[sample=73] cpu=0 bench=adpcm_dec cycles=328544 instructions=228473 cache-misses=45
[sample=74] cpu=0 bench=adpcm_dec cycles=326702 instructions=228473 cache-misses=44
[sample=75] cpu=0 bench=adpcm_dec cycles=332479 instructions=228473 cache-misses=37
[sample=76] cpu=0 bench=adpcm_dec cycles=327748 instructions=228474 cache-misses=38
[sample=77] cpu=0 bench=adpcm_dec cycles=327039 instructions=228473 cache-misses=49
[sample=78] cpu=0 bench=adpcm_dec cycles=330635 instructions=228474 cache-misses=44
[sample=79] cpu=0 bench=adpcm_dec cycles=328211 instructions=228471 cache-misses=49
[sample=80] cpu=0 bench=adpcm_dec cycles=327295 instructions=228471 cache-misses=45
[sample=81] cpu=0 bench=adpcm_dec cycles=331208 instructions=228468 cache-misses=43
[sample=82] cpu=0 bench=adpcm_dec cycles=322711 instructions=228470 cache-misses=49
[sample=83] cpu=0 bench=adpcm_dec cycles=331240 instructions=228471 cache-misses=50
[sample=84] cpu=0 bench=adpcm_dec cycles=324657 instructions=228470 cache-misses=43
[sample=85] cpu=0 bench=adpcm_dec cycles=327927 instructions=228469 cache-misses=43
[sample=86] cpu=0 bench=adpcm_dec cycles=324543 instructions=228472 cache-misses=45
[sample=87] cpu=0 bench=adpcm_dec cycles=327020 instructions=228471 cache-misses=47
[sample=88] cpu=0 bench=adpcm_dec cycles=325795 instructions=228471 cache-misses=46
[sample=89] cpu=0 bench=adpcm_dec cycles=332787 instructions=228473 cache-misses=42
[sample=90] cpu=0 bench=adpcm_dec cycles=326693 instructions=228471 cache-misses=60
[sample=91] cpu=0 bench=adpcm_dec cycles=328481 instructions=228471 cache-misses=44
[sample=92] cpu=0 bench=adpcm_dec cycles=324960 instructions=228471 cache-misses=44
[sample=93] cpu=0 bench=adpcm_dec cycles=334241 instructions=228472 cache-misses=42
[sample=94] cpu=0 bench=adpcm_dec cycles=333176 instructions=228474 cache-misses=47
[sample=95] cpu=0 bench=adpcm_dec cycles=334542 instructions=228474 cache-misses=45
[sample=96] cpu=0 bench=adpcm_dec cycles=326744 instructions=228471 cache-misses=43
[sample=97] cpu=0 bench=adpcm_dec cycles=326829 instructions=228470 cache-misses=43
[sample=98] cpu=0 bench=adpcm_dec cycles=328088 instructions=228474 cache-misses=43
[sample=99] cpu=0 bench=adpcm_dec cycles=328855 instructions=228471 cache-misses=47

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                      322711               461015            330961.20            328324.50
  instructions                228468               228480            228472.12            228472.00
  cache-misses                    37                   95                46.25                44.00
