[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=binarysearch cycles=34092 instructions=1262 cache-misses=15
[sample=1] cpu=0 bench=binarysearch cycles=7393 instructions=1257 cache-misses=9
[sample=2] cpu=0 bench=binarysearch cycles=9646 instructions=1257 cache-misses=12
[sample=3] cpu=0 bench=binarysearch cycles=4060 instructions=1259 cache-misses=8
[sample=4] cpu=0 bench=binarysearch cycles=3081 instructions=1258 cache-misses=9
[sample=5] cpu=0 bench=binarysearch cycles=3139 instructions=1258 cache-misses=6
[sample=6] cpu=0 bench=binarysearch cycles=3169 instructions=1259 cache-misses=5
[sample=7] cpu=0 bench=binarysearch cycles=3739 instructions=1257 cache-misses=7
[sample=8] cpu=0 bench=binarysearch cycles=3017 instructions=1257 cache-misses=8
[sample=9] cpu=0 bench=binarysearch cycles=4063 instructions=1257 cache-misses=5
[sample=10] cpu=0 bench=binarysearch cycles=3283 instructions=1257 cache-misses=6
[sample=11] cpu=0 bench=binarysearch cycles=3412 instructions=1257 cache-misses=8
[sample=12] cpu=0 bench=binarysearch cycles=7852 instructions=1257 cache-misses=7
[sample=13] cpu=0 bench=binarysearch cycles=3390 instructions=1258 cache-misses=7
[sample=14] cpu=0 bench=binarysearch cycles=3513 instructions=1258 cache-misses=9
[sample=15] cpu=0 bench=binarysearch cycles=2661 instructions=1257 cache-misses=9
[sample=16] cpu=0 bench=binarysearch cycles=2764 instructions=1257 cache-misses=7
[sample=17] cpu=0 bench=binarysearch cycles=2905 instructions=1257 cache-misses=4
[sample=18] cpu=0 bench=binarysearch cycles=2726 instructions=1257 cache-misses=6
[sample=19] cpu=0 bench=binarysearch cycles=3619 instructions=1258 cache-misses=8
[sample=20] cpu=0 bench=binarysearch cycles=2724 instructions=1257 cache-misses=6
[sample=21] cpu=0 bench=binarysearch cycles=3766 instructions=1257 cache-misses=8
[sample=22] cpu=0 bench=binarysearch cycles=2406 instructions=1257 cache-misses=6
[sample=23] cpu=0 bench=binarysearch cycles=8156 instructions=1257 cache-misses=4
[sample=24] cpu=0 bench=binarysearch cycles=3614 instructions=1257 cache-misses=8
[sample=25] cpu=0 bench=binarysearch cycles=3854 instructions=1257 cache-misses=8
[sample=26] cpu=0 bench=binarysearch cycles=3141 instructions=1257 cache-misses=6
[sample=27] cpu=0 bench=binarysearch cycles=3682 instructions=1257 cache-misses=8
[sample=28] cpu=0 bench=binarysearch cycles=3658 instructions=1258 cache-misses=6
[sample=29] cpu=0 bench=binarysearch cycles=3127 instructions=1257 cache-misses=8
[sample=30] cpu=0 bench=binarysearch cycles=3128 instructions=1258 cache-misses=7
[sample=31] cpu=0 bench=binarysearch cycles=3303 instructions=1257 cache-misses=7
[sample=32] cpu=0 bench=binarysearch cycles=4561 instructions=1257 cache-misses=11
[sample=33] cpu=0 bench=binarysearch cycles=3637 instructions=1257 cache-misses=10
[sample=34] cpu=0 bench=binarysearch cycles=2803 instructions=1257 cache-misses=7
[sample=35] cpu=0 bench=binarysearch cycles=2804 instructions=1257 cache-misses=6
[sample=36] cpu=0 bench=binarysearch cycles=2962 instructions=1257 cache-misses=6
[sample=37] cpu=0 bench=binarysearch cycles=2973 instructions=1257 cache-misses=9
[sample=38] cpu=0 bench=binarysearch cycles=2955 instructions=1257 cache-misses=7
[sample=39] cpu=0 bench=binarysearch cycles=4737 instructions=1257 cache-misses=6
[sample=40] cpu=0 bench=binarysearch cycles=2903 instructions=1258 cache-misses=6
[sample=41] cpu=0 bench=binarysearch cycles=3642 instructions=1258 cache-misses=10
[sample=42] cpu=0 bench=binarysearch cycles=3554 instructions=1257 cache-misses=5
[sample=43] cpu=0 bench=binarysearch cycles=2891 instructions=1258 cache-misses=6
[sample=44] cpu=0 bench=binarysearch cycles=3024 instructions=1258 cache-misses=7
[sample=45] cpu=0 bench=binarysearch cycles=2959 instructions=1258 cache-misses=6
[sample=46] cpu=0 bench=binarysearch cycles=3038 instructions=1258 cache-misses=8
[sample=47] cpu=0 bench=binarysearch cycles=3430 instructions=1258 cache-misses=8
[sample=48] cpu=0 bench=binarysearch cycles=3800 instructions=1258 cache-misses=8
[sample=49] cpu=0 bench=binarysearch cycles=3481 instructions=1258 cache-misses=7
[sample=50] cpu=0 bench=binarysearch cycles=3071 instructions=1258 cache-misses=9
[sample=51] cpu=0 bench=binarysearch cycles=3709 instructions=1258 cache-misses=9
[sample=52] cpu=0 bench=binarysearch cycles=4147 instructions=1257 cache-misses=9
[sample=53] cpu=0 bench=binarysearch cycles=3618 instructions=1258 cache-misses=6
[sample=54] cpu=0 bench=binarysearch cycles=2939 instructions=1258 cache-misses=5
[sample=55] cpu=0 bench=binarysearch cycles=2955 instructions=1258 cache-misses=8
[sample=56] cpu=0 bench=binarysearch cycles=2339 instructions=1257 cache-misses=7
[sample=57] cpu=0 bench=binarysearch cycles=3033 instructions=1257 cache-misses=8
[sample=58] cpu=0 bench=binarysearch cycles=2484 instructions=1257 cache-misses=7
[sample=59] cpu=0 bench=binarysearch cycles=2323 instructions=1257 cache-misses=8
[sample=60] cpu=0 bench=binarysearch cycles=2232 instructions=1257 cache-misses=5
[sample=61] cpu=0 bench=binarysearch cycles=2501 instructions=1257 cache-misses=6
[sample=62] cpu=0 bench=binarysearch cycles=4120 instructions=1257 cache-misses=8
[sample=63] cpu=0 bench=binarysearch cycles=2607 instructions=1258 cache-misses=9
[sample=64] cpu=0 bench=binarysearch cycles=2827 instructions=1258 cache-misses=5
[sample=65] cpu=0 bench=binarysearch cycles=2547 instructions=1257 cache-misses=5
[sample=66] cpu=0 bench=binarysearch cycles=2448 instructions=1257 cache-misses=8
[sample=67] cpu=0 bench=binarysearch cycles=2351 instructions=1257 cache-misses=6
[sample=68] cpu=0 bench=binarysearch cycles=2112 instructions=1257 cache-misses=9
[sample=69] cpu=0 bench=binarysearch cycles=3008 instructions=1257 cache-misses=9
[sample=70] cpu=0 bench=binarysearch cycles=2333 instructions=1257 cache-misses=6
[sample=71] cpu=0 bench=binarysearch cycles=2416 instructions=1257 cache-misses=7
[sample=72] cpu=0 bench=binarysearch cycles=2413 instructions=1257 cache-misses=8
[sample=73] cpu=0 bench=binarysearch cycles=2521 instructions=1257 cache-misses=9
[sample=74] cpu=0 bench=binarysearch cycles=2893 instructions=1258 cache-misses=10
