[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=binarysearch cycles=29582 instructions=1263 cache-misses=16
[sample=1] cpu=0 bench=binarysearch cycles=3745 instructions=1258 cache-misses=10
[sample=2] cpu=0 bench=binarysearch cycles=3453 instructions=1258 cache-misses=10
[sample=3] cpu=0 bench=binarysearch cycles=3314 instructions=1258 cache-misses=8
[sample=4] cpu=0 bench=binarysearch cycles=3389 instructions=1258 cache-misses=9
[sample=5] cpu=0 bench=binarysearch cycles=3012 instructions=1259 cache-misses=8
[sample=6] cpu=0 bench=binarysearch cycles=3657 instructions=1258 cache-misses=8
[sample=7] cpu=0 bench=binarysearch cycles=3670 instructions=1258 cache-misses=10
[sample=8] cpu=0 bench=binarysearch cycles=3019 instructions=1258 cache-misses=12
[sample=9] cpu=0 bench=binarysearch cycles=2926 instructions=1258 cache-misses=11
[sample=10] cpu=0 bench=binarysearch cycles=3299 instructions=1258 cache-misses=8
[sample=11] cpu=0 bench=binarysearch cycles=3848 instructions=1259 cache-misses=13
[sample=12] cpu=0 bench=binarysearch cycles=3524 instructions=1259 cache-misses=9
[sample=13] cpu=0 bench=binarysearch cycles=4636 instructions=1257 cache-misses=11
[sample=14] cpu=0 bench=binarysearch cycles=4028 instructions=1259 cache-misses=10
[sample=15] cpu=0 bench=binarysearch cycles=3489 instructions=1258 cache-misses=9
[sample=16] cpu=0 bench=binarysearch cycles=4692 instructions=1258 cache-misses=9
[sample=17] cpu=0 bench=binarysearch cycles=3271 instructions=1258 cache-misses=8
[sample=18] cpu=0 bench=binarysearch cycles=3486 instructions=1259 cache-misses=8
[sample=19] cpu=0 bench=binarysearch cycles=3548 instructions=1258 cache-misses=8
[sample=20] cpu=0 bench=binarysearch cycles=3134 instructions=1258 cache-misses=9
[sample=21] cpu=0 bench=binarysearch cycles=3099 instructions=1259 cache-misses=9
[sample=22] cpu=0 bench=binarysearch cycles=3630 instructions=1258 cache-misses=8
[sample=23] cpu=0 bench=binarysearch cycles=3688 instructions=1258 cache-misses=10
[sample=24] cpu=0 bench=binarysearch cycles=3487 instructions=1259 cache-misses=8
[sample=25] cpu=0 bench=binarysearch cycles=2480 instructions=1259 cache-misses=5
[sample=26] cpu=0 bench=binarysearch cycles=2986 instructions=1259 cache-misses=8
[sample=27] cpu=0 bench=binarysearch cycles=3246 instructions=1257 cache-misses=8
[sample=28] cpu=0 bench=binarysearch cycles=8034 instructions=1258 cache-misses=10
[sample=29] cpu=0 bench=binarysearch cycles=3101 instructions=1259 cache-misses=9
[sample=30] cpu=0 bench=binarysearch cycles=3278 instructions=1258 cache-misses=8
