[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=fir2dim cycles=68084 instructions=10128 cache-misses=16
[sample=1] cpu=0 bench=fir2dim cycles=14686 instructions=10113 cache-misses=10
[sample=2] cpu=0 bench=fir2dim cycles=14340 instructions=10108 cache-misses=3
[sample=3] cpu=0 bench=fir2dim cycles=13730 instructions=10107 cache-misses=1
[sample=4] cpu=0 bench=fir2dim cycles=13946 instructions=10108 cache-misses=0
[sample=5] cpu=0 bench=fir2dim cycles=13640 instructions=10108 cache-misses=2
[sample=6] cpu=0 bench=fir2dim cycles=13988 instructions=10104 cache-misses=2
[sample=7] cpu=0 bench=fir2dim cycles=14117 instructions=10101 cache-misses=3
[sample=8] cpu=0 bench=fir2dim cycles=14267 instructions=10103 cache-misses=2
[sample=9] cpu=0 bench=fir2dim cycles=13763 instructions=10101 cache-misses=0
[sample=10] cpu=0 bench=fir2dim cycles=14476 instructions=10105 cache-misses=6
[sample=11] cpu=0 bench=fir2dim cycles=13893 instructions=10102 cache-misses=3
[sample=12] cpu=0 bench=fir2dim cycles=14039 instructions=10100 cache-misses=1
[sample=13] cpu=0 bench=fir2dim cycles=14785 instructions=10103 cache-misses=4
[sample=14] cpu=0 bench=fir2dim cycles=13820 instructions=10110 cache-misses=2
[sample=15] cpu=0 bench=fir2dim cycles=13549 instructions=10104 cache-misses=3
[sample=16] cpu=0 bench=fir2dim cycles=14158 instructions=10103 cache-misses=1
[sample=17] cpu=0 bench=fir2dim cycles=13685 instructions=10106 cache-misses=2
[sample=18] cpu=0 bench=fir2dim cycles=13329 instructions=10107 cache-misses=1
[sample=19] cpu=0 bench=fir2dim cycles=13357 instructions=10102 cache-misses=3
[sample=20] cpu=0 bench=fir2dim cycles=14034 instructions=10104 cache-misses=1
[sample=21] cpu=0 bench=fir2dim cycles=13332 instructions=10101 cache-misses=0
[sample=22] cpu=0 bench=fir2dim cycles=13433 instructions=10100 cache-misses=3
[sample=23] cpu=0 bench=fir2dim cycles=13640 instructions=10103 cache-misses=1
[sample=24] cpu=0 bench=fir2dim cycles=14118 instructions=10101 cache-misses=3
[sample=25] cpu=0 bench=fir2dim cycles=13736 instructions=10100 cache-misses=2
[sample=26] cpu=0 bench=fir2dim cycles=13789 instructions=10110 cache-misses=2
[sample=27] cpu=0 bench=fir2dim cycles=13902 instructions=10107 cache-misses=8
[sample=28] cpu=0 bench=fir2dim cycles=13593 instructions=10104 cache-misses=3
[sample=29] cpu=0 bench=fir2dim cycles=13375 instructions=10107 cache-misses=3
[sample=30] cpu=0 bench=fir2dim cycles=14112 instructions=10101 cache-misses=5
[sample=31] cpu=0 bench=fir2dim cycles=18777 instructions=10101 cache-misses=4
[sample=32] cpu=0 bench=fir2dim cycles=14641 instructions=10100 cache-misses=2
[sample=33] cpu=0 bench=fir2dim cycles=13925 instructions=10098 cache-misses=4
[sample=34] cpu=0 bench=fir2dim cycles=13715 instructions=10100 cache-misses=5
[sample=35] cpu=0 bench=fir2dim cycles=14625 instructions=10104 cache-misses=3
[sample=36] cpu=0 bench=fir2dim cycles=13651 instructions=10104 cache-misses=3
[sample=37] cpu=0 bench=fir2dim cycles=14552 instructions=10102 cache-misses=4
[sample=38] cpu=0 bench=fir2dim cycles=13401 instructions=10102 cache-misses=3
[sample=39] cpu=0 bench=fir2dim cycles=13719 instructions=10100 cache-misses=2
[sample=40] cpu=0 bench=fir2dim cycles=13484 instructions=10102 cache-misses=4
[sample=41] cpu=0 bench=fir2dim cycles=13472 instructions=10103 cache-misses=4
[sample=42] cpu=0 bench=fir2dim cycles=13996 instructions=10108 cache-misses=4
