[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=fir2dim cycles=65654 instructions=10137 cache-misses=20
[sample=1] cpu=0 bench=fir2dim cycles=54565 instructions=10113 cache-misses=14
[sample=2] cpu=0 bench=fir2dim cycles=24728 instructions=10117 cache-misses=10
[sample=3] cpu=0 bench=fir2dim cycles=18709 instructions=10120 cache-misses=10
[sample=4] cpu=0 bench=fir2dim cycles=17369 instructions=10113 cache-misses=9
[sample=5] cpu=0 bench=fir2dim cycles=14313 instructions=10111 cache-misses=8
[sample=6] cpu=0 bench=fir2dim cycles=18350 instructions=10112 cache-misses=8
[sample=7] cpu=0 bench=fir2dim cycles=14223 instructions=10121 cache-misses=7
[sample=8] cpu=0 bench=fir2dim cycles=14968 instructions=10115 cache-misses=9
[sample=9] cpu=0 bench=fir2dim cycles=14511 instructions=10114 cache-misses=5
[sample=10] cpu=0 bench=fir2dim cycles=14676 instructions=10113 cache-misses=6
[sample=11] cpu=0 bench=fir2dim cycles=13644 instructions=10117 cache-misses=6
[sample=12] cpu=0 bench=fir2dim cycles=17784 instructions=10116 cache-misses=7
[sample=13] cpu=0 bench=fir2dim cycles=17115 instructions=10112 cache-misses=6
[sample=14] cpu=0 bench=fir2dim cycles=19996 instructions=10119 cache-misses=8
[sample=15] cpu=0 bench=fir2dim cycles=15232 instructions=10115 cache-misses=8
[sample=16] cpu=0 bench=fir2dim cycles=21219 instructions=10114 cache-misses=8
[sample=17] cpu=0 bench=fir2dim cycles=14984 instructions=10113 cache-misses=7
[sample=18] cpu=0 bench=fir2dim cycles=15512 instructions=10112 cache-misses=5
[sample=19] cpu=0 bench=fir2dim cycles=19884 instructions=10113 cache-misses=8
[sample=20] cpu=0 bench=fir2dim cycles=17820 instructions=10113 cache-misses=6
[sample=21] cpu=0 bench=fir2dim cycles=15977 instructions=10112 cache-misses=7
[sample=22] cpu=0 bench=fir2dim cycles=16786 instructions=10110 cache-misses=8
[sample=23] cpu=0 bench=fir2dim cycles=15126 instructions=10113 cache-misses=10
[sample=24] cpu=0 bench=fir2dim cycles=19373 instructions=10112 cache-misses=8
[sample=25] cpu=0 bench=fir2dim cycles=14772 instructions=10114 cache-misses=8
[sample=26] cpu=0 bench=fir2dim cycles=14200 instructions=10108 cache-misses=8
[sample=27] cpu=0 bench=fir2dim cycles=14876 instructions=10111 cache-misses=8
[sample=28] cpu=0 bench=fir2dim cycles=14034 instructions=10114 cache-misses=8
[sample=29] cpu=0 bench=fir2dim cycles=14361 instructions=10114 cache-misses=9
[sample=30] cpu=0 bench=fir2dim cycles=14361 instructions=10110 cache-misses=8
[sample=31] cpu=0 bench=fir2dim cycles=14366 instructions=10110 cache-misses=7
