[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=fmref cycles=870355 instructions=454806 cache-misses=132
[sample=1] cpu=0 bench=fmref cycles=809382 instructions=417311 cache-misses=98
[sample=2] cpu=0 bench=fmref cycles=680601 instructions=417311 cache-misses=71
[sample=3] cpu=0 bench=fmref cycles=673833 instructions=417301 cache-misses=67
[sample=4] cpu=0 bench=fmref cycles=672296 instructions=417305 cache-misses=82
[sample=5] cpu=0 bench=fmref cycles=664633 instructions=417300 cache-misses=73
[sample=6] cpu=0 bench=fmref cycles=667686 instructions=417300 cache-misses=76
[sample=7] cpu=0 bench=fmref cycles=669100 instructions=417307 cache-misses=67
[sample=8] cpu=0 bench=fmref cycles=668748 instructions=417304 cache-misses=74
[sample=9] cpu=0 bench=fmref cycles=675180 instructions=417302 cache-misses=57
[sample=10] cpu=0 bench=fmref cycles=667929 instructions=417310 cache-misses=72
[sample=11] cpu=0 bench=fmref cycles=678034 instructions=417301 cache-misses=75
[sample=12] cpu=0 bench=fmref cycles=664991 instructions=417307 cache-misses=69
[sample=13] cpu=0 bench=fmref cycles=668387 instructions=417299 cache-misses=68
[sample=14] cpu=0 bench=fmref cycles=663516 instructions=417302 cache-misses=74
[sample=15] cpu=0 bench=fmref cycles=666005 instructions=417307 cache-misses=63
[sample=16] cpu=0 bench=fmref cycles=671859 instructions=417307 cache-misses=83
[sample=17] cpu=0 bench=fmref cycles=671605 instructions=417306 cache-misses=63
[sample=18] cpu=0 bench=fmref cycles=664844 instructions=417299 cache-misses=62
[sample=19] cpu=0 bench=fmref cycles=670973 instructions=417305 cache-misses=84
[sample=20] cpu=0 bench=fmref cycles=668407 instructions=417307 cache-misses=74
[sample=21] cpu=0 bench=fmref cycles=673069 instructions=417305 cache-misses=72
[sample=22] cpu=0 bench=fmref cycles=665476 instructions=417299 cache-misses=70
[sample=23] cpu=0 bench=fmref cycles=675248 instructions=417300 cache-misses=61
[sample=24] cpu=0 bench=fmref cycles=680249 instructions=417298 cache-misses=70
[sample=25] cpu=0 bench=fmref cycles=676902 instructions=417302 cache-misses=57
[sample=26] cpu=0 bench=fmref cycles=674286 instructions=417309 cache-misses=66
[sample=27] cpu=0 bench=fmref cycles=699995 instructions=417299 cache-misses=85
[sample=28] cpu=0 bench=fmref cycles=665560 instructions=417306 cache-misses=75
[sample=29] cpu=0 bench=fmref cycles=663792 instructions=417308 cache-misses=75
[sample=30] cpu=0 bench=fmref cycles=666631 instructions=417304 cache-misses=63
[sample=31] cpu=0 bench=fmref cycles=676150 instructions=417305 cache-misses=64
[sample=32] cpu=0 bench=fmref cycles=664220 instructions=417303 cache-misses=66
[sample=33] cpu=0 bench=fmref cycles=660868 instructions=417306 cache-misses=63
[sample=34] cpu=0 bench=fmref cycles=664061 instructions=417305 cache-misses=70
[sample=35] cpu=0 bench=fmref cycles=663413 instructions=417302 cache-misses=64
[sample=36] cpu=0 bench=fmref cycles=658546 instructions=417305 cache-misses=74
[sample=37] cpu=0 bench=fmref cycles=662268 instructions=417302 cache-misses=75
[sample=38] cpu=0 bench=fmref cycles=1045012 instructions=417304 cache-misses=68
[sample=39] cpu=0 bench=fmref cycles=663092 instructions=417305 cache-misses=71
[sample=40] cpu=0 bench=fmref cycles=660719 instructions=417304 cache-misses=88
[sample=41] cpu=0 bench=fmref cycles=724505 instructions=417314 cache-misses=107
[sample=42] cpu=0 bench=fmref cycles=709166 instructions=417310 cache-misses=82
[sample=43] cpu=0 bench=fmref cycles=671131 instructions=417306 cache-misses=62
[sample=44] cpu=0 bench=fmref cycles=673519 instructions=417305 cache-misses=75
[sample=45] cpu=0 bench=fmref cycles=666225 instructions=417305 cache-misses=62
[sample=46] cpu=0 bench=fmref cycles=663758 instructions=417305 cache-misses=70
[sample=47] cpu=0 bench=fmref cycles=670241 instructions=417310 cache-misses=75
[sample=48] cpu=0 bench=fmref cycles=664896 instructions=417299 cache-misses=80
[sample=49] cpu=0 bench=fmref cycles=667799 instructions=417303 cache-misses=72
[sample=50] cpu=0 bench=fmref cycles=664977 instructions=417304 cache-misses=73
