[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=iir cycles=30134 instructions=2593 cache-misses=18
[sample=1] cpu=0 bench=iir cycles=12493 instructions=2589 cache-misses=11
[sample=2] cpu=0 bench=iir cycles=5236 instructions=2588 cache-misses=12
[sample=3] cpu=0 bench=iir cycles=5200 instructions=2589 cache-misses=9
[sample=4] cpu=0 bench=iir cycles=4755 instructions=2589 cache-misses=10
[sample=5] cpu=0 bench=iir cycles=5354 instructions=2589 cache-misses=8
[sample=6] cpu=0 bench=iir cycles=4340 instructions=2589 cache-misses=8
[sample=7] cpu=0 bench=iir cycles=5170 instructions=2589 cache-misses=10
[sample=8] cpu=0 bench=iir cycles=4270 instructions=2589 cache-misses=8
[sample=9] cpu=0 bench=iir cycles=4811 instructions=2589 cache-misses=11
[sample=10] cpu=0 bench=iir cycles=4562 instructions=2589 cache-misses=8
[sample=11] cpu=0 bench=iir cycles=5317 instructions=2589 cache-misses=7
[sample=12] cpu=0 bench=iir cycles=4384 instructions=2589 cache-misses=9
[sample=13] cpu=0 bench=iir cycles=4851 instructions=2589 cache-misses=10
[sample=14] cpu=0 bench=iir cycles=4830 instructions=2589 cache-misses=10
[sample=15] cpu=0 bench=iir cycles=6547 instructions=2589 cache-misses=10
[sample=16] cpu=0 bench=iir cycles=4035 instructions=2589 cache-misses=7
[sample=17] cpu=0 bench=iir cycles=4839 instructions=2589 cache-misses=9
[sample=18] cpu=0 bench=iir cycles=4237 instructions=2589 cache-misses=7
[sample=19] cpu=0 bench=iir cycles=4667 instructions=2589 cache-misses=8
[sample=20] cpu=0 bench=iir cycles=5624 instructions=2589 cache-misses=8
[sample=21] cpu=0 bench=iir cycles=4954 instructions=2589 cache-misses=8
[sample=22] cpu=0 bench=iir cycles=6064 instructions=2589 cache-misses=11
[sample=23] cpu=0 bench=iir cycles=5133 instructions=2589 cache-misses=9
[sample=24] cpu=0 bench=iir cycles=5828 instructions=2589 cache-misses=9
[sample=25] cpu=0 bench=iir cycles=5154 instructions=2589 cache-misses=9
[sample=26] cpu=0 bench=iir cycles=5036 instructions=2589 cache-misses=9
[sample=27] cpu=0 bench=iir cycles=4932 instructions=2589 cache-misses=8
[sample=28] cpu=0 bench=iir cycles=4354 instructions=2589 cache-misses=9
[sample=29] cpu=0 bench=iir cycles=5475 instructions=2589 cache-misses=8
[sample=30] cpu=0 bench=iir cycles=7310 instructions=2589 cache-misses=9
[sample=31] cpu=0 bench=iir cycles=4639 instructions=2589 cache-misses=7
[sample=32] cpu=0 bench=iir cycles=5363 instructions=2589 cache-misses=7
[sample=33] cpu=0 bench=iir cycles=4721 instructions=2589 cache-misses=8
[sample=34] cpu=0 bench=iir cycles=4859 instructions=2589 cache-misses=12
[sample=35] cpu=0 bench=iir cycles=5446 instructions=2589 cache-misses=10
[sample=36] cpu=0 bench=iir cycles=4456 instructions=2589 cache-misses=9
[sample=37] cpu=0 bench=iir cycles=5364 instructions=2589 cache-misses=9
[sample=38] cpu=0 bench=iir cycles=5297 instructions=2589 cache-misses=9
[sample=39] cpu=0 bench=iir cycles=4929 instructions=2589 cache-misses=9
[sample=40] cpu=0 bench=iir cycles=4719 instructions=2589 cache-misses=10
[sample=41] cpu=0 bench=iir cycles=4647 instructions=2589 cache-misses=7
[sample=42] cpu=0 bench=iir cycles=4937 instructions=2589 cache-misses=9
[sample=43] cpu=0 bench=iir cycles=4758 instructions=2589 cache-misses=8
[sample=44] cpu=0 bench=iir cycles=4618 instructions=2589 cache-misses=10
[sample=45] cpu=0 bench=iir cycles=5529 instructions=2589 cache-misses=9
[sample=46] cpu=0 bench=iir cycles=9653 instructions=2589 cache-misses=10
[sample=47] cpu=0 bench=iir cycles=4875 instructions=2589 cache-misses=9
[sample=48] cpu=0 bench=iir cycles=3964 instructions=2589 cache-misses=8
[sample=49] cpu=0 bench=iir cycles=4540 instructions=2589 cache-misses=11
[sample=50] cpu=0 bench=iir cycles=4580 instructions=2589 cache-misses=9
[sample=51] cpu=0 bench=iir cycles=4948 instructions=2589 cache-misses=5
[sample=52] cpu=0 bench=iir cycles=7109 instructions=2589 cache-misses=12
[sample=53] cpu=0 bench=iir cycles=5523 instructions=2589 cache-misses=12
[sample=54] cpu=0 bench=iir cycles=5999 instructions=2589 cache-misses=8
[sample=55] cpu=0 bench=iir cycles=5028 instructions=2589 cache-misses=8
[sample=56] cpu=0 bench=iir cycles=4840 instructions=2589 cache-misses=7
[sample=57] cpu=0 bench=iir cycles=4027 instructions=2589 cache-misses=6
[sample=58] cpu=0 bench=iir cycles=4724 instructions=2589 cache-misses=11
[sample=59] cpu=0 bench=iir cycles=6349 instructions=2589 cache-misses=7
[sample=60] cpu=0 bench=iir cycles=4668 instructions=2589 cache-misses=8
[sample=61] cpu=0 bench=iir cycles=5249 instructions=2589 cache-misses=8
[sample=62] cpu=0 bench=iir cycles=5211 instructions=2589 cache-misses=9
[sample=63] cpu=0 bench=iir cycles=3986 instructions=2589 cache-misses=9
[sample=64] cpu=0 bench=iir cycles=4207 instructions=2589 cache-misses=7
[sample=65] cpu=0 bench=iir cycles=5395 instructions=2589 cache-misses=9
[sample=66] cpu=0 bench=iir cycles=6373 instructions=2589 cache-misses=12
[sample=67] cpu=0 bench=iir cycles=5780 instructions=2589 cache-misses=9
[sample=68] cpu=0 bench=iir cycles=6340 instructions=2589 cache-misses=10
[sample=69] cpu=0 bench=iir cycles=5491 instructions=2589 cache-misses=10
[sample=70] cpu=0 bench=iir cycles=4918 instructions=2589 cache-misses=6
[sample=71] cpu=0 bench=iir cycles=5654 instructions=2589 cache-misses=10
[sample=72] cpu=0 bench=iir cycles=5464 instructions=2589 cache-misses=11
[sample=73] cpu=0 bench=iir cycles=5259 instructions=2589 cache-misses=9
[sample=74] cpu=0 bench=iir cycles=4319 instructions=2589 cache-misses=9
[sample=75] cpu=0 bench=iir cycles=4966 instructions=2589 cache-misses=10
[sample=76] cpu=0 bench=iir cycles=4670 instructions=2589 cache-misses=11
[sample=77] cpu=0 bench=iir cycles=4833 instructions=2589 cache-misses=8
[sample=78] cpu=0 bench=iir cycles=4422 instructions=2589 cache-misses=11
[sample=79] cpu=0 bench=iir cycles=8200 instructions=2589 cache-misses=10
[sample=80] cpu=0 bench=iir cycles=4854 instructions=2589 cache-misses=10
[sample=81] cpu=0 bench=iir cycles=5775 instructions=2589 cache-misses=9
[sample=82] cpu=0 bench=iir cycles=4822 instructions=2589 cache-misses=10
[sample=83] cpu=0 bench=iir cycles=9722 instructions=2589 cache-misses=10
[sample=84] cpu=0 bench=iir cycles=5333 instructions=2589 cache-misses=6
[sample=85] cpu=0 bench=iir cycles=4893 instructions=2589 cache-misses=6
[sample=86] cpu=0 bench=iir cycles=5833 instructions=2589 cache-misses=10
[sample=87] cpu=0 bench=iir cycles=4130 instructions=2589 cache-misses=7
[sample=88] cpu=0 bench=iir cycles=4642 instructions=2589 cache-misses=9
[sample=89] cpu=0 bench=iir cycles=7278 instructions=2588 cache-misses=14
[sample=90] cpu=0 bench=iir cycles=4704 instructions=2589 cache-misses=9
[sample=91] cpu=0 bench=iir cycles=5065 instructions=2589 cache-misses=11
[sample=92] cpu=0 bench=iir cycles=4737 instructions=2589 cache-misses=7
[sample=93] cpu=0 bench=iir cycles=5564 instructions=2589 cache-misses=10
[sample=94] cpu=0 bench=iir cycles=4845 instructions=2589 cache-misses=7
[sample=95] cpu=0 bench=iir cycles=7352 instructions=2589 cache-misses=9
[sample=96] cpu=0 bench=iir cycles=4993 instructions=2589 cache-misses=8
[sample=97] cpu=0 bench=iir cycles=9058 instructions=2589 cache-misses=8
[sample=98] cpu=0 bench=iir cycles=5903 instructions=2589 cache-misses=9
[sample=99] cpu=0 bench=iir cycles=4611 instructions=2589 cache-misses=8

# Statistics over 100 samples on cpu0 bench=iir (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        3964                30134              5598.56              4960.00
  instructions                  2588                 2593              2589.02              2589.00
  cache-misses                     5                   18                 9.06                 9.00
