[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=iir cycles=27999 instructions=2593 cache-misses=13
[sample=1] cpu=0 bench=iir cycles=6716 instructions=2588 cache-misses=7
[sample=2] cpu=0 bench=iir cycles=3897 instructions=2588 cache-misses=4
[sample=3] cpu=0 bench=iir cycles=4141 instructions=2588 cache-misses=4
[sample=4] cpu=0 bench=iir cycles=3596 instructions=2588 cache-misses=0
[sample=5] cpu=0 bench=iir cycles=3958 instructions=2588 cache-misses=1
[sample=6] cpu=0 bench=iir cycles=3724 instructions=2588 cache-misses=3
[sample=7] cpu=0 bench=iir cycles=3932 instructions=2589 cache-misses=1
[sample=8] cpu=0 bench=iir cycles=3711 instructions=2589 cache-misses=2
[sample=9] cpu=0 bench=iir cycles=6738 instructions=2588 cache-misses=3
[sample=10] cpu=0 bench=iir cycles=3612 instructions=2588 cache-misses=1
[sample=11] cpu=0 bench=iir cycles=3781 instructions=2588 cache-misses=1
[sample=12] cpu=0 bench=iir cycles=3981 instructions=2588 cache-misses=2
[sample=13] cpu=0 bench=iir cycles=3721 instructions=2588 cache-misses=2
[sample=14] cpu=0 bench=iir cycles=3656 instructions=2588 cache-misses=2
[sample=15] cpu=0 bench=iir cycles=3781 instructions=2588 cache-misses=1
[sample=16] cpu=0 bench=iir cycles=3670 instructions=2588 cache-misses=0
[sample=17] cpu=0 bench=iir cycles=8167 instructions=2588 cache-misses=3
[sample=18] cpu=0 bench=iir cycles=3876 instructions=2588 cache-misses=1
[sample=19] cpu=0 bench=iir cycles=3995 instructions=2588 cache-misses=1
[sample=20] cpu=0 bench=iir cycles=4122 instructions=2588 cache-misses=0
[sample=21] cpu=0 bench=iir cycles=4507 instructions=2588 cache-misses=1
[sample=22] cpu=0 bench=iir cycles=4391 instructions=2588 cache-misses=1
[sample=23] cpu=0 bench=iir cycles=4039 instructions=2588 cache-misses=0
[sample=24] cpu=0 bench=iir cycles=3709 instructions=2588 cache-misses=1
[sample=25] cpu=0 bench=iir cycles=3672 instructions=2588 cache-misses=1
[sample=26] cpu=0 bench=iir cycles=3670 instructions=2588 cache-misses=0
[sample=27] cpu=0 bench=iir cycles=3888 instructions=2588 cache-misses=3
[sample=28] cpu=0 bench=iir cycles=3755 instructions=2588 cache-misses=0
[sample=29] cpu=0 bench=iir cycles=3632 instructions=2588 cache-misses=0
[sample=30] cpu=0 bench=iir cycles=4184 instructions=2588 cache-misses=1
[sample=31] cpu=0 bench=iir cycles=3603 instructions=2588 cache-misses=0
[sample=32] cpu=0 bench=iir cycles=3730 instructions=2588 cache-misses=0
[sample=33] cpu=0 bench=iir cycles=3764 instructions=2588 cache-misses=0
[sample=34] cpu=0 bench=iir cycles=3642 instructions=2588 cache-misses=2
[sample=35] cpu=0 bench=iir cycles=3840 instructions=2588 cache-misses=1
[sample=36] cpu=0 bench=iir cycles=7945 instructions=2588 cache-misses=0
[sample=37] cpu=0 bench=iir cycles=3638 instructions=2588 cache-misses=0
[sample=38] cpu=0 bench=iir cycles=3841 instructions=2588 cache-misses=1
[sample=39] cpu=0 bench=iir cycles=3733 instructions=2588 cache-misses=0
[sample=40] cpu=0 bench=iir cycles=3664 instructions=2588 cache-misses=4
[sample=41] cpu=0 bench=iir cycles=3714 instructions=2588 cache-misses=3
[sample=42] cpu=0 bench=iir cycles=4116 instructions=2588 cache-misses=2
[sample=43] cpu=0 bench=iir cycles=3802 instructions=2588 cache-misses=1
[sample=44] cpu=0 bench=iir cycles=3786 instructions=2588 cache-misses=0
[sample=45] cpu=0 bench=iir cycles=4245 instructions=2588 cache-misses=0
[sample=46] cpu=0 bench=iir cycles=3797 instructions=2588 cache-misses=1
[sample=47] cpu=0 bench=iir cycles=3945 instructions=2588 cache-misses=0
[sample=48] cpu=0 bench=iir cycles=3973 instructions=2588 cache-misses=0
[sample=49] cpu=0 bench=iir cycles=3809 instructions=2588 cache-misses=0
[sample=50] cpu=0 bench=iir cycles=3670 instructions=2588 cache-misses=0
[sample=51] cpu=0 bench=iir cycles=4203 instructions=2588 cache-misses=2
[sample=52] cpu=0 bench=iir cycles=3954 instructions=2588 cache-misses=1
[sample=53] cpu=0 bench=iir cycles=4192 instructions=2588 cache-misses=2
[sample=54] cpu=0 bench=iir cycles=4212 instructions=2588 cache-misses=4
[sample=55] cpu=0 bench=iir cycles=3738 instructions=2588 cache-misses=4
[sample=56] cpu=0 bench=iir cycles=3653 instructions=2588 cache-misses=3
[sample=57] cpu=0 bench=iir cycles=3860 instructions=2588 cache-misses=1
[sample=58] cpu=0 bench=iir cycles=3676 instructions=2588 cache-misses=2
[sample=59] cpu=0 bench=iir cycles=3845 instructions=2588 cache-misses=2
[sample=60] cpu=0 bench=iir cycles=4177 instructions=2588 cache-misses=2
[sample=61] cpu=0 bench=iir cycles=4305 instructions=2588 cache-misses=2
[sample=62] cpu=0 bench=iir cycles=3915 instructions=2588 cache-misses=2
[sample=63] cpu=0 bench=iir cycles=3674 instructions=2588 cache-misses=1
[sample=64] cpu=0 bench=iir cycles=3747 instructions=2588 cache-misses=2
[sample=65] cpu=0 bench=iir cycles=4302 instructions=2588 cache-misses=2
[sample=66] cpu=0 bench=iir cycles=3911 instructions=2588 cache-misses=0
[sample=67] cpu=0 bench=iir cycles=4112 instructions=2588 cache-misses=1
[sample=68] cpu=0 bench=iir cycles=3812 instructions=2588 cache-misses=2
[sample=69] cpu=0 bench=iir cycles=4151 instructions=2588 cache-misses=3
[sample=70] cpu=0 bench=iir cycles=4123 instructions=2588 cache-misses=2
[sample=71] cpu=0 bench=iir cycles=4116 instructions=2588 cache-misses=2
[sample=72] cpu=0 bench=iir cycles=3601 instructions=2588 cache-misses=1
[sample=73] cpu=0 bench=iir cycles=3488 instructions=2588 cache-misses=0
[sample=74] cpu=0 bench=iir cycles=4292 instructions=2588 cache-misses=1
[sample=75] cpu=0 bench=iir cycles=4737 instructions=2588 cache-misses=1
[sample=76] cpu=0 bench=iir cycles=4117 instructions=2588 cache-misses=1
[sample=77] cpu=0 bench=iir cycles=4272 instructions=2588 cache-misses=1
[sample=78] cpu=0 bench=iir cycles=4103 instructions=2588 cache-misses=1
[sample=79] cpu=0 bench=iir cycles=4360 instructions=2588 cache-misses=2
[sample=80] cpu=0 bench=iir cycles=4451 instructions=2588 cache-misses=0
[sample=81] cpu=0 bench=iir cycles=4035 instructions=2588 cache-misses=0
[sample=82] cpu=0 bench=iir cycles=3603 instructions=2588 cache-misses=1
[sample=83] cpu=0 bench=iir cycles=3936 instructions=2588 cache-misses=0
[sample=84] cpu=0 bench=iir cycles=4063 instructions=2588 cache-misses=1
[sample=85] cpu=0 bench=iir cycles=3644 instructions=2588 cache-misses=1
[sample=86] cpu=0 bench=iir cycles=3512 instructions=2588 cache-misses=1
[sample=87] cpu=0 bench=iir cycles=7542 instructions=2588 cache-misses=2
[sample=88] cpu=0 bench=iir cycles=3962 instructions=2588 cache-misses=1
[sample=89] cpu=0 bench=iir cycles=3720 instructions=2588 cache-misses=1
[sample=90] cpu=0 bench=iir cycles=3820 instructions=2588 cache-misses=1
[sample=91] cpu=0 bench=iir cycles=4049 instructions=2588 cache-misses=1
[sample=92] cpu=0 bench=iir cycles=3670 instructions=2588 cache-misses=3
[sample=93] cpu=0 bench=iir cycles=3687 instructions=2588 cache-misses=2
[sample=94] cpu=0 bench=iir cycles=4152 instructions=2588 cache-misses=1
[sample=95] cpu=0 bench=iir cycles=3874 instructions=2588 cache-misses=1
[sample=96] cpu=0 bench=iir cycles=4723 instructions=2588 cache-misses=0
[sample=97] cpu=0 bench=iir cycles=4126 instructions=2588 cache-misses=1
[sample=98] cpu=0 bench=iir cycles=3716 instructions=2588 cache-misses=1
[sample=99] cpu=0 bench=iir cycles=8202 instructions=2588 cache-misses=0

# Statistics over 100 samples on cpu0 bench=iir (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        3488                27999              4376.13              3892.50
  instructions                  2588                 2593              2588.07              2588.00
  cache-misses                     0                   13                 1.44                 1.00
