[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=MEM
[sample=0] cpu=0 bench=iir cycles=28784 instructions=2593 cache-misses=17
[sample=1] cpu=0 bench=iir cycles=3748 instructions=2589 cache-misses=15
[sample=2] cpu=0 bench=iir cycles=3799 instructions=2589 cache-misses=11
[sample=3] cpu=0 bench=iir cycles=6834 instructions=2589 cache-misses=11
[sample=4] cpu=0 bench=iir cycles=6962 instructions=2588 cache-misses=11
[sample=5] cpu=0 bench=iir cycles=3752 instructions=2589 cache-misses=10
[sample=6] cpu=0 bench=iir cycles=3729 instructions=2589 cache-misses=9
[sample=7] cpu=0 bench=iir cycles=8335 instructions=2589 cache-misses=9
[sample=8] cpu=0 bench=iir cycles=3730 instructions=2589 cache-misses=7
[sample=9] cpu=0 bench=iir cycles=3936 instructions=2588 cache-misses=9
[sample=10] cpu=0 bench=iir cycles=3667 instructions=2588 cache-misses=11
[sample=11] cpu=0 bench=iir cycles=3685 instructions=2588 cache-misses=10
[sample=12] cpu=0 bench=iir cycles=4101 instructions=2589 cache-misses=7
[sample=13] cpu=0 bench=iir cycles=3742 instructions=2589 cache-misses=12
[sample=14] cpu=0 bench=iir cycles=3659 instructions=2588 cache-misses=9
[sample=15] cpu=0 bench=iir cycles=3709 instructions=2589 cache-misses=11
[sample=16] cpu=0 bench=iir cycles=3919 instructions=2589 cache-misses=11
[sample=17] cpu=0 bench=iir cycles=3716 instructions=2588 cache-misses=12
[sample=18] cpu=0 bench=iir cycles=3643 instructions=2588 cache-misses=12
[sample=19] cpu=0 bench=iir cycles=4047 instructions=2588 cache-misses=11
[sample=20] cpu=0 bench=iir cycles=3735 instructions=2588 cache-misses=13
[sample=21] cpu=0 bench=iir cycles=3705 instructions=2588 cache-misses=9
[sample=22] cpu=0 bench=iir cycles=3616 instructions=2588 cache-misses=8
