[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=insertsort cycles=48604 instructions=2954 cache-misses=22
[sample=1] cpu=0 bench=insertsort cycles=6039 instructions=2946 cache-misses=13
[sample=2] cpu=0 bench=insertsort cycles=5580 instructions=2946 cache-misses=4
[sample=3] cpu=0 bench=insertsort cycles=5364 instructions=2946 cache-misses=3
[sample=4] cpu=0 bench=insertsort cycles=4578 instructions=2946 cache-misses=9
[sample=5] cpu=0 bench=insertsort cycles=4612 instructions=2946 cache-misses=6
[sample=6] cpu=0 bench=insertsort cycles=5254 instructions=2946 cache-misses=4
[sample=7] cpu=0 bench=insertsort cycles=4632 instructions=2946 cache-misses=3
[sample=8] cpu=0 bench=insertsort cycles=4657 instructions=2946 cache-misses=3
[sample=9] cpu=0 bench=insertsort cycles=4523 instructions=2946 cache-misses=4
[sample=10] cpu=0 bench=insertsort cycles=9717 instructions=2946 cache-misses=4
[sample=11] cpu=0 bench=insertsort cycles=4665 instructions=2946 cache-misses=4
[sample=12] cpu=0 bench=insertsort cycles=5165 instructions=2946 cache-misses=5
[sample=13] cpu=0 bench=insertsort cycles=5083 instructions=2946 cache-misses=4
[sample=14] cpu=0 bench=insertsort cycles=4465 instructions=2946 cache-misses=4
[sample=15] cpu=0 bench=insertsort cycles=4557 instructions=2946 cache-misses=5
[sample=16] cpu=0 bench=insertsort cycles=4756 instructions=2946 cache-misses=4
[sample=17] cpu=0 bench=insertsort cycles=5292 instructions=2946 cache-misses=5
[sample=18] cpu=0 bench=insertsort cycles=5898 instructions=2946 cache-misses=5
[sample=19] cpu=0 bench=insertsort cycles=5227 instructions=2946 cache-misses=6
[sample=20] cpu=0 bench=insertsort cycles=5694 instructions=2946 cache-misses=5
[sample=21] cpu=0 bench=insertsort cycles=4948 instructions=2946 cache-misses=3
[sample=22] cpu=0 bench=insertsort cycles=4680 instructions=2946 cache-misses=5
[sample=23] cpu=0 bench=insertsort cycles=9046 instructions=2946 cache-misses=6
[sample=24] cpu=0 bench=insertsort cycles=4646 instructions=2946 cache-misses=4
[sample=25] cpu=0 bench=insertsort cycles=5144 instructions=2946 cache-misses=4
[sample=26] cpu=0 bench=insertsort cycles=4665 instructions=2946 cache-misses=4
