[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=insertsort cycles=51348 instructions=2954 cache-misses=25
[sample=1] cpu=0 bench=insertsort cycles=9054 instructions=2947 cache-misses=14
[sample=2] cpu=0 bench=insertsort cycles=5174 instructions=2947 cache-misses=6
[sample=3] cpu=0 bench=insertsort cycles=4586 instructions=2946 cache-misses=2
[sample=4] cpu=0 bench=insertsort cycles=4670 instructions=2946 cache-misses=1
[sample=5] cpu=0 bench=insertsort cycles=5097 instructions=2946 cache-misses=2
[sample=6] cpu=0 bench=insertsort cycles=4427 instructions=2946 cache-misses=0
[sample=7] cpu=0 bench=insertsort cycles=4228 instructions=2946 cache-misses=1
[sample=8] cpu=0 bench=insertsort cycles=4753 instructions=2946 cache-misses=3
[sample=9] cpu=0 bench=insertsort cycles=4916 instructions=2946 cache-misses=1
[sample=10] cpu=0 bench=insertsort cycles=5754 instructions=2946 cache-misses=2
[sample=11] cpu=0 bench=insertsort cycles=4584 instructions=2946 cache-misses=3
[sample=12] cpu=0 bench=insertsort cycles=5080 instructions=2947 cache-misses=1
[sample=13] cpu=0 bench=insertsort cycles=4462 instructions=2946 cache-misses=1
[sample=14] cpu=0 bench=insertsort cycles=4999 instructions=2946 cache-misses=1
[sample=15] cpu=0 bench=insertsort cycles=4735 instructions=2946 cache-misses=1
[sample=16] cpu=0 bench=insertsort cycles=4643 instructions=2946 cache-misses=2
[sample=17] cpu=0 bench=insertsort cycles=4606 instructions=2946 cache-misses=2
[sample=18] cpu=0 bench=insertsort cycles=4481 instructions=2946 cache-misses=3
[sample=19] cpu=0 bench=insertsort cycles=9177 instructions=2946 cache-misses=3
[sample=20] cpu=0 bench=insertsort cycles=5076 instructions=2946 cache-misses=3
[sample=21] cpu=0 bench=insertsort cycles=5257 instructions=2946 cache-misses=3
[sample=22] cpu=0 bench=insertsort cycles=4633 instructions=2946 cache-misses=1
[sample=23] cpu=0 bench=insertsort cycles=5330 instructions=2946 cache-misses=1
