[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=adpcm_dec cycles=344561 instructions=228478 cache-misses=58
[sample=1] cpu=0 bench=adpcm_dec cycles=354188 instructions=228475 cache-misses=45
[sample=2] cpu=0 bench=adpcm_dec cycles=326774 instructions=228474 cache-misses=51
[sample=3] cpu=0 bench=adpcm_dec cycles=316334 instructions=228474 cache-misses=42
[sample=4] cpu=0 bench=adpcm_dec cycles=314881 instructions=228476 cache-misses=44
[sample=5] cpu=0 bench=adpcm_dec cycles=315034 instructions=228474 cache-misses=53
[sample=6] cpu=0 bench=adpcm_dec cycles=315261 instructions=228473 cache-misses=49
[sample=7] cpu=0 bench=adpcm_dec cycles=315344 instructions=228474 cache-misses=50
[sample=8] cpu=0 bench=adpcm_dec cycles=315229 instructions=228473 cache-misses=55
[sample=9] cpu=0 bench=adpcm_dec cycles=316209 instructions=228473 cache-misses=46
[sample=10] cpu=0 bench=adpcm_dec cycles=317908 instructions=228475 cache-misses=77
[sample=11] cpu=0 bench=adpcm_dec cycles=316989 instructions=228472 cache-misses=47
[sample=12] cpu=0 bench=adpcm_dec cycles=315811 instructions=228475 cache-misses=46
[sample=13] cpu=0 bench=adpcm_dec cycles=316314 instructions=228473 cache-misses=46
[sample=14] cpu=0 bench=adpcm_dec cycles=316235 instructions=228472 cache-misses=48
[sample=15] cpu=0 bench=adpcm_dec cycles=315198 instructions=228471 cache-misses=44
[sample=16] cpu=0 bench=adpcm_dec cycles=316148 instructions=228474 cache-misses=40
[sample=17] cpu=0 bench=adpcm_dec cycles=315469 instructions=228472 cache-misses=49
[sample=18] cpu=0 bench=adpcm_dec cycles=316215 instructions=228474 cache-misses=38
[sample=19] cpu=0 bench=adpcm_dec cycles=315935 instructions=228472 cache-misses=46
[sample=20] cpu=0 bench=adpcm_dec cycles=315663 instructions=228473 cache-misses=41
[sample=21] cpu=0 bench=adpcm_dec cycles=316070 instructions=228473 cache-misses=41
[sample=22] cpu=0 bench=adpcm_dec cycles=315256 instructions=228472 cache-misses=48
[sample=23] cpu=0 bench=adpcm_dec cycles=315065 instructions=228472 cache-misses=43
[sample=24] cpu=0 bench=adpcm_dec cycles=315425 instructions=228471 cache-misses=45
[sample=25] cpu=0 bench=adpcm_dec cycles=315167 instructions=228474 cache-misses=44
[sample=26] cpu=0 bench=adpcm_dec cycles=315204 instructions=228474 cache-misses=41
[sample=27] cpu=0 bench=adpcm_dec cycles=315351 instructions=228472 cache-misses=40
[sample=28] cpu=0 bench=adpcm_dec cycles=315507 instructions=228474 cache-misses=46
[sample=29] cpu=0 bench=adpcm_dec cycles=315595 instructions=228474 cache-misses=46
[sample=30] cpu=0 bench=adpcm_dec cycles=315638 instructions=228472 cache-misses=40
[sample=31] cpu=0 bench=adpcm_dec cycles=315395 instructions=228474 cache-misses=38
[sample=32] cpu=0 bench=adpcm_dec cycles=315684 instructions=228472 cache-misses=51
[sample=33] cpu=0 bench=adpcm_dec cycles=316008 instructions=228473 cache-misses=50
[sample=34] cpu=0 bench=adpcm_dec cycles=315398 instructions=228472 cache-misses=52
[sample=35] cpu=0 bench=adpcm_dec cycles=315891 instructions=228473 cache-misses=56
[sample=36] cpu=0 bench=adpcm_dec cycles=315356 instructions=228471 cache-misses=41
[sample=37] cpu=0 bench=adpcm_dec cycles=315548 instructions=228472 cache-misses=44
[sample=38] cpu=0 bench=adpcm_dec cycles=317661 instructions=228472 cache-misses=43
[sample=39] cpu=0 bench=adpcm_dec cycles=315699 instructions=228472 cache-misses=46
[sample=40] cpu=0 bench=adpcm_dec cycles=315672 instructions=228473 cache-misses=51
[sample=41] cpu=0 bench=adpcm_dec cycles=315503 instructions=228472 cache-misses=52
[sample=42] cpu=0 bench=adpcm_dec cycles=315809 instructions=228471 cache-misses=37
[sample=43] cpu=0 bench=adpcm_dec cycles=316067 instructions=228472 cache-misses=44
[sample=44] cpu=0 bench=adpcm_dec cycles=316049 instructions=228471 cache-misses=44
[sample=45] cpu=0 bench=adpcm_dec cycles=315660 instructions=228472 cache-misses=42
[sample=46] cpu=0 bench=adpcm_dec cycles=316269 instructions=228472 cache-misses=47
