[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=MEM
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=adpcm_dec cycles=466606 instructions=228478 cache-misses=55
[sample=1] cpu=0 bench=adpcm_dec cycles=473037 instructions=228471 cache-misses=62
[sample=2] cpu=0 bench=adpcm_dec cycles=456816 instructions=228471 cache-misses=47
[sample=3] cpu=0 bench=adpcm_dec cycles=365339 instructions=228472 cache-misses=42
[sample=4] cpu=0 bench=adpcm_dec cycles=336737 instructions=228471 cache-misses=40
[sample=5] cpu=0 bench=adpcm_dec cycles=453083 instructions=228471 cache-misses=43
[sample=6] cpu=0 bench=adpcm_dec cycles=383609 instructions=228470 cache-misses=42
[sample=7] cpu=0 bench=adpcm_dec cycles=395595 instructions=228472 cache-misses=41
[sample=8] cpu=0 bench=adpcm_dec cycles=334383 instructions=228469 cache-misses=50
[sample=9] cpu=0 bench=adpcm_dec cycles=408130 instructions=228472 cache-misses=47
[sample=10] cpu=0 bench=adpcm_dec cycles=396523 instructions=228470 cache-misses=54
[sample=11] cpu=0 bench=adpcm_dec cycles=349614 instructions=228472 cache-misses=45
[sample=12] cpu=0 bench=adpcm_dec cycles=381498 instructions=228472 cache-misses=47
[sample=13] cpu=0 bench=adpcm_dec cycles=350489 instructions=228472 cache-misses=41
[sample=14] cpu=0 bench=adpcm_dec cycles=402788 instructions=228470 cache-misses=55
[sample=15] cpu=0 bench=adpcm_dec cycles=414042 instructions=228472 cache-misses=53
[sample=16] cpu=0 bench=adpcm_dec cycles=344723 instructions=228471 cache-misses=46
[sample=17] cpu=0 bench=adpcm_dec cycles=329563 instructions=228471 cache-misses=43
[sample=18] cpu=0 bench=adpcm_dec cycles=362653 instructions=228470 cache-misses=49
[sample=19] cpu=0 bench=adpcm_dec cycles=511098 instructions=228472 cache-misses=48
[sample=20] cpu=0 bench=adpcm_dec cycles=413979 instructions=228470 cache-misses=44
[sample=21] cpu=0 bench=adpcm_dec cycles=357391 instructions=228473 cache-misses=43
[sample=22] cpu=0 bench=adpcm_dec cycles=389598 instructions=228469 cache-misses=43
[sample=23] cpu=0 bench=adpcm_dec cycles=428564 instructions=228470 cache-misses=47
[sample=24] cpu=0 bench=adpcm_dec cycles=341840 instructions=228472 cache-misses=51
[sample=25] cpu=0 bench=adpcm_dec cycles=328921 instructions=228471 cache-misses=57
[sample=26] cpu=0 bench=adpcm_dec cycles=330410 instructions=228474 cache-misses=43
[sample=27] cpu=0 bench=adpcm_dec cycles=348098 instructions=228470 cache-misses=41
[sample=28] cpu=0 bench=adpcm_dec cycles=443994 instructions=228472 cache-misses=47
[sample=29] cpu=0 bench=adpcm_dec cycles=366466 instructions=228472 cache-misses=44
[sample=30] cpu=0 bench=adpcm_dec cycles=335980 instructions=228471 cache-misses=41
[sample=31] cpu=0 bench=adpcm_dec cycles=333914 instructions=228472 cache-misses=50
[sample=32] cpu=0 bench=adpcm_dec cycles=334559 instructions=228469 cache-misses=39
[sample=33] cpu=0 bench=adpcm_dec cycles=459043 instructions=228470 cache-misses=48
[sample=34] cpu=0 bench=adpcm_dec cycles=392382 instructions=228471 cache-misses=49
[sample=35] cpu=0 bench=adpcm_dec cycles=334995 instructions=228471 cache-misses=48
[sample=36] cpu=0 bench=adpcm_dec cycles=329376 instructions=228470 cache-misses=49
[sample=37] cpu=0 bench=adpcm_dec cycles=329352 instructions=228473 cache-misses=53
[sample=38] cpu=0 bench=adpcm_dec cycles=436369 instructions=228470 cache-misses=51
[sample=39] cpu=0 bench=adpcm_dec cycles=428425 instructions=228470 cache-misses=45
[sample=40] cpu=0 bench=adpcm_dec cycles=333805 instructions=228471 cache-misses=43
[sample=41] cpu=0 bench=adpcm_dec cycles=452047 instructions=228472 cache-misses=54
[sample=42] cpu=0 bench=adpcm_dec cycles=465084 instructions=228469 cache-misses=55
[sample=43] cpu=0 bench=adpcm_dec cycles=352836 instructions=228472 cache-misses=45
[sample=44] cpu=0 bench=adpcm_dec cycles=365384 instructions=228470 cache-misses=38
[sample=45] cpu=0 bench=adpcm_dec cycles=427232 instructions=228469 cache-misses=43
[sample=46] cpu=0 bench=adpcm_dec cycles=342442 instructions=228470 cache-misses=42
[sample=47] cpu=0 bench=adpcm_dec cycles=370897 instructions=228470 cache-misses=35
[sample=48] cpu=0 bench=adpcm_dec cycles=367145 instructions=228470 cache-misses=47
[sample=49] cpu=0 bench=adpcm_dec cycles=362612 instructions=228471 cache-misses=45
[sample=50] cpu=0 bench=adpcm_dec cycles=423216 instructions=228470 cache-misses=41
[sample=51] cpu=0 bench=adpcm_dec cycles=454203 instructions=228472 cache-misses=45
[sample=52] cpu=0 bench=adpcm_dec cycles=440898 instructions=228472 cache-misses=46
[sample=53] cpu=0 bench=adpcm_dec cycles=361669 instructions=228471 cache-misses=46
[sample=54] cpu=0 bench=adpcm_dec cycles=332860 instructions=228469 cache-misses=50
[sample=55] cpu=0 bench=adpcm_dec cycles=385188 instructions=228471 cache-misses=46
[sample=56] cpu=0 bench=adpcm_dec cycles=421506 instructions=228472 cache-misses=51
[sample=57] cpu=0 bench=adpcm_dec cycles=352747 instructions=228472 cache-misses=69
[sample=58] cpu=0 bench=adpcm_dec cycles=338937 instructions=228470 cache-misses=48
[sample=59] cpu=0 bench=adpcm_dec cycles=331898 instructions=228471 cache-misses=47
[sample=60] cpu=0 bench=adpcm_dec cycles=334481 instructions=228470 cache-misses=49
[sample=61] cpu=0 bench=adpcm_dec cycles=446963 instructions=228469 cache-misses=52
[sample=62] cpu=0 bench=adpcm_dec cycles=410019 instructions=228470 cache-misses=51
[sample=63] cpu=0 bench=adpcm_dec cycles=340749 instructions=228472 cache-misses=43
[sample=64] cpu=0 bench=adpcm_dec cycles=334280 instructions=228470 cache-misses=53
[sample=65] cpu=0 bench=adpcm_dec cycles=335744 instructions=228471 cache-misses=45
[sample=66] cpu=0 bench=adpcm_dec cycles=437851 instructions=228470 cache-misses=50
[sample=67] cpu=0 bench=adpcm_dec cycles=432330 instructions=228470 cache-misses=55
[sample=68] cpu=0 bench=adpcm_dec cycles=336494 instructions=228471 cache-misses=58
[sample=69] cpu=0 bench=adpcm_dec cycles=334913 instructions=228471 cache-misses=52
[sample=70] cpu=0 bench=adpcm_dec cycles=531051 instructions=228473 cache-misses=99
[sample=71] cpu=0 bench=adpcm_dec cycles=433430 instructions=228470 cache-misses=43
[sample=72] cpu=0 bench=adpcm_dec cycles=330681 instructions=228469 cache-misses=17
[sample=73] cpu=0 bench=adpcm_dec cycles=327752 instructions=228469 cache-misses=9
[sample=74] cpu=0 bench=adpcm_dec cycles=329950 instructions=228469 cache-misses=6
[sample=75] cpu=0 bench=adpcm_dec cycles=336036 instructions=228469 cache-misses=8
[sample=76] cpu=0 bench=adpcm_dec cycles=461466 instructions=228473 cache-misses=49
[sample=77] cpu=0 bench=adpcm_dec cycles=325726 instructions=228469 cache-misses=14
[sample=78] cpu=0 bench=adpcm_dec cycles=324122 instructions=228470 cache-misses=8
[sample=79] cpu=0 bench=adpcm_dec cycles=332602 instructions=228470 cache-misses=5
[sample=80] cpu=0 bench=adpcm_dec cycles=334811 instructions=228469 cache-misses=3
[sample=81] cpu=0 bench=adpcm_dec cycles=325042 instructions=228469 cache-misses=6
[sample=82] cpu=0 bench=adpcm_dec cycles=326188 instructions=228469 cache-misses=5
[sample=83] cpu=0 bench=adpcm_dec cycles=324749 instructions=228470 cache-misses=4
[sample=84] cpu=0 bench=adpcm_dec cycles=327601 instructions=228470 cache-misses=5
[sample=85] cpu=0 bench=adpcm_dec cycles=474980 instructions=228472 cache-misses=64
[sample=86] cpu=0 bench=adpcm_dec cycles=446689 instructions=228468 cache-misses=49
[sample=87] cpu=0 bench=adpcm_dec cycles=343635 instructions=228470 cache-misses=19
[sample=88] cpu=0 bench=adpcm_dec cycles=345754 instructions=228468 cache-misses=11
[sample=89] cpu=0 bench=adpcm_dec cycles=484544 instructions=228472 cache-misses=71
[sample=90] cpu=0 bench=adpcm_dec cycles=351044 instructions=228469 cache-misses=37
[sample=91] cpu=0 bench=adpcm_dec cycles=407165 instructions=228469 cache-misses=24
[sample=92] cpu=0 bench=adpcm_dec cycles=512029 instructions=228467 cache-misses=16
[sample=93] cpu=0 bench=adpcm_dec cycles=376735 instructions=228468 cache-misses=10
[sample=94] cpu=0 bench=adpcm_dec cycles=398585 instructions=228468 cache-misses=21
[sample=95] cpu=0 bench=adpcm_dec cycles=521042 instructions=228476 cache-misses=72
[sample=96] cpu=0 bench=adpcm_dec cycles=423633 instructions=228472 cache-misses=48
[sample=97] cpu=0 bench=adpcm_dec cycles=394591 instructions=228469 cache-misses=18
[sample=98] cpu=0 bench=adpcm_dec cycles=365565 instructions=228468 cache-misses=9
[sample=99] cpu=0 bench=adpcm_dec cycles=322904 instructions=228469 cache-misses=9

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
