[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=binarysearch cycles=15707 instructions=1263 cache-misses=14
[sample=1] cpu=0 bench=binarysearch cycles=9754 instructions=1258 cache-misses=9
[sample=2] cpu=0 bench=binarysearch cycles=6593 instructions=1259 cache-misses=8
[sample=3] cpu=0 bench=binarysearch cycles=7325 instructions=1259 cache-misses=10
[sample=4] cpu=0 bench=binarysearch cycles=5277 instructions=1259 cache-misses=6
[sample=5] cpu=0 bench=binarysearch cycles=2920 instructions=1258 cache-misses=8
[sample=6] cpu=0 bench=binarysearch cycles=2375 instructions=1258 cache-misses=9
[sample=7] cpu=0 bench=binarysearch cycles=2955 instructions=1258 cache-misses=9
[sample=8] cpu=0 bench=binarysearch cycles=1966 instructions=1259 cache-misses=7
[sample=9] cpu=0 bench=binarysearch cycles=2269 instructions=1259 cache-misses=8
[sample=10] cpu=0 bench=binarysearch cycles=1971 instructions=1259 cache-misses=9
[sample=11] cpu=0 bench=binarysearch cycles=2024 instructions=1259 cache-misses=8
[sample=12] cpu=0 bench=binarysearch cycles=1995 instructions=1258 cache-misses=8
[sample=13] cpu=0 bench=binarysearch cycles=1989 instructions=1258 cache-misses=8
[sample=14] cpu=0 bench=binarysearch cycles=1973 instructions=1258 cache-misses=8
[sample=15] cpu=0 bench=binarysearch cycles=2033 instructions=1259 cache-misses=9
[sample=16] cpu=0 bench=binarysearch cycles=2021 instructions=1259 cache-misses=10
[sample=17] cpu=0 bench=binarysearch cycles=2014 instructions=1259 cache-misses=6
[sample=18] cpu=0 bench=binarysearch cycles=2014 instructions=1259 cache-misses=10
[sample=19] cpu=0 bench=binarysearch cycles=1997 instructions=1259 cache-misses=8
[sample=20] cpu=0 bench=binarysearch cycles=1977 instructions=1258 cache-misses=8
[sample=21] cpu=0 bench=binarysearch cycles=1989 instructions=1259 cache-misses=9
[sample=22] cpu=0 bench=binarysearch cycles=1981 instructions=1258 cache-misses=8
[sample=23] cpu=0 bench=binarysearch cycles=1975 instructions=1259 cache-misses=7
[sample=24] cpu=0 bench=binarysearch cycles=1986 instructions=1259 cache-misses=7
[sample=25] cpu=0 bench=binarysearch cycles=1994 instructions=1259 cache-misses=9
[sample=26] cpu=0 bench=binarysearch cycles=2684 instructions=1258 cache-misses=7
[sample=27] cpu=0 bench=binarysearch cycles=1963 instructions=1258 cache-misses=4
[sample=28] cpu=0 bench=binarysearch cycles=1997 instructions=1259 cache-misses=9
[sample=29] cpu=0 bench=binarysearch cycles=2269 instructions=1259 cache-misses=9
[sample=30] cpu=0 bench=binarysearch cycles=1987 instructions=1259 cache-misses=9
[sample=31] cpu=0 bench=binarysearch cycles=1969 instructions=1259 cache-misses=6
[sample=32] cpu=0 bench=binarysearch cycles=2362 instructions=1259 cache-misses=9
[sample=33] cpu=0 bench=binarysearch cycles=2022 instructions=1258 cache-misses=8
[sample=34] cpu=0 bench=binarysearch cycles=2645 instructions=1259 cache-misses=6
[sample=35] cpu=0 bench=binarysearch cycles=1951 instructions=1259 cache-misses=6
[sample=36] cpu=0 bench=binarysearch cycles=2006 instructions=1259 cache-misses=9
[sample=37] cpu=0 bench=binarysearch cycles=2038 instructions=1259 cache-misses=7
[sample=38] cpu=0 bench=binarysearch cycles=2026 instructions=1257 cache-misses=9
[sample=39] cpu=0 bench=binarysearch cycles=1967 instructions=1259 cache-misses=7
[sample=40] cpu=0 bench=binarysearch cycles=1958 instructions=1258 cache-misses=9
[sample=41] cpu=0 bench=binarysearch cycles=2001 instructions=1258 cache-misses=8
[sample=42] cpu=0 bench=binarysearch cycles=1938 instructions=1259 cache-misses=6
[sample=43] cpu=0 bench=binarysearch cycles=2003 instructions=1259 cache-misses=8
[sample=44] cpu=0 bench=binarysearch cycles=2012 instructions=1258 cache-misses=7
[sample=45] cpu=0 bench=binarysearch cycles=1998 instructions=1259 cache-misses=10
[sample=46] cpu=0 bench=binarysearch cycles=1995 instructions=1258 cache-misses=10
[sample=47] cpu=0 bench=binarysearch cycles=1993 instructions=1259 cache-misses=8
[sample=48] cpu=0 bench=binarysearch cycles=2026 instructions=1258 cache-misses=8
[sample=49] cpu=0 bench=binarysearch cycles=1989 instructions=1259 cache-misses=8
[sample=50] cpu=0 bench=binarysearch cycles=1976 instructions=1259 cache-misses=8
[sample=51] cpu=0 bench=binarysearch cycles=2572 instructions=1259 cache-misses=7
[sample=52] cpu=0 bench=binarysearch cycles=2000 instructions=1260 cache-misses=9
[sample=53] cpu=0 bench=binarysearch cycles=2011 instructions=1260 cache-misses=9
[sample=54] cpu=0 bench=binarysearch cycles=1988 instructions=1260 cache-misses=8
[sample=55] cpu=0 bench=binarysearch cycles=1994 instructions=1258 cache-misses=7
[sample=56] cpu=0 bench=binarysearch cycles=1966 instructions=1258 cache-misses=9
[sample=57] cpu=0 bench=binarysearch cycles=1984 instructions=1259 cache-misses=8
[sample=58] cpu=0 bench=binarysearch cycles=2003 instructions=1258 cache-misses=11
[sample=59] cpu=0 bench=binarysearch cycles=1987 instructions=1259 cache-misses=9
[sample=60] cpu=0 bench=binarysearch cycles=1982 instructions=1259 cache-misses=7
[sample=61] cpu=0 bench=binarysearch cycles=1974 instructions=1258 cache-misses=8
[sample=62] cpu=0 bench=binarysearch cycles=1973 instructions=1258 cache-misses=9
[sample=63] cpu=0 bench=binarysearch cycles=2015 instructions=1259 cache-misses=8
[sample=64] cpu=0 bench=binarysearch cycles=1980 instructions=1259 cache-misses=7
[sample=65] cpu=0 bench=binarysearch cycles=2011 instructions=1258 cache-misses=8
[sample=66] cpu=0 bench=binarysearch cycles=1977 instructions=1258 cache-misses=9
[sample=67] cpu=0 bench=binarysearch cycles=1975 instructions=1258 cache-misses=9
[sample=68] cpu=0 bench=binarysearch cycles=2013 instructions=1260 cache-misses=9
[sample=69] cpu=0 bench=binarysearch cycles=3279 instructions=1259 cache-misses=9
[sample=70] cpu=0 bench=binarysearch cycles=2804 instructions=1259 cache-misses=8
[sample=71] cpu=0 bench=binarysearch cycles=7722 instructions=1260 cache-misses=7
[sample=72] cpu=0 bench=binarysearch cycles=1964 instructions=1260 cache-misses=9
[sample=73] cpu=0 bench=binarysearch cycles=1975 instructions=1259 cache-misses=8
[sample=74] cpu=0 bench=binarysearch cycles=1997 instructions=1260 cache-misses=8
[sample=75] cpu=0 bench=binarysearch cycles=2012 instructions=1258 cache-misses=10
[sample=76] cpu=0 bench=binarysearch cycles=2004 instructions=1258 cache-misses=8
[sample=77] cpu=0 bench=binarysearch cycles=1979 instructions=1259 cache-misses=9
[sample=78] cpu=0 bench=binarysearch cycles=2007 instructions=1258 cache-misses=9
[sample=79] cpu=0 bench=binarysearch cycles=2004 instructions=1258 cache-misses=8
[sample=80] cpu=0 bench=binarysearch cycles=2015 instructions=1259 cache-misses=8
[sample=81] cpu=0 bench=binarysearch cycles=2027 instructions=1259 cache-misses=9
[sample=82] cpu=0 bench=binarysearch cycles=2026 instructions=1259 cache-misses=6
[sample=83] cpu=0 bench=binarysearch cycles=1996 instructions=1258 cache-misses=8
[sample=84] cpu=0 bench=binarysearch cycles=1976 instructions=1258 cache-misses=7
[sample=85] cpu=0 bench=binarysearch cycles=2006 instructions=1258 cache-misses=9
[sample=86] cpu=0 bench=binarysearch cycles=2008 instructions=1258 cache-misses=8
[sample=87] cpu=0 bench=binarysearch cycles=1990 instructions=1258 cache-misses=8
[sample=88] cpu=0 bench=binarysearch cycles=2029 instructions=1259 cache-misses=10
[sample=89] cpu=0 bench=binarysearch cycles=2005 instructions=1258 cache-misses=7
[sample=90] cpu=0 bench=binarysearch cycles=1987 instructions=1258 cache-misses=7
[sample=91] cpu=0 bench=binarysearch cycles=1986 instructions=1258 cache-misses=8
[sample=92] cpu=0 bench=binarysearch cycles=1980 instructions=1258 cache-misses=10
[sample=93] cpu=0 bench=binarysearch cycles=1971 instructions=1259 cache-misses=7
[sample=94] cpu=0 bench=binarysearch cycles=2000 instructions=1258 cache-misses=9
[sample=95] cpu=0 bench=binarysearch cycles=1988 instructions=1258 cache-misses=10
[sample=96] cpu=0 bench=binarysearch cycles=2024 instructions=1259 cache-misses=8
[sample=97] cpu=0 bench=binarysearch cycles=1960 instructions=1260 cache-misses=5
[sample=98] cpu=0 bench=binarysearch cycles=2497 instructions=1259 cache-misses=9
[sample=99] cpu=0 bench=binarysearch cycles=2002 instructions=1257 cache-misses=8

# Statistics over 100 samples on cpu0 bench=binarysearch (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        1938                15707              2474.74              2000.00
  instructions                  1257                 1263              1258.68              1259.00
  cache-misses                     4                   14                 8.20                 8.00
