[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=fir2dim cycles=21989 instructions=10133 cache-misses=15
[sample=1] cpu=0 bench=fir2dim cycles=27632 instructions=10122 cache-misses=12
[sample=2] cpu=0 bench=fir2dim cycles=19952 instructions=10113 cache-misses=10
[sample=3] cpu=0 bench=fir2dim cycles=13355 instructions=10110 cache-misses=9
[sample=4] cpu=0 bench=fir2dim cycles=13405 instructions=10114 cache-misses=8
[sample=5] cpu=0 bench=fir2dim cycles=13329 instructions=10116 cache-misses=10
[sample=6] cpu=0 bench=fir2dim cycles=13332 instructions=10115 cache-misses=11
[sample=7] cpu=0 bench=fir2dim cycles=13320 instructions=10115 cache-misses=9
[sample=8] cpu=0 bench=fir2dim cycles=13289 instructions=10114 cache-misses=8
[sample=9] cpu=0 bench=fir2dim cycles=13335 instructions=10116 cache-misses=8
[sample=10] cpu=0 bench=fir2dim cycles=13354 instructions=10116 cache-misses=9
[sample=11] cpu=0 bench=fir2dim cycles=13374 instructions=10114 cache-misses=8
[sample=12] cpu=0 bench=fir2dim cycles=13285 instructions=10112 cache-misses=9
[sample=13] cpu=0 bench=fir2dim cycles=13272 instructions=10112 cache-misses=9
[sample=14] cpu=0 bench=fir2dim cycles=13393 instructions=10117 cache-misses=9
[sample=15] cpu=0 bench=fir2dim cycles=13241 instructions=10111 cache-misses=8
[sample=16] cpu=0 bench=fir2dim cycles=13265 instructions=10111 cache-misses=8
[sample=17] cpu=0 bench=fir2dim cycles=13237 instructions=10109 cache-misses=8
[sample=18] cpu=0 bench=fir2dim cycles=13255 instructions=10114 cache-misses=8
[sample=19] cpu=0 bench=fir2dim cycles=13330 instructions=10115 cache-misses=9
[sample=20] cpu=0 bench=fir2dim cycles=13279 instructions=10115 cache-misses=7
[sample=21] cpu=0 bench=fir2dim cycles=13253 instructions=10113 cache-misses=7
[sample=22] cpu=0 bench=fir2dim cycles=14589 instructions=10112 cache-misses=10
[sample=23] cpu=0 bench=fir2dim cycles=13237 instructions=10110 cache-misses=10
[sample=24] cpu=0 bench=fir2dim cycles=13294 instructions=10109 cache-misses=9
[sample=25] cpu=0 bench=fir2dim cycles=13292 instructions=10113 cache-misses=7
[sample=26] cpu=0 bench=fir2dim cycles=13336 instructions=10116 cache-misses=8
[sample=27] cpu=0 bench=fir2dim cycles=13356 instructions=10117 cache-misses=9
[sample=28] cpu=0 bench=fir2dim cycles=13198 instructions=10111 cache-misses=8
[sample=29] cpu=0 bench=fir2dim cycles=13229 instructions=10110 cache-misses=8
[sample=30] cpu=0 bench=fir2dim cycles=13328 instructions=10117 cache-misses=8
[sample=31] cpu=0 bench=fir2dim cycles=13319 instructions=10117 cache-misses=9
[sample=32] cpu=0 bench=fir2dim cycles=13230 instructions=10114 cache-misses=8
[sample=33] cpu=0 bench=fir2dim cycles=13263 instructions=10112 cache-misses=9
[sample=34] cpu=0 bench=fir2dim cycles=13248 instructions=10111 cache-misses=9
[sample=35] cpu=0 bench=fir2dim cycles=13270 instructions=10112 cache-misses=8
[sample=36] cpu=0 bench=fir2dim cycles=13252 instructions=10111 cache-misses=7
[sample=37] cpu=0 bench=fir2dim cycles=13279 instructions=10114 cache-misses=8
[sample=38] cpu=0 bench=fir2dim cycles=13256 instructions=10112 cache-misses=8
