[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=fir2dim cycles=21056 instructions=10132 cache-misses=17
[sample=1] cpu=0 bench=fir2dim cycles=21697 instructions=10116 cache-misses=13
[sample=2] cpu=0 bench=fir2dim cycles=16891 instructions=10119 cache-misses=13
[sample=3] cpu=0 bench=fir2dim cycles=13634 instructions=10116 cache-misses=10
[sample=4] cpu=0 bench=fir2dim cycles=13579 instructions=10111 cache-misses=8
[sample=5] cpu=0 bench=fir2dim cycles=13311 instructions=10115 cache-misses=9
[sample=6] cpu=0 bench=fir2dim cycles=13326 instructions=10112 cache-misses=11
[sample=7] cpu=0 bench=fir2dim cycles=13310 instructions=10115 cache-misses=10
[sample=8] cpu=0 bench=fir2dim cycles=13310 instructions=10112 cache-misses=9
[sample=9] cpu=0 bench=fir2dim cycles=13202 instructions=10110 cache-misses=6
[sample=10] cpu=0 bench=fir2dim cycles=13365 instructions=10116 cache-misses=10
[sample=11] cpu=0 bench=fir2dim cycles=13322 instructions=10110 cache-misses=8
[sample=12] cpu=0 bench=fir2dim cycles=13399 instructions=10113 cache-misses=11
[sample=13] cpu=0 bench=fir2dim cycles=13361 instructions=10114 cache-misses=8
[sample=14] cpu=0 bench=fir2dim cycles=13261 instructions=10116 cache-misses=6
[sample=15] cpu=0 bench=fir2dim cycles=13353 instructions=10113 cache-misses=9
[sample=16] cpu=0 bench=fir2dim cycles=13380 instructions=10115 cache-misses=10
[sample=17] cpu=0 bench=fir2dim cycles=13318 instructions=10114 cache-misses=8
[sample=18] cpu=0 bench=fir2dim cycles=13589 instructions=10112 cache-misses=10
[sample=19] cpu=0 bench=fir2dim cycles=13301 instructions=10110 cache-misses=9
[sample=20] cpu=0 bench=fir2dim cycles=13417 instructions=10114 cache-misses=8
[sample=21] cpu=0 bench=fir2dim cycles=13461 instructions=10113 cache-misses=10
[sample=22] cpu=0 bench=fir2dim cycles=13263 instructions=10113 cache-misses=8
[sample=23] cpu=0 bench=fir2dim cycles=13304 instructions=10113 cache-misses=9
[sample=24] cpu=0 bench=fir2dim cycles=13583 instructions=10111 cache-misses=10
[sample=25] cpu=0 bench=fir2dim cycles=13345 instructions=10115 cache-misses=7
[sample=26] cpu=0 bench=fir2dim cycles=13256 instructions=10109 cache-misses=9
[sample=27] cpu=0 bench=fir2dim cycles=13509 instructions=10112 cache-misses=9
[sample=28] cpu=0 bench=fir2dim cycles=13427 instructions=10111 cache-misses=9
[sample=29] cpu=0 bench=fir2dim cycles=13377 instructions=10112 cache-misses=8
[sample=30] cpu=0 bench=fir2dim cycles=13394 instructions=10112 cache-misses=10
[sample=31] cpu=0 bench=fir2dim cycles=13267 instructions=10114 cache-misses=8
[sample=32] cpu=0 bench=fir2dim cycles=13307 instructions=10111 cache-misses=10
[sample=33] cpu=0 bench=fir2dim cycles=13387 instructions=10121 cache-misses=8
[sample=34] cpu=0 bench=fir2dim cycles=13576 instructions=10119 cache-misses=9
[sample=35] cpu=0 bench=fir2dim cycles=13331 instructions=10118 cache-misses=7
[sample=36] cpu=0 bench=fir2dim cycles=13375 instructions=10115 cache-misses=9
[sample=37] cpu=0 bench=fir2dim cycles=13369 instructions=10112 cache-misses=10
[sample=38] cpu=0 bench=fir2dim cycles=13310 instructions=10113 cache-misses=9
[sample=39] cpu=0 bench=fir2dim cycles=13232 instructions=10111 cache-misses=8
[sample=40] cpu=0 bench=fir2dim cycles=13300 instructions=10114 cache-misses=10
[sample=41] cpu=0 bench=fir2dim cycles=13321 instructions=10116 cache-misses=9
[sample=42] cpu=0 bench=fir2dim cycles=13351 instructions=10115 cache-misses=7
[sample=43] cpu=0 bench=fir2dim cycles=13325 instructions=10114 cache-misses=10
[sample=44] cpu=0 bench=fir2dim cycles=13317 instructions=10110 cache-misses=8
[sample=45] cpu=0 bench=fir2dim cycles=13364 instructions=10112 cache-misses=9
[sample=46] cpu=0 bench=fir2dim cycles=13275 instructions=10114 cache-misses=9
[sample=47] cpu=0 bench=fir2dim cycles=13246 instructions=10109 cache-misses=8
[sample=48] cpu=0 bench=fir2dim cycles=13399 instructions=10117 cache-misses=9
[sample=49] cpu=0 bench=fir2dim cycles=13368 instructions=10123 cache-misses=9
[sample=50] cpu=0 bench=fir2dim cycles=13391 instructions=10115 cache-misses=11
[sample=51] cpu=0 bench=fir2dim cycles=13285 instructions=10114 cache-misses=9
[sample=52] cpu=0 bench=fir2dim cycles=13337 instructions=10112 cache-misses=8
[sample=53] cpu=0 bench=fir2dim cycles=13342 instructions=10113 cache-misses=7
[sample=54] cpu=0 bench=fir2dim cycles=13342 instructions=10114 cache-misses=9
[sample=55] cpu=0 bench=fir2dim cycles=13327 instructions=10111 cache-misses=6
[sample=56] cpu=0 bench=fir2dim cycles=13328 instructions=10110 cache-misses=8
[sample=57] cpu=0 bench=fir2dim cycles=13305 instructions=10114 cache-misses=6
[sample=58] cpu=0 bench=fir2dim cycles=13275 instructions=10111 cache-misses=7
[sample=59] cpu=0 bench=fir2dim cycles=13510 instructions=10112 cache-misses=7
[sample=60] cpu=0 bench=fir2dim cycles=13385 instructions=10110 cache-misses=10
[sample=61] cpu=0 bench=fir2dim cycles=13256 instructions=10113 cache-misses=7
[sample=62] cpu=0 bench=fir2dim cycles=13284 instructions=10114 cache-misses=9
[sample=63] cpu=0 bench=fir2dim cycles=13314 instructions=10116 cache-misses=8
[sample=64] cpu=0 bench=fir2dim cycles=13338 instructions=10113 cache-misses=8
[sample=65] cpu=0 bench=fir2dim cycles=13350 instructions=10117 cache-misses=8
[sample=66] cpu=0 bench=fir2dim cycles=13689 instructions=10118 cache-misses=9
[sample=67] cpu=0 bench=fir2dim cycles=13261 instructions=10110 cache-misses=7
[sample=68] cpu=0 bench=fir2dim cycles=13346 instructions=10110 cache-misses=11
[sample=69] cpu=0 bench=fir2dim cycles=13339 instructions=10115 cache-misses=10
