[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=CACHE
[sample=0] cpu=0 bench=fir2dim cycles=22727 instructions=10131 cache-misses=17
[sample=1] cpu=0 bench=fir2dim cycles=16802 instructions=10111 cache-misses=12
[sample=2] cpu=0 bench=fir2dim cycles=14530 instructions=10116 cache-misses=14
[sample=3] cpu=0 bench=fir2dim cycles=13300 instructions=10105 cache-misses=12
[sample=4] cpu=0 bench=fir2dim cycles=17491 instructions=10111 cache-misses=11
[sample=5] cpu=0 bench=fir2dim cycles=13360 instructions=10108 cache-misses=9
[sample=6] cpu=0 bench=fir2dim cycles=13386 instructions=10115 cache-misses=9
[sample=7] cpu=0 bench=fir2dim cycles=13267 instructions=10112 cache-misses=8
[sample=8] cpu=0 bench=fir2dim cycles=13298 instructions=10115 cache-misses=9
[sample=9] cpu=0 bench=fir2dim cycles=13181 instructions=10107 cache-misses=9
[sample=10] cpu=0 bench=fir2dim cycles=13326 instructions=10111 cache-misses=12
[sample=11] cpu=0 bench=fir2dim cycles=13295 instructions=10109 cache-misses=9
[sample=12] cpu=0 bench=fir2dim cycles=13261 instructions=10107 cache-misses=10
[sample=13] cpu=0 bench=fir2dim cycles=13217 instructions=10107 cache-misses=9
[sample=14] cpu=0 bench=fir2dim cycles=13157 instructions=10107 cache-misses=8
[sample=15] cpu=0 bench=fir2dim cycles=13219 instructions=10109 cache-misses=11
[sample=16] cpu=0 bench=fir2dim cycles=13262 instructions=10108 cache-misses=10
[sample=17] cpu=0 bench=fir2dim cycles=13205 instructions=10108 cache-misses=7
[sample=18] cpu=0 bench=fir2dim cycles=13185 instructions=10107 cache-misses=10
[sample=19] cpu=0 bench=fir2dim cycles=13278 instructions=10108 cache-misses=8
[sample=20] cpu=0 bench=fir2dim cycles=13231 instructions=10106 cache-misses=10
[sample=21] cpu=0 bench=fir2dim cycles=13484 instructions=10107 cache-misses=12
[sample=22] cpu=0 bench=fir2dim cycles=13249 instructions=10110 cache-misses=7
[sample=23] cpu=0 bench=fir2dim cycles=13282 instructions=10107 cache-misses=11
[sample=24] cpu=0 bench=fir2dim cycles=13353 instructions=10115 cache-misses=10
[sample=25] cpu=0 bench=fir2dim cycles=13273 instructions=10110 cache-misses=9
[sample=26] cpu=0 bench=fir2dim cycles=13237 instructions=10108 cache-misses=8
[sample=27] cpu=0 bench=fir2dim cycles=13231 instructions=10108 cache-misses=9
[sample=28] cpu=0 bench=fir2dim cycles=13289 instructions=10110 cache-misses=9
[sample=29] cpu=0 bench=fir2dim cycles=13230 instructions=10107 cache-misses=8
[sample=30] cpu=0 bench=fir2dim cycles=13270 instructions=10110 cache-misses=10
[sample=31] cpu=0 bench=fir2dim cycles=13267 instructions=10113 cache-misses=9
[sample=32] cpu=0 bench=fir2dim cycles=13263 instructions=10111 cache-misses=9
[sample=33] cpu=0 bench=fir2dim cycles=13248 instructions=10114 cache-misses=8
[sample=34] cpu=0 bench=fir2dim cycles=13259 instructions=10112 cache-misses=11
[sample=35] cpu=0 bench=fir2dim cycles=13184 instructions=10109 cache-misses=7
[sample=36] cpu=0 bench=fir2dim cycles=13279 instructions=10111 cache-misses=8
[sample=37] cpu=0 bench=fir2dim cycles=13248 instructions=10109 cache-misses=9
[sample=38] cpu=0 bench=fir2dim cycles=13168 instructions=10106 cache-misses=8
[sample=39] cpu=0 bench=fir2dim cycles=13280 instructions=10110 cache-misses=9
[sample=40] cpu=0 bench=fir2dim cycles=13258 instructions=10109 cache-misses=11
[sample=41] cpu=0 bench=fir2dim cycles=13258 instructions=10111 cache-misses=9
[sample=42] cpu=0 bench=fir2dim cycles=13264 instructions=10109 cache-misses=8
[sample=43] cpu=0 bench=fir2dim cycles=13258 instructions=10112 cache-misses=9
[sample=44] cpu=0 bench=fir2dim cycles=14051 instructions=10110 cache-misses=12
[sample=45] cpu=0 bench=fir2dim cycles=13276 instructions=10112 cache-misses=10
[sample=46] cpu=0 bench=fir2dim cycles=13226 instructions=10111 cache-misses=10
[sample=47] cpu=0 bench=fir2dim cycles=13297 instructions=10112 cache-misses=9
[sample=48] cpu=0 bench=fir2dim cycles=13262 instructions=10111 cache-misses=9
[sample=49] cpu=0 bench=fir2dim cycles=13275 instructions=10109 cache-misses=10
[sample=50] cpu=0 bench=fir2dim cycles=13233 instructions=10112 cache-misses=8
[sample=51] cpu=0 bench=fir2dim cycles=13249 instructions=10112 cache-misses=9
[sample=52] cpu=0 bench=fir2dim cycles=13268 instructions=10111 cache-misses=10
[sample=53] cpu=0 bench=fir2dim cycles=13314 instructions=10114 cache-misses=10
[sample=54] cpu=0 bench=fir2dim cycles=14015 instructions=10110 cache-misses=11
[sample=55] cpu=0 bench=fir2dim cycles=13255 instructions=10112 cache-misses=9
[sample=56] cpu=0 bench=fir2dim cycles=13237 instructions=10110 cache-misses=7
[sample=57] cpu=0 bench=fir2dim cycles=13372 instructions=10112 cache-misses=15
[sample=58] cpu=0 bench=fir2dim cycles=13684 instructions=10113 cache-misses=10
[sample=59] cpu=0 bench=fir2dim cycles=13268 instructions=10117 cache-misses=10
[sample=60] cpu=0 bench=fir2dim cycles=13267 instructions=10114 cache-misses=9
[sample=61] cpu=0 bench=fir2dim cycles=13321 instructions=10117 cache-misses=9
[sample=62] cpu=0 bench=fir2dim cycles=13228 instructions=10109 cache-misses=9
[sample=63] cpu=0 bench=fir2dim cycles=13242 instructions=10115 cache-misses=8
[sample=64] cpu=0 bench=fir2dim cycles=13262 instructions=10108 cache-misses=10
[sample=65] cpu=0 bench=fir2dim cycles=13304 instructions=10107 cache-misses=11
[sample=66] cpu=0 bench=fir2dim cycles=13281 instructions=10108 cache-misses=12
[sample=67] cpu=0 bench=fir2dim cycles=14257 instructions=10105 cache-misses=14
[sample=68] cpu=0 bench=fir2dim cycles=13188 instructions=10107 cache-misses=7
[sample=69] cpu=0 bench=fir2dim cycles=13230 instructions=10109 cache-misses=10
[sample=70] cpu=0 bench=fir2dim cycles=13337 instructions=10108 cache-misses=10
[sample=71] cpu=0 bench=fir2dim cycles=13264 instructions=10112 cache-misses=9
[sample=72] cpu=0 bench=fir2dim cycles=13255 instructions=10106 cache-misses=10
[sample=73] cpu=0 bench=fir2dim cycles=13246 instructions=10108 cache-misses=8
[sample=74] cpu=0 bench=fir2dim cycles=13251 instructions=10107 cache-misses=11
[sample=75] cpu=0 bench=fir2dim cycles=13239 instructions=10112 cache-misses=8
[sample=76] cpu=0 bench=fir2dim cycles=13195 instructions=10109 cache-misses=10
[sample=77] cpu=0 bench=fir2dim cycles=13161 instructions=10110 cache-misses=7
[sample=78] cpu=0 bench=fir2dim cycles=13174 instructions=10108 cache-misses=8
[sample=79] cpu=0 bench=fir2dim cycles=13194 instructions=10108 cache-misses=9
[sample=80] cpu=0 bench=fir2dim cycles=13208 instructions=10107 cache-misses=9
[sample=81] cpu=0 bench=fir2dim cycles=13208 instructions=10107 cache-misses=9
[sample=82] cpu=0 bench=fir2dim cycles=13202 instructions=10108 cache-misses=7
[sample=83] cpu=0 bench=fir2dim cycles=13255 instructions=10110 cache-misses=10
[sample=84] cpu=0 bench=fir2dim cycles=13305 instructions=10115 cache-misses=9
[sample=85] cpu=0 bench=fir2dim cycles=13150 instructions=10109 cache-misses=8
[sample=86] cpu=0 bench=fir2dim cycles=13260 instructions=10115 cache-misses=7
[sample=87] cpu=0 bench=fir2dim cycles=13270 instructions=10112 cache-misses=7
[sample=88] cpu=0 bench=fir2dim cycles=13271 instructions=10113 cache-misses=11
[sample=89] cpu=0 bench=fir2dim cycles=13300 instructions=10113 cache-misses=9
[sample=90] cpu=0 bench=fir2dim cycles=14072 instructions=10110 cache-misses=12
[sample=91] cpu=0 bench=fir2dim cycles=13254 instructions=10110 cache-misses=8
[sample=92] cpu=0 bench=fir2dim cycles=13307 instructions=10110 cache-misses=11
[sample=93] cpu=0 bench=fir2dim cycles=13189 instructions=10110 cache-misses=10
[sample=94] cpu=0 bench=fir2dim cycles=13231 instructions=10110 cache-misses=11
[sample=95] cpu=0 bench=fir2dim cycles=13294 instructions=10109 cache-misses=8
[sample=96] cpu=0 bench=fir2dim cycles=13860 instructions=10107 cache-misses=11
[sample=97] cpu=0 bench=fir2dim cycles=13244 instructions=10108 cache-misses=11
[sample=98] cpu=0 bench=fir2dim cycles=13287 instructions=10109 cache-misses=10
[sample=99] cpu=0 bench=fir2dim cycles=13294 instructions=10112 cache-misses=7

# Statistics over 100 samples on cpu0 bench=fir2dim (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       13150                22727             13487.49             13262.50
  instructions                 10105                10131             10110.25             10110.00
  cache-misses                     7                   17                 9.55                 9.00
