[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=CACHE
[sample=0] cpu=0 bench=fir2dim cycles=23002 instructions=10129 cache-misses=17
[sample=1] cpu=0 bench=fir2dim cycles=13671 instructions=10112 cache-misses=9
[sample=2] cpu=0 bench=fir2dim cycles=13064 instructions=10108 cache-misses=3
[sample=3] cpu=0 bench=fir2dim cycles=12981 instructions=10108 cache-misses=2
[sample=4] cpu=0 bench=fir2dim cycles=12976 instructions=10103 cache-misses=3
[sample=5] cpu=0 bench=fir2dim cycles=12905 instructions=10102 cache-misses=3
[sample=6] cpu=0 bench=fir2dim cycles=12934 instructions=10104 cache-misses=2
[sample=7] cpu=0 bench=fir2dim cycles=12982 instructions=10105 cache-misses=2
[sample=8] cpu=0 bench=fir2dim cycles=12965 instructions=10103 cache-misses=2
[sample=9] cpu=0 bench=fir2dim cycles=12997 instructions=10103 cache-misses=2
[sample=10] cpu=0 bench=fir2dim cycles=12932 instructions=10101 cache-misses=2
[sample=11] cpu=0 bench=fir2dim cycles=13006 instructions=10103 cache-misses=1
[sample=12] cpu=0 bench=fir2dim cycles=12996 instructions=10101 cache-misses=1
[sample=13] cpu=0 bench=fir2dim cycles=12986 instructions=10107 cache-misses=2
[sample=14] cpu=0 bench=fir2dim cycles=13000 instructions=10106 cache-misses=2
[sample=15] cpu=0 bench=fir2dim cycles=12989 instructions=10102 cache-misses=2
[sample=16] cpu=0 bench=fir2dim cycles=12953 instructions=10104 cache-misses=2
[sample=17] cpu=0 bench=fir2dim cycles=13018 instructions=10103 cache-misses=1
[sample=18] cpu=0 bench=fir2dim cycles=13047 instructions=10106 cache-misses=2
[sample=19] cpu=0 bench=fir2dim cycles=12963 instructions=10103 cache-misses=1
[sample=20] cpu=0 bench=fir2dim cycles=12938 instructions=10102 cache-misses=1
[sample=21] cpu=0 bench=fir2dim cycles=12923 instructions=10105 cache-misses=1
[sample=22] cpu=0 bench=fir2dim cycles=12952 instructions=10105 cache-misses=1
