[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=PIPELINE  cpu2=PIPELINE  cpu3=PIPELINE
[sample=0] cpu=0 bench=fir2dim cycles=20780 instructions=10140 cache-misses=16
[sample=1] cpu=0 bench=fir2dim cycles=14365 instructions=10124 cache-misses=9
[sample=2] cpu=0 bench=fir2dim cycles=13362 instructions=10116 cache-misses=9
[sample=3] cpu=0 bench=fir2dim cycles=13479 instructions=10118 cache-misses=12
[sample=4] cpu=0 bench=fir2dim cycles=13337 instructions=10115 cache-misses=9
[sample=5] cpu=0 bench=fir2dim cycles=13425 instructions=10119 cache-misses=8
[sample=6] cpu=0 bench=fir2dim cycles=13453 instructions=10118 cache-misses=9
[sample=7] cpu=0 bench=fir2dim cycles=13461 instructions=10116 cache-misses=10
[sample=8] cpu=0 bench=fir2dim cycles=13412 instructions=10120 cache-misses=9
[sample=9] cpu=0 bench=fir2dim cycles=13308 instructions=10125 cache-misses=9
[sample=10] cpu=0 bench=fir2dim cycles=13263 instructions=10118 cache-misses=8
[sample=11] cpu=0 bench=fir2dim cycles=13267 instructions=10117 cache-misses=8
[sample=12] cpu=0 bench=fir2dim cycles=13332 instructions=10127 cache-misses=10
[sample=13] cpu=0 bench=fir2dim cycles=13361 instructions=10117 cache-misses=9
[sample=14] cpu=0 bench=fir2dim cycles=13430 instructions=10118 cache-misses=9
[sample=15] cpu=0 bench=fir2dim cycles=13333 instructions=10116 cache-misses=9
[sample=16] cpu=0 bench=fir2dim cycles=13389 instructions=10121 cache-misses=9
[sample=17] cpu=0 bench=fir2dim cycles=13321 instructions=10123 cache-misses=10
[sample=18] cpu=0 bench=fir2dim cycles=13283 instructions=10122 cache-misses=10
[sample=19] cpu=0 bench=fir2dim cycles=13221 instructions=10117 cache-misses=8
[sample=20] cpu=0 bench=fir2dim cycles=13291 instructions=10119 cache-misses=10
[sample=21] cpu=0 bench=fir2dim cycles=13278 instructions=10117 cache-misses=8
[sample=22] cpu=0 bench=fir2dim cycles=13366 instructions=10120 cache-misses=9
[sample=23] cpu=0 bench=fir2dim cycles=13373 instructions=10115 cache-misses=9
[sample=24] cpu=0 bench=fir2dim cycles=13433 instructions=10118 cache-misses=6
[sample=25] cpu=0 bench=fir2dim cycles=13428 instructions=10115 cache-misses=9
[sample=26] cpu=0 bench=fir2dim cycles=13348 instructions=10125 cache-misses=7
[sample=27] cpu=0 bench=fir2dim cycles=13380 instructions=10115 cache-misses=9
[sample=28] cpu=0 bench=fir2dim cycles=13351 instructions=10122 cache-misses=8
[sample=29] cpu=0 bench=fir2dim cycles=13387 instructions=10118 cache-misses=9
[sample=30] cpu=0 bench=fir2dim cycles=13336 instructions=10119 cache-misses=9
[sample=31] cpu=0 bench=fir2dim cycles=13258 instructions=10114 cache-misses=8
[sample=32] cpu=0 bench=fir2dim cycles=13257 instructions=10114 cache-misses=7
[sample=33] cpu=0 bench=fir2dim cycles=13315 instructions=10114 cache-misses=8
[sample=34] cpu=0 bench=fir2dim cycles=13187 instructions=10111 cache-misses=7
[sample=35] cpu=0 bench=fir2dim cycles=13261 instructions=10109 cache-misses=10
[sample=36] cpu=0 bench=fir2dim cycles=13287 instructions=10120 cache-misses=7
[sample=37] cpu=0 bench=fir2dim cycles=13275 instructions=10116 cache-misses=9
[sample=38] cpu=0 bench=fir2dim cycles=13235 instructions=10117 cache-misses=8
[sample=39] cpu=0 bench=fir2dim cycles=13339 instructions=10121 cache-misses=8
[sample=40] cpu=0 bench=fir2dim cycles=13225 instructions=10115 cache-misses=9
[sample=41] cpu=0 bench=fir2dim cycles=13300 instructions=10118 cache-misses=8
[sample=42] cpu=0 bench=fir2dim cycles=13248 instructions=10118 cache-misses=7
[sample=43] cpu=0 bench=fir2dim cycles=13266 instructions=10120 cache-misses=7
[sample=44] cpu=0 bench=fir2dim cycles=13338 instructions=10123 cache-misses=8
[sample=45] cpu=0 bench=fir2dim cycles=13342 instructions=10117 cache-misses=8
[sample=46] cpu=0 bench=fir2dim cycles=13216 instructions=10120 cache-misses=10
[sample=47] cpu=0 bench=fir2dim cycles=13346 instructions=10119 cache-misses=9
[sample=48] cpu=0 bench=fir2dim cycles=13240 instructions=10113 cache-misses=7
[sample=49] cpu=0 bench=fir2dim cycles=13232 instructions=10117 cache-misses=8
[sample=50] cpu=0 bench=fir2dim cycles=13338 instructions=10116 cache-misses=9
[sample=51] cpu=0 bench=fir2dim cycles=13467 instructions=10124 cache-misses=9
[sample=52] cpu=0 bench=fir2dim cycles=13423 instructions=10118 cache-misses=9
