[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=PIPELINE  cpu2=PIPELINE  cpu3=PIPELINE
[sample=0] cpu=0 bench=fir2dim cycles=21396 instructions=10131 cache-misses=17
[sample=1] cpu=0 bench=fir2dim cycles=14121 instructions=10129 cache-misses=9
[sample=2] cpu=0 bench=fir2dim cycles=13233 instructions=10119 cache-misses=8
[sample=3] cpu=0 bench=fir2dim cycles=13255 instructions=10122 cache-misses=7
[sample=4] cpu=0 bench=fir2dim cycles=13235 instructions=10118 cache-misses=9
[sample=5] cpu=0 bench=fir2dim cycles=13234 instructions=10123 cache-misses=7
[sample=6] cpu=0 bench=fir2dim cycles=13165 instructions=10119 cache-misses=7
[sample=7] cpu=0 bench=fir2dim cycles=13220 instructions=10122 cache-misses=9
[sample=8] cpu=0 bench=fir2dim cycles=13222 instructions=10121 cache-misses=9
[sample=9] cpu=0 bench=fir2dim cycles=13202 instructions=10119 cache-misses=6
[sample=10] cpu=0 bench=fir2dim cycles=13180 instructions=10117 cache-misses=6
[sample=11] cpu=0 bench=fir2dim cycles=13271 instructions=10120 cache-misses=10
[sample=12] cpu=0 bench=fir2dim cycles=13245 instructions=10120 cache-misses=8
[sample=13] cpu=0 bench=fir2dim cycles=13228 instructions=10122 cache-misses=7
[sample=14] cpu=0 bench=fir2dim cycles=13256 instructions=10121 cache-misses=7
[sample=15] cpu=0 bench=fir2dim cycles=13258 instructions=10120 cache-misses=9
[sample=16] cpu=0 bench=fir2dim cycles=13295 instructions=10120 cache-misses=8
[sample=17] cpu=0 bench=fir2dim cycles=13310 instructions=10121 cache-misses=8
[sample=18] cpu=0 bench=fir2dim cycles=13237 instructions=10120 cache-misses=7
[sample=19] cpu=0 bench=fir2dim cycles=13154 instructions=10115 cache-misses=8
[sample=20] cpu=0 bench=fir2dim cycles=13095 instructions=10114 cache-misses=6
[sample=21] cpu=0 bench=fir2dim cycles=13190 instructions=10118 cache-misses=7
[sample=22] cpu=0 bench=fir2dim cycles=13207 instructions=10121 cache-misses=8
[sample=23] cpu=0 bench=fir2dim cycles=13155 instructions=10118 cache-misses=9
[sample=24] cpu=0 bench=fir2dim cycles=13169 instructions=10117 cache-misses=7
[sample=25] cpu=0 bench=fir2dim cycles=13265 instructions=10121 cache-misses=6
[sample=26] cpu=0 bench=fir2dim cycles=13229 instructions=10119 cache-misses=6
[sample=27] cpu=0 bench=fir2dim cycles=13226 instructions=10118 cache-misses=8
[sample=28] cpu=0 bench=fir2dim cycles=13191 instructions=10119 cache-misses=8
[sample=29] cpu=0 bench=fir2dim cycles=13222 instructions=10120 cache-misses=8
[sample=30] cpu=0 bench=fir2dim cycles=13225 instructions=10120 cache-misses=9
[sample=31] cpu=0 bench=fir2dim cycles=13226 instructions=10119 cache-misses=7
[sample=32] cpu=0 bench=fir2dim cycles=13314 instructions=10117 cache-misses=7
[sample=33] cpu=0 bench=fir2dim cycles=13203 instructions=10120 cache-misses=9
[sample=34] cpu=0 bench=fir2dim cycles=13201 instructions=10117 cache-misses=8
[sample=35] cpu=0 bench=fir2dim cycles=13191 instructions=10119 cache-misses=8
[sample=36] cpu=0 bench=fir2dim cycles=13173 instructions=10118 cache-misses=5
[sample=37] cpu=0 bench=fir2dim cycles=13298 instructions=10124 cache-misses=8
[sample=38] cpu=0 bench=fir2dim cycles=13192 instructions=10120 cache-misses=7
[sample=39] cpu=0 bench=fir2dim cycles=13315 instructions=10119 cache-misses=8
[sample=40] cpu=0 bench=fir2dim cycles=13261 instructions=10121 cache-misses=7
[sample=41] cpu=0 bench=fir2dim cycles=13175 instructions=10119 cache-misses=4
[sample=42] cpu=0 bench=fir2dim cycles=13209 instructions=10121 cache-misses=8
[sample=43] cpu=0 bench=fir2dim cycles=13229 instructions=10118 cache-misses=8
[sample=44] cpu=0 bench=fir2dim cycles=13218 instructions=10116 cache-misses=8
[sample=45] cpu=0 bench=fir2dim cycles=13156 instructions=10117 cache-misses=5
[sample=46] cpu=0 bench=fir2dim cycles=13201 instructions=10117 cache-misses=8
[sample=47] cpu=0 bench=fir2dim cycles=13274 instructions=10119 cache-misses=6
[sample=48] cpu=0 bench=fir2dim cycles=13233 instructions=10123 cache-misses=8
[sample=49] cpu=0 bench=fir2dim cycles=13270 instructions=10122 cache-misses=7
