[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=CACHE  cpu3=BUS  cpu4=POINTER
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=fir2dim cycles=60914 instructions=10130 cache-misses=15
[sample=1] cpu=0 bench=fir2dim cycles=49735 instructions=10130 cache-misses=16
[sample=2] cpu=0 bench=fir2dim cycles=54215 instructions=10126 cache-misses=17
[sample=3] cpu=0 bench=fir2dim cycles=46765 instructions=10118 cache-misses=8
[sample=4] cpu=0 bench=fir2dim cycles=57358 instructions=10131 cache-misses=13
[sample=5] cpu=0 bench=fir2dim cycles=355505 instructions=10122 cache-misses=9
[sample=6] cpu=0 bench=fir2dim cycles=46324 instructions=10129 cache-misses=13
[sample=7] cpu=0 bench=fir2dim cycles=57778 instructions=10129 cache-misses=11
[sample=8] cpu=0 bench=fir2dim cycles=33184 instructions=10128 cache-misses=10
[sample=9] cpu=0 bench=fir2dim cycles=49731 instructions=10120 cache-misses=8
[sample=10] cpu=0 bench=fir2dim cycles=52759 instructions=10121 cache-misses=7
[sample=11] cpu=0 bench=fir2dim cycles=57870 instructions=10118 cache-misses=9
[sample=12] cpu=0 bench=fir2dim cycles=49590 instructions=10125 cache-misses=9
[sample=13] cpu=0 bench=fir2dim cycles=51648 instructions=10124 cache-misses=8
[sample=14] cpu=0 bench=fir2dim cycles=30618 instructions=10123 cache-misses=8
[sample=15] cpu=0 bench=fir2dim cycles=54273 instructions=10123 cache-misses=9
[sample=16] cpu=0 bench=fir2dim cycles=62945 instructions=10117 cache-misses=7
[sample=17] cpu=0 bench=fir2dim cycles=58648 instructions=10123 cache-misses=8
[sample=18] cpu=0 bench=fir2dim cycles=49394 instructions=10119 cache-misses=13
[sample=19] cpu=0 bench=fir2dim cycles=50037 instructions=10116 cache-misses=9
[sample=20] cpu=0 bench=fir2dim cycles=55221 instructions=10119 cache-misses=7
[sample=21] cpu=0 bench=fir2dim cycles=27548 instructions=10125 cache-misses=7
[sample=22] cpu=0 bench=fir2dim cycles=56014 instructions=10122 cache-misses=7
[sample=23] cpu=0 bench=fir2dim cycles=22973 instructions=10121 cache-misses=10
[sample=24] cpu=0 bench=fir2dim cycles=13796 instructions=10115 cache-misses=9
[sample=25] cpu=0 bench=fir2dim cycles=15776 instructions=10114 cache-misses=2
[sample=26] cpu=0 bench=fir2dim cycles=13295 instructions=10108 cache-misses=2
[sample=27] cpu=0 bench=fir2dim cycles=13121 instructions=10114 cache-misses=2
[sample=28] cpu=0 bench=fir2dim cycles=13464 instructions=10113 cache-misses=1
[sample=29] cpu=0 bench=fir2dim cycles=13908 instructions=10106 cache-misses=2
