[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=fmref cycles=768883 instructions=454822 cache-misses=143
[sample=1] cpu=0 bench=fmref cycles=680803 instructions=417305 cache-misses=76
[sample=2] cpu=0 bench=fmref cycles=664501 instructions=417305 cache-misses=72
[sample=3] cpu=0 bench=fmref cycles=658844 instructions=417300 cache-misses=61
[sample=4] cpu=0 bench=fmref cycles=656120 instructions=417301 cache-misses=81
[sample=5] cpu=0 bench=fmref cycles=655505 instructions=417300 cache-misses=68
[sample=6] cpu=0 bench=fmref cycles=654602 instructions=417301 cache-misses=63
[sample=7] cpu=0 bench=fmref cycles=655506 instructions=417297 cache-misses=67
[sample=8] cpu=0 bench=fmref cycles=654886 instructions=417301 cache-misses=67
[sample=9] cpu=0 bench=fmref cycles=654983 instructions=417301 cache-misses=66
[sample=10] cpu=0 bench=fmref cycles=655895 instructions=417302 cache-misses=74
[sample=11] cpu=0 bench=fmref cycles=654924 instructions=417301 cache-misses=75
[sample=12] cpu=0 bench=fmref cycles=655158 instructions=417303 cache-misses=62
[sample=13] cpu=0 bench=fmref cycles=655556 instructions=417302 cache-misses=55
[sample=14] cpu=0 bench=fmref cycles=655226 instructions=417299 cache-misses=76
[sample=15] cpu=0 bench=fmref cycles=654681 instructions=417298 cache-misses=55
[sample=16] cpu=0 bench=fmref cycles=655013 instructions=417301 cache-misses=63
[sample=17] cpu=0 bench=fmref cycles=654916 instructions=417302 cache-misses=62
[sample=18] cpu=0 bench=fmref cycles=654579 instructions=417301 cache-misses=56
[sample=19] cpu=0 bench=fmref cycles=656389 instructions=417305 cache-misses=79
[sample=20] cpu=0 bench=fmref cycles=655949 instructions=417301 cache-misses=64
[sample=21] cpu=0 bench=fmref cycles=655138 instructions=417299 cache-misses=63
[sample=22] cpu=0 bench=fmref cycles=655792 instructions=417300 cache-misses=64
[sample=23] cpu=0 bench=fmref cycles=654767 instructions=417304 cache-misses=61
[sample=24] cpu=0 bench=fmref cycles=656107 instructions=417305 cache-misses=66
[sample=25] cpu=0 bench=fmref cycles=658497 instructions=417306 cache-misses=62
[sample=26] cpu=0 bench=fmref cycles=655650 instructions=417307 cache-misses=73
[sample=27] cpu=0 bench=fmref cycles=657419 instructions=417307 cache-misses=67
[sample=28] cpu=0 bench=fmref cycles=656352 instructions=417304 cache-misses=68
[sample=29] cpu=0 bench=fmref cycles=655025 instructions=417302 cache-misses=65
[sample=30] cpu=0 bench=fmref cycles=654497 instructions=417304 cache-misses=69
[sample=31] cpu=0 bench=fmref cycles=655065 instructions=417298 cache-misses=58
[sample=32] cpu=0 bench=fmref cycles=654354 instructions=417295 cache-misses=66
[sample=33] cpu=0 bench=fmref cycles=659253 instructions=417308 cache-misses=71
[sample=34] cpu=0 bench=fmref cycles=658443 instructions=417302 cache-misses=66
[sample=35] cpu=0 bench=fmref cycles=655504 instructions=417303 cache-misses=68
[sample=36] cpu=0 bench=fmref cycles=654256 instructions=417302 cache-misses=56
[sample=37] cpu=0 bench=fmref cycles=655724 instructions=417304 cache-misses=69
[sample=38] cpu=0 bench=fmref cycles=656087 instructions=417305 cache-misses=55
[sample=39] cpu=0 bench=fmref cycles=654356 instructions=417301 cache-misses=63
[sample=40] cpu=0 bench=fmref cycles=655110 instructions=417300 cache-misses=80
[sample=41] cpu=0 bench=fmref cycles=657946 instructions=417301 cache-misses=67
[sample=42] cpu=0 bench=fmref cycles=657621 instructions=417307 cache-misses=66
[sample=43] cpu=0 bench=fmref cycles=654571 instructions=417301 cache-misses=67
[sample=44] cpu=0 bench=fmref cycles=654239 instructions=417307 cache-misses=61
[sample=45] cpu=0 bench=fmref cycles=655222 instructions=417301 cache-misses=61
[sample=46] cpu=0 bench=fmref cycles=654783 instructions=417305 cache-misses=60
[sample=47] cpu=0 bench=fmref cycles=654743 instructions=417307 cache-misses=72
[sample=48] cpu=0 bench=fmref cycles=655060 instructions=417302 cache-misses=67
[sample=49] cpu=0 bench=fmref cycles=655657 instructions=417303 cache-misses=59
[sample=50] cpu=0 bench=fmref cycles=655858 instructions=417306 cache-misses=60
[sample=51] cpu=0 bench=fmref cycles=654224 instructions=417308 cache-misses=57
[sample=52] cpu=0 bench=fmref cycles=654267 instructions=417306 cache-misses=60
[sample=53] cpu=0 bench=fmref cycles=654656 instructions=417309 cache-misses=55
[sample=54] cpu=0 bench=fmref cycles=655462 instructions=417303 cache-misses=81
[sample=55] cpu=0 bench=fmref cycles=655159 instructions=417305 cache-misses=65
[sample=56] cpu=0 bench=fmref cycles=654825 instructions=417301 cache-misses=62
[sample=57] cpu=0 bench=fmref cycles=654561 instructions=417305 cache-misses=59
[sample=58] cpu=0 bench=fmref cycles=654571 instructions=417299 cache-misses=67
[sample=59] cpu=0 bench=fmref cycles=654697 instructions=417303 cache-misses=55
[sample=60] cpu=0 bench=fmref cycles=654424 instructions=417299 cache-misses=65
[sample=61] cpu=0 bench=fmref cycles=655987 instructions=417304 cache-misses=78
[sample=62] cpu=0 bench=fmref cycles=661157 instructions=417303 cache-misses=64
[sample=63] cpu=0 bench=fmref cycles=659915 instructions=417305 cache-misses=63
[sample=64] cpu=0 bench=fmref cycles=656699 instructions=417307 cache-misses=62
[sample=65] cpu=0 bench=fmref cycles=654330 instructions=417304 cache-misses=62
[sample=66] cpu=0 bench=fmref cycles=654584 instructions=417304 cache-misses=62
[sample=67] cpu=0 bench=fmref cycles=654754 instructions=417303 cache-misses=62
[sample=68] cpu=0 bench=fmref cycles=656532 instructions=417307 cache-misses=84
[sample=69] cpu=0 bench=fmref cycles=656098 instructions=417303 cache-misses=65
[sample=70] cpu=0 bench=fmref cycles=655379 instructions=417304 cache-misses=60
[sample=71] cpu=0 bench=fmref cycles=654247 instructions=417302 cache-misses=55
[sample=72] cpu=0 bench=fmref cycles=654253 instructions=417303 cache-misses=61
[sample=73] cpu=0 bench=fmref cycles=654362 instructions=417298 cache-misses=69
[sample=74] cpu=0 bench=fmref cycles=654888 instructions=417303 cache-misses=59
[sample=75] cpu=0 bench=fmref cycles=655364 instructions=417308 cache-misses=101
[sample=76] cpu=0 bench=fmref cycles=657927 instructions=417303 cache-misses=68
[sample=77] cpu=0 bench=fmref cycles=656072 instructions=417300 cache-misses=63
[sample=78] cpu=0 bench=fmref cycles=654498 instructions=417304 cache-misses=60
[sample=79] cpu=0 bench=fmref cycles=657035 instructions=417302 cache-misses=71
[sample=80] cpu=0 bench=fmref cycles=655378 instructions=417302 cache-misses=63
[sample=81] cpu=0 bench=fmref cycles=654272 instructions=417304 cache-misses=61
[sample=82] cpu=0 bench=fmref cycles=655068 instructions=417307 cache-misses=68
[sample=83] cpu=0 bench=fmref cycles=654772 instructions=417302 cache-misses=68
[sample=84] cpu=0 bench=fmref cycles=655571 instructions=417305 cache-misses=62
[sample=85] cpu=0 bench=fmref cycles=654934 instructions=417303 cache-misses=68
[sample=86] cpu=0 bench=fmref cycles=654896 instructions=417303 cache-misses=55
[sample=87] cpu=0 bench=fmref cycles=654336 instructions=417296 cache-misses=58
[sample=88] cpu=0 bench=fmref cycles=654752 instructions=417301 cache-misses=59
