[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=fmref cycles=747432 instructions=454811 cache-misses=113
[sample=1] cpu=0 bench=fmref cycles=658141 instructions=417304 cache-misses=64
[sample=2] cpu=0 bench=fmref cycles=654991 instructions=417304 cache-misses=60
[sample=3] cpu=0 bench=fmref cycles=654352 instructions=417299 cache-misses=61
[sample=4] cpu=0 bench=fmref cycles=654277 instructions=417301 cache-misses=59
[sample=5] cpu=0 bench=fmref cycles=654288 instructions=417297 cache-misses=63
[sample=6] cpu=0 bench=fmref cycles=654659 instructions=417298 cache-misses=92
[sample=7] cpu=0 bench=fmref cycles=654318 instructions=417299 cache-misses=56
[sample=8] cpu=0 bench=fmref cycles=654243 instructions=417298 cache-misses=55
[sample=9] cpu=0 bench=fmref cycles=654362 instructions=417305 cache-misses=56
[sample=10] cpu=0 bench=fmref cycles=654260 instructions=417298 cache-misses=57
[sample=11] cpu=0 bench=fmref cycles=654257 instructions=417299 cache-misses=56
[sample=12] cpu=0 bench=fmref cycles=654386 instructions=417299 cache-misses=63
[sample=13] cpu=0 bench=fmref cycles=654340 instructions=417296 cache-misses=55
[sample=14] cpu=0 bench=fmref cycles=654393 instructions=417299 cache-misses=62
[sample=15] cpu=0 bench=fmref cycles=654329 instructions=417301 cache-misses=59
[sample=16] cpu=0 bench=fmref cycles=654283 instructions=417301 cache-misses=55
[sample=17] cpu=0 bench=fmref cycles=654573 instructions=417295 cache-misses=63
[sample=18] cpu=0 bench=fmref cycles=654398 instructions=417304 cache-misses=63
[sample=19] cpu=0 bench=fmref cycles=654425 instructions=417303 cache-misses=66
[sample=20] cpu=0 bench=fmref cycles=654210 instructions=417301 cache-misses=58
[sample=21] cpu=0 bench=fmref cycles=655097 instructions=417301 cache-misses=66
[sample=22] cpu=0 bench=fmref cycles=654299 instructions=417302 cache-misses=58
[sample=23] cpu=0 bench=fmref cycles=654293 instructions=417296 cache-misses=59
[sample=24] cpu=0 bench=fmref cycles=654339 instructions=417299 cache-misses=60
[sample=25] cpu=0 bench=fmref cycles=654163 instructions=417295 cache-misses=65
[sample=26] cpu=0 bench=fmref cycles=654290 instructions=417296 cache-misses=59
[sample=27] cpu=0 bench=fmref cycles=654389 instructions=417299 cache-misses=64
[sample=28] cpu=0 bench=fmref cycles=654300 instructions=417302 cache-misses=53
[sample=29] cpu=0 bench=fmref cycles=654811 instructions=417301 cache-misses=82
[sample=30] cpu=0 bench=fmref cycles=654529 instructions=417298 cache-misses=63
[sample=31] cpu=0 bench=fmref cycles=654354 instructions=417300 cache-misses=61
[sample=32] cpu=0 bench=fmref cycles=654283 instructions=417299 cache-misses=55
[sample=33] cpu=0 bench=fmref cycles=654795 instructions=417300 cache-misses=61
[sample=34] cpu=0 bench=fmref cycles=654198 instructions=417306 cache-misses=59
[sample=35] cpu=0 bench=fmref cycles=654243 instructions=417297 cache-misses=55
[sample=36] cpu=0 bench=fmref cycles=654735 instructions=417298 cache-misses=62
[sample=37] cpu=0 bench=fmref cycles=654380 instructions=417300 cache-misses=60
[sample=38] cpu=0 bench=fmref cycles=654366 instructions=417296 cache-misses=57
[sample=39] cpu=0 bench=fmref cycles=659647 instructions=417301 cache-misses=66
[sample=40] cpu=0 bench=fmref cycles=656246 instructions=417298 cache-misses=56
[sample=41] cpu=0 bench=fmref cycles=663717 instructions=417297 cache-misses=65
[sample=42] cpu=0 bench=fmref cycles=656622 instructions=417296 cache-misses=59
[sample=43] cpu=0 bench=fmref cycles=659234 instructions=417298 cache-misses=60
[sample=44] cpu=0 bench=fmref cycles=654890 instructions=417306 cache-misses=79
[sample=45] cpu=0 bench=fmref cycles=655551 instructions=417299 cache-misses=65
[sample=46] cpu=0 bench=fmref cycles=658631 instructions=417297 cache-misses=51
[sample=47] cpu=0 bench=fmref cycles=655652 instructions=417299 cache-misses=56
[sample=48] cpu=0 bench=fmref cycles=654725 instructions=417297 cache-misses=60
[sample=49] cpu=0 bench=fmref cycles=654971 instructions=417298 cache-misses=59
[sample=50] cpu=0 bench=fmref cycles=654755 instructions=417302 cache-misses=54
[sample=51] cpu=0 bench=fmref cycles=655435 instructions=417302 cache-misses=76
[sample=52] cpu=0 bench=fmref cycles=654331 instructions=417299 cache-misses=56
[sample=53] cpu=0 bench=fmref cycles=654481 instructions=417296 cache-misses=64
[sample=54] cpu=0 bench=fmref cycles=654719 instructions=417296 cache-misses=61
[sample=55] cpu=0 bench=fmref cycles=654306 instructions=417296 cache-misses=60
[sample=56] cpu=0 bench=fmref cycles=654468 instructions=417295 cache-misses=56
[sample=57] cpu=0 bench=fmref cycles=654288 instructions=417298 cache-misses=54
[sample=58] cpu=0 bench=fmref cycles=654622 instructions=417296 cache-misses=79
[sample=59] cpu=0 bench=fmref cycles=661337 instructions=417301 cache-misses=96
[sample=60] cpu=0 bench=fmref cycles=655711 instructions=417300 cache-misses=63
[sample=61] cpu=0 bench=fmref cycles=654945 instructions=417300 cache-misses=62
[sample=62] cpu=0 bench=fmref cycles=654460 instructions=417298 cache-misses=58
[sample=63] cpu=0 bench=fmref cycles=654936 instructions=417301 cache-misses=58
[sample=64] cpu=0 bench=fmref cycles=654646 instructions=417306 cache-misses=58
[sample=65] cpu=0 bench=fmref cycles=654266 instructions=417292 cache-misses=59
[sample=66] cpu=0 bench=fmref cycles=654687 instructions=417299 cache-misses=58
[sample=67] cpu=0 bench=fmref cycles=687325 instructions=417305 cache-misses=72
[sample=68] cpu=0 bench=fmref cycles=668587 instructions=417306 cache-misses=59
[sample=69] cpu=0 bench=fmref cycles=657482 instructions=417303 cache-misses=70
[sample=70] cpu=0 bench=fmref cycles=654929 instructions=417303 cache-misses=63
[sample=71] cpu=0 bench=fmref cycles=654248 instructions=417299 cache-misses=64
[sample=72] cpu=0 bench=fmref cycles=654325 instructions=417302 cache-misses=64
[sample=73] cpu=0 bench=fmref cycles=654262 instructions=417300 cache-misses=54
[sample=74] cpu=0 bench=fmref cycles=654304 instructions=417302 cache-misses=60
[sample=75] cpu=0 bench=fmref cycles=654723 instructions=417299 cache-misses=61
