[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=CACHE
[sample=0] cpu=0 bench=fmref cycles=771225 instructions=454815 cache-misses=141
[sample=1] cpu=0 bench=fmref cycles=678386 instructions=417300 cache-misses=76
[sample=2] cpu=0 bench=fmref cycles=661708 instructions=417307 cache-misses=87
[sample=3] cpu=0 bench=fmref cycles=658523 instructions=417298 cache-misses=86
[sample=4] cpu=0 bench=fmref cycles=655137 instructions=417302 cache-misses=65
[sample=5] cpu=0 bench=fmref cycles=654567 instructions=417302 cache-misses=66
[sample=6] cpu=0 bench=fmref cycles=654387 instructions=417299 cache-misses=74
[sample=7] cpu=0 bench=fmref cycles=655054 instructions=417301 cache-misses=63
[sample=8] cpu=0 bench=fmref cycles=654326 instructions=417301 cache-misses=62
[sample=9] cpu=0 bench=fmref cycles=654370 instructions=417300 cache-misses=72
[sample=10] cpu=0 bench=fmref cycles=654265 instructions=417303 cache-misses=65
[sample=11] cpu=0 bench=fmref cycles=654292 instructions=417300 cache-misses=76
[sample=12] cpu=0 bench=fmref cycles=654745 instructions=417298 cache-misses=63
[sample=13] cpu=0 bench=fmref cycles=654918 instructions=417307 cache-misses=79
[sample=14] cpu=0 bench=fmref cycles=654258 instructions=417300 cache-misses=65
[sample=15] cpu=0 bench=fmref cycles=654407 instructions=417303 cache-misses=87
[sample=16] cpu=0 bench=fmref cycles=654303 instructions=417301 cache-misses=65
[sample=17] cpu=0 bench=fmref cycles=654934 instructions=417305 cache-misses=97
[sample=18] cpu=0 bench=fmref cycles=654239 instructions=417302 cache-misses=78
[sample=19] cpu=0 bench=fmref cycles=654996 instructions=417305 cache-misses=86
[sample=20] cpu=0 bench=fmref cycles=654185 instructions=417298 cache-misses=66
[sample=21] cpu=0 bench=fmref cycles=655585 instructions=417301 cache-misses=81
[sample=22] cpu=0 bench=fmref cycles=654810 instructions=417302 cache-misses=93
[sample=23] cpu=0 bench=fmref cycles=654436 instructions=417304 cache-misses=68
[sample=24] cpu=0 bench=fmref cycles=654967 instructions=417308 cache-misses=65
[sample=25] cpu=0 bench=fmref cycles=654589 instructions=417302 cache-misses=81
[sample=26] cpu=0 bench=fmref cycles=654395 instructions=417302 cache-misses=63
[sample=27] cpu=0 bench=fmref cycles=654479 instructions=417303 cache-misses=62
[sample=28] cpu=0 bench=fmref cycles=654737 instructions=417299 cache-misses=81
[sample=29] cpu=0 bench=fmref cycles=655879 instructions=417307 cache-misses=84
[sample=30] cpu=0 bench=fmref cycles=655268 instructions=417300 cache-misses=67
[sample=31] cpu=0 bench=fmref cycles=654792 instructions=417306 cache-misses=59
[sample=32] cpu=0 bench=fmref cycles=654256 instructions=417302 cache-misses=60
[sample=33] cpu=0 bench=fmref cycles=654166 instructions=417304 cache-misses=62
[sample=34] cpu=0 bench=fmref cycles=654854 instructions=417298 cache-misses=82
[sample=35] cpu=0 bench=fmref cycles=656159 instructions=417298 cache-misses=91
[sample=36] cpu=0 bench=fmref cycles=656324 instructions=417310 cache-misses=66
[sample=37] cpu=0 bench=fmref cycles=654782 instructions=417303 cache-misses=58
[sample=38] cpu=0 bench=fmref cycles=655902 instructions=417303 cache-misses=63
[sample=39] cpu=0 bench=fmref cycles=655053 instructions=417304 cache-misses=61
[sample=40] cpu=0 bench=fmref cycles=655218 instructions=417301 cache-misses=61
[sample=41] cpu=0 bench=fmref cycles=654286 instructions=417302 cache-misses=81
[sample=42] cpu=0 bench=fmref cycles=654253 instructions=417302 cache-misses=67
[sample=43] cpu=0 bench=fmref cycles=654845 instructions=417306 cache-misses=73
[sample=44] cpu=0 bench=fmref cycles=654537 instructions=417301 cache-misses=69
[sample=45] cpu=0 bench=fmref cycles=655810 instructions=417299 cache-misses=65
[sample=46] cpu=0 bench=fmref cycles=654920 instructions=417299 cache-misses=58
[sample=47] cpu=0 bench=fmref cycles=655493 instructions=417301 cache-misses=89
[sample=48] cpu=0 bench=fmref cycles=654273 instructions=417303 cache-misses=62
[sample=49] cpu=0 bench=fmref cycles=654667 instructions=417303 cache-misses=70
[sample=50] cpu=0 bench=fmref cycles=655640 instructions=417302 cache-misses=76
[sample=51] cpu=0 bench=fmref cycles=654359 instructions=417302 cache-misses=62
[sample=52] cpu=0 bench=fmref cycles=654330 instructions=417304 cache-misses=65
[sample=53] cpu=0 bench=fmref cycles=655220 instructions=417309 cache-misses=81
[sample=54] cpu=0 bench=fmref cycles=654396 instructions=417301 cache-misses=63
[sample=55] cpu=0 bench=fmref cycles=654382 instructions=417303 cache-misses=70
[sample=56] cpu=0 bench=fmref cycles=654937 instructions=417304 cache-misses=65
[sample=57] cpu=0 bench=fmref cycles=655298 instructions=417304 cache-misses=91
[sample=58] cpu=0 bench=fmref cycles=655180 instructions=417306 cache-misses=63
[sample=59] cpu=0 bench=fmref cycles=654654 instructions=417305 cache-misses=76
[sample=60] cpu=0 bench=fmref cycles=655420 instructions=417305 cache-misses=77
[sample=61] cpu=0 bench=fmref cycles=654414 instructions=417302 cache-misses=89
[sample=62] cpu=0 bench=fmref cycles=654625 instructions=417304 cache-misses=72
[sample=63] cpu=0 bench=fmref cycles=654721 instructions=417300 cache-misses=89
[sample=64] cpu=0 bench=fmref cycles=654037 instructions=417299 cache-misses=62
[sample=65] cpu=0 bench=fmref cycles=655737 instructions=417304 cache-misses=80
[sample=66] cpu=0 bench=fmref cycles=654631 instructions=417305 cache-misses=67
[sample=67] cpu=0 bench=fmref cycles=654470 instructions=417305 cache-misses=68
[sample=68] cpu=0 bench=fmref cycles=656017 instructions=417301 cache-misses=69
[sample=69] cpu=0 bench=fmref cycles=654769 instructions=417304 cache-misses=69
[sample=70] cpu=0 bench=fmref cycles=654340 instructions=417302 cache-misses=75
[sample=71] cpu=0 bench=fmref cycles=661304 instructions=417307 cache-misses=99
[sample=72] cpu=0 bench=fmref cycles=655752 instructions=417303 cache-misses=72
[sample=73] cpu=0 bench=fmref cycles=654470 instructions=417307 cache-misses=74
[sample=74] cpu=0 bench=fmref cycles=654280 instructions=417303 cache-misses=78
[sample=75] cpu=0 bench=fmref cycles=654400 instructions=417302 cache-misses=70
[sample=76] cpu=0 bench=fmref cycles=654195 instructions=417303 cache-misses=79
