[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=PIPELINE  cpu2=PIPELINE  cpu3=PIPELINE
[sample=0] cpu=0 bench=fmref cycles=745826 instructions=454811 cache-misses=133
[sample=1] cpu=0 bench=fmref cycles=654990 instructions=417304 cache-misses=69
[sample=2] cpu=0 bench=fmref cycles=654370 instructions=417307 cache-misses=69
[sample=3] cpu=0 bench=fmref cycles=654481 instructions=417306 cache-misses=70
[sample=4] cpu=0 bench=fmref cycles=654334 instructions=417303 cache-misses=62
[sample=5] cpu=0 bench=fmref cycles=654646 instructions=417304 cache-misses=79
[sample=6] cpu=0 bench=fmref cycles=654312 instructions=417303 cache-misses=68
[sample=7] cpu=0 bench=fmref cycles=654265 instructions=417300 cache-misses=71
[sample=8] cpu=0 bench=fmref cycles=654344 instructions=417299 cache-misses=74
[sample=9] cpu=0 bench=fmref cycles=654162 instructions=417300 cache-misses=62
[sample=10] cpu=0 bench=fmref cycles=654244 instructions=417298 cache-misses=74
[sample=11] cpu=0 bench=fmref cycles=654182 instructions=417299 cache-misses=68
[sample=12] cpu=0 bench=fmref cycles=654901 instructions=417299 cache-misses=79
[sample=13] cpu=0 bench=fmref cycles=654168 instructions=417303 cache-misses=68
[sample=14] cpu=0 bench=fmref cycles=654242 instructions=417297 cache-misses=62
[sample=15] cpu=0 bench=fmref cycles=654247 instructions=417296 cache-misses=70
[sample=16] cpu=0 bench=fmref cycles=654416 instructions=417296 cache-misses=69
[sample=17] cpu=0 bench=fmref cycles=654197 instructions=417297 cache-misses=62
[sample=18] cpu=0 bench=fmref cycles=654109 instructions=417296 cache-misses=64
[sample=19] cpu=0 bench=fmref cycles=654164 instructions=417299 cache-misses=70
[sample=20] cpu=0 bench=fmref cycles=654704 instructions=417298 cache-misses=66
[sample=21] cpu=0 bench=fmref cycles=654221 instructions=417303 cache-misses=74
[sample=22] cpu=0 bench=fmref cycles=654398 instructions=417306 cache-misses=82
[sample=23] cpu=0 bench=fmref cycles=654307 instructions=417299 cache-misses=69
[sample=24] cpu=0 bench=fmref cycles=654080 instructions=417298 cache-misses=70
[sample=25] cpu=0 bench=fmref cycles=654279 instructions=417301 cache-misses=62
[sample=26] cpu=0 bench=fmref cycles=654426 instructions=417299 cache-misses=71
[sample=27] cpu=0 bench=fmref cycles=654359 instructions=417305 cache-misses=60
[sample=28] cpu=0 bench=fmref cycles=654858 instructions=417307 cache-misses=79
[sample=29] cpu=0 bench=fmref cycles=654385 instructions=417302 cache-misses=68
[sample=30] cpu=0 bench=fmref cycles=654335 instructions=417299 cache-misses=67
[sample=31] cpu=0 bench=fmref cycles=654217 instructions=417298 cache-misses=69
[sample=32] cpu=0 bench=fmref cycles=654211 instructions=417300 cache-misses=65
[sample=33] cpu=0 bench=fmref cycles=654334 instructions=417304 cache-misses=55
[sample=34] cpu=0 bench=fmref cycles=654335 instructions=417302 cache-misses=71
[sample=35] cpu=0 bench=fmref cycles=654247 instructions=417300 cache-misses=63
[sample=36] cpu=0 bench=fmref cycles=654584 instructions=417305 cache-misses=77
[sample=37] cpu=0 bench=fmref cycles=654276 instructions=417299 cache-misses=75
[sample=38] cpu=0 bench=fmref cycles=654358 instructions=417304 cache-misses=69
[sample=39] cpu=0 bench=fmref cycles=654315 instructions=417299 cache-misses=74
[sample=40] cpu=0 bench=fmref cycles=654419 instructions=417300 cache-misses=63
