[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=POINTER  cpu2=POINTER  cpu3=POINTER
[sample=0] cpu=0 bench=iir cycles=9760 instructions=2593 cache-misses=11
[sample=1] cpu=0 bench=iir cycles=12628 instructions=2589 cache-misses=13
[sample=2] cpu=0 bench=iir cycles=3533 instructions=2589 cache-misses=5
[sample=3] cpu=0 bench=iir cycles=3510 instructions=2589 cache-misses=3
[sample=4] cpu=0 bench=iir cycles=3536 instructions=2589 cache-misses=4
[sample=5] cpu=0 bench=iir cycles=3523 instructions=2589 cache-misses=2
[sample=6] cpu=0 bench=iir cycles=3497 instructions=2588 cache-misses=2
[sample=7] cpu=0 bench=iir cycles=3782 instructions=2589 cache-misses=4
[sample=8] cpu=0 bench=iir cycles=3476 instructions=2588 cache-misses=1
[sample=9] cpu=0 bench=iir cycles=5247 instructions=2588 cache-misses=12
[sample=10] cpu=0 bench=iir cycles=3543 instructions=2588 cache-misses=6
[sample=11] cpu=0 bench=iir cycles=3529 instructions=2588 cache-misses=5
[sample=12] cpu=0 bench=iir cycles=3534 instructions=2589 cache-misses=1
[sample=13] cpu=0 bench=iir cycles=3527 instructions=2589 cache-misses=3
[sample=14] cpu=0 bench=iir cycles=3506 instructions=2588 cache-misses=1
[sample=15] cpu=0 bench=iir cycles=3527 instructions=2589 cache-misses=4
[sample=16] cpu=0 bench=iir cycles=3476 instructions=2588 cache-misses=1
[sample=17] cpu=0 bench=iir cycles=3513 instructions=2589 cache-misses=3
[sample=18] cpu=0 bench=iir cycles=3533 instructions=2588 cache-misses=4
[sample=19] cpu=0 bench=iir cycles=3616 instructions=2589 cache-misses=4
[sample=20] cpu=0 bench=iir cycles=3511 instructions=2588 cache-misses=3
[sample=21] cpu=0 bench=iir cycles=3457 instructions=2588 cache-misses=2
[sample=22] cpu=0 bench=iir cycles=3485 instructions=2588 cache-misses=5
[sample=23] cpu=0 bench=iir cycles=3481 instructions=2588 cache-misses=3
[sample=24] cpu=0 bench=iir cycles=3540 instructions=2588 cache-misses=6
[sample=25] cpu=0 bench=iir cycles=3543 instructions=2589 cache-misses=6
[sample=26] cpu=0 bench=iir cycles=4028 instructions=2589 cache-misses=7
[sample=27] cpu=0 bench=iir cycles=4076 instructions=2588 cache-misses=4
[sample=28] cpu=0 bench=iir cycles=3481 instructions=2588 cache-misses=2
[sample=29] cpu=0 bench=iir cycles=3534 instructions=2588 cache-misses=4
[sample=30] cpu=0 bench=iir cycles=3561 instructions=2588 cache-misses=5
[sample=31] cpu=0 bench=iir cycles=3458 instructions=2588 cache-misses=2
[sample=32] cpu=0 bench=iir cycles=4106 instructions=2588 cache-misses=5
[sample=33] cpu=0 bench=iir cycles=3462 instructions=2588 cache-misses=2
[sample=34] cpu=0 bench=iir cycles=3542 instructions=2588 cache-misses=3
[sample=35] cpu=0 bench=iir cycles=3514 instructions=2588 cache-misses=2
[sample=36] cpu=0 bench=iir cycles=3502 instructions=2588 cache-misses=3
[sample=37] cpu=0 bench=iir cycles=3519 instructions=2588 cache-misses=4
[sample=38] cpu=0 bench=iir cycles=3479 instructions=2588 cache-misses=2
[sample=39] cpu=0 bench=iir cycles=3475 instructions=2588 cache-misses=2
[sample=40] cpu=0 bench=iir cycles=3488 instructions=2588 cache-misses=2
[sample=41] cpu=0 bench=iir cycles=3569 instructions=2588 cache-misses=5
[sample=42] cpu=0 bench=iir cycles=3474 instructions=2588 cache-misses=3
[sample=43] cpu=0 bench=iir cycles=3451 instructions=2588 cache-misses=2
[sample=44] cpu=0 bench=iir cycles=3509 instructions=2588 cache-misses=6
[sample=45] cpu=0 bench=iir cycles=3506 instructions=2588 cache-misses=3
[sample=46] cpu=0 bench=iir cycles=3516 instructions=2588 cache-misses=5
[sample=47] cpu=0 bench=iir cycles=3486 instructions=2588 cache-misses=3
[sample=48] cpu=0 bench=iir cycles=3443 instructions=2588 cache-misses=2
[sample=49] cpu=0 bench=iir cycles=3488 instructions=2588 cache-misses=4
[sample=50] cpu=0 bench=iir cycles=3466 instructions=2588 cache-misses=2
[sample=51] cpu=0 bench=iir cycles=3426 instructions=2588 cache-misses=0
[sample=52] cpu=0 bench=iir cycles=3472 instructions=2588 cache-misses=5
[sample=53] cpu=0 bench=iir cycles=3495 instructions=2588 cache-misses=3
[sample=54] cpu=0 bench=iir cycles=5874 instructions=2588 cache-misses=7
[sample=55] cpu=0 bench=iir cycles=3547 instructions=2588 cache-misses=4
[sample=56] cpu=0 bench=iir cycles=3473 instructions=2588 cache-misses=3
[sample=57] cpu=0 bench=iir cycles=3546 instructions=2588 cache-misses=4
[sample=58] cpu=0 bench=iir cycles=3490 instructions=2588 cache-misses=3
[sample=59] cpu=0 bench=iir cycles=3521 instructions=2588 cache-misses=6
[sample=60] cpu=0 bench=iir cycles=3489 instructions=2588 cache-misses=2
[sample=61] cpu=0 bench=iir cycles=3485 instructions=2588 cache-misses=3
[sample=62] cpu=0 bench=iir cycles=3551 instructions=2588 cache-misses=2
[sample=63] cpu=0 bench=iir cycles=4011 instructions=2588 cache-misses=7
[sample=64] cpu=0 bench=iir cycles=3737 instructions=2591 cache-misses=5
[sample=65] cpu=0 bench=iir cycles=3435 instructions=2588 cache-misses=2
[sample=66] cpu=0 bench=iir cycles=3517 instructions=2588 cache-misses=6
[sample=67] cpu=0 bench=iir cycles=3541 instructions=2588 cache-misses=5
[sample=68] cpu=0 bench=iir cycles=3565 instructions=2588 cache-misses=4
[sample=69] cpu=0 bench=iir cycles=3485 instructions=2588 cache-misses=4
[sample=70] cpu=0 bench=iir cycles=3428 instructions=2588 cache-misses=2
[sample=71] cpu=0 bench=iir cycles=3467 instructions=2588 cache-misses=2
[sample=72] cpu=0 bench=iir cycles=3484 instructions=2588 cache-misses=2
[sample=73] cpu=0 bench=iir cycles=3479 instructions=2588 cache-misses=4
[sample=74] cpu=0 bench=iir cycles=3516 instructions=2588 cache-misses=4
[sample=75] cpu=0 bench=iir cycles=3668 instructions=2591 cache-misses=7
[sample=76] cpu=0 bench=iir cycles=3472 instructions=2588 cache-misses=3
[sample=77] cpu=0 bench=iir cycles=3498 instructions=2588 cache-misses=5
[sample=78] cpu=0 bench=iir cycles=4707 instructions=2588 cache-misses=5
[sample=79] cpu=0 bench=iir cycles=3537 instructions=2588 cache-misses=4
[sample=80] cpu=0 bench=iir cycles=3515 instructions=2588 cache-misses=3
[sample=81] cpu=0 bench=iir cycles=3523 instructions=2588 cache-misses=4
