[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=PIPELINE  cpu2=PIPELINE  cpu3=PIPELINE
[sample=0] cpu=0 bench=iir cycles=9299 instructions=2593 cache-misses=18
[sample=1] cpu=0 bench=iir cycles=3824 instructions=2588 cache-misses=13
[sample=2] cpu=0 bench=iir cycles=3551 instructions=2589 cache-misses=10
[sample=3] cpu=0 bench=iir cycles=3543 instructions=2588 cache-misses=8
[sample=4] cpu=0 bench=iir cycles=3599 instructions=2589 cache-misses=9
[sample=5] cpu=0 bench=iir cycles=3650 instructions=2588 cache-misses=7
[sample=6] cpu=0 bench=iir cycles=3673 instructions=2588 cache-misses=10
[sample=7] cpu=0 bench=iir cycles=3649 instructions=2588 cache-misses=10
[sample=8] cpu=0 bench=iir cycles=3651 instructions=2589 cache-misses=10
[sample=9] cpu=0 bench=iir cycles=3593 instructions=2589 cache-misses=10
[sample=10] cpu=0 bench=iir cycles=3631 instructions=2589 cache-misses=9
[sample=11] cpu=0 bench=iir cycles=3589 instructions=2589 cache-misses=7
[sample=12] cpu=0 bench=iir cycles=3617 instructions=2589 cache-misses=11
[sample=13] cpu=0 bench=iir cycles=3572 instructions=2589 cache-misses=9
[sample=14] cpu=0 bench=iir cycles=3613 instructions=2589 cache-misses=10
[sample=15] cpu=0 bench=iir cycles=3580 instructions=2589 cache-misses=10
[sample=16] cpu=0 bench=iir cycles=3646 instructions=2589 cache-misses=9
[sample=17] cpu=0 bench=iir cycles=3605 instructions=2589 cache-misses=8
[sample=18] cpu=0 bench=iir cycles=3611 instructions=2589 cache-misses=10
[sample=19] cpu=0 bench=iir cycles=3611 instructions=2589 cache-misses=10
[sample=20] cpu=0 bench=iir cycles=3617 instructions=2588 cache-misses=10
[sample=21] cpu=0 bench=iir cycles=3596 instructions=2589 cache-misses=9
[sample=22] cpu=0 bench=iir cycles=3589 instructions=2588 cache-misses=9
[sample=23] cpu=0 bench=iir cycles=3628 instructions=2588 cache-misses=9
[sample=24] cpu=0 bench=iir cycles=3613 instructions=2588 cache-misses=10
[sample=25] cpu=0 bench=iir cycles=3628 instructions=2588 cache-misses=12
[sample=26] cpu=0 bench=iir cycles=3615 instructions=2588 cache-misses=9
[sample=27] cpu=0 bench=iir cycles=3633 instructions=2588 cache-misses=11
[sample=28] cpu=0 bench=iir cycles=3598 instructions=2588 cache-misses=8
[sample=29] cpu=0 bench=iir cycles=3576 instructions=2588 cache-misses=7
[sample=30] cpu=0 bench=iir cycles=3608 instructions=2589 cache-misses=10
[sample=31] cpu=0 bench=iir cycles=3604 instructions=2589 cache-misses=10
[sample=32] cpu=0 bench=iir cycles=3586 instructions=2589 cache-misses=9
[sample=33] cpu=0 bench=iir cycles=3623 instructions=2588 cache-misses=10
[sample=34] cpu=0 bench=iir cycles=3649 instructions=2589 cache-misses=9
[sample=35] cpu=0 bench=iir cycles=3565 instructions=2589 cache-misses=10
[sample=36] cpu=0 bench=iir cycles=3612 instructions=2589 cache-misses=9
[sample=37] cpu=0 bench=iir cycles=3607 instructions=2589 cache-misses=9
[sample=38] cpu=0 bench=iir cycles=3639 instructions=2589 cache-misses=12
[sample=39] cpu=0 bench=iir cycles=3631 instructions=2589 cache-misses=11
[sample=40] cpu=0 bench=iir cycles=3639 instructions=2589 cache-misses=9
[sample=41] cpu=0 bench=iir cycles=3606 instructions=2589 cache-misses=8
[sample=42] cpu=0 bench=iir cycles=3613 instructions=2589 cache-misses=11
