[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=MEM  cpu2=CACHE  cpu3=BUS  cpu4=POINTER
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=iir cycles=36446 instructions=2592 cache-misses=19
[sample=1] cpu=0 bench=iir cycles=23713 instructions=2589 cache-misses=12
[sample=2] cpu=0 bench=iir cycles=21866 instructions=2588 cache-misses=9
[sample=3] cpu=0 bench=iir cycles=21745 instructions=2588 cache-misses=10
[sample=4] cpu=0 bench=iir cycles=18606 instructions=2588 cache-misses=9
[sample=5] cpu=0 bench=iir cycles=21118 instructions=2588 cache-misses=9
[sample=6] cpu=0 bench=iir cycles=13215 instructions=2588 cache-misses=8
[sample=7] cpu=0 bench=iir cycles=18915 instructions=2588 cache-misses=7
[sample=8] cpu=0 bench=iir cycles=5646 instructions=2588 cache-misses=9
[sample=9] cpu=0 bench=iir cycles=3654 instructions=2588 cache-misses=11
[sample=10] cpu=0 bench=iir cycles=4089 instructions=2588 cache-misses=9
[sample=11] cpu=0 bench=iir cycles=7414 instructions=2588 cache-misses=9
[sample=12] cpu=0 bench=iir cycles=4105 instructions=2588 cache-misses=8
[sample=13] cpu=0 bench=iir cycles=3624 instructions=2588 cache-misses=9
[sample=14] cpu=0 bench=iir cycles=3816 instructions=2588 cache-misses=9
[sample=15] cpu=0 bench=iir cycles=5191 instructions=2588 cache-misses=8
[sample=16] cpu=0 bench=iir cycles=4230 instructions=2588 cache-misses=7
