[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=insertsort cycles=15418 instructions=2953 cache-misses=24
[sample=1] cpu=0 bench=insertsort cycles=12887 instructions=2946 cache-misses=17
[sample=2] cpu=0 bench=insertsort cycles=4457 instructions=2946 cache-misses=10
[sample=3] cpu=0 bench=insertsort cycles=4470 instructions=2946 cache-misses=11
[sample=4] cpu=0 bench=insertsort cycles=4444 instructions=2946 cache-misses=12
[sample=5] cpu=0 bench=insertsort cycles=4450 instructions=2946 cache-misses=12
[sample=6] cpu=0 bench=insertsort cycles=4498 instructions=2946 cache-misses=14
[sample=7] cpu=0 bench=insertsort cycles=4472 instructions=2946 cache-misses=12
[sample=8] cpu=0 bench=insertsort cycles=4444 instructions=2946 cache-misses=11
[sample=9] cpu=0 bench=insertsort cycles=4443 instructions=2946 cache-misses=13
[sample=10] cpu=0 bench=insertsort cycles=4382 instructions=2946 cache-misses=8
[sample=11] cpu=0 bench=insertsort cycles=4431 instructions=2946 cache-misses=12
[sample=12] cpu=0 bench=insertsort cycles=4447 instructions=2946 cache-misses=12
[sample=13] cpu=0 bench=insertsort cycles=4441 instructions=2946 cache-misses=12
[sample=14] cpu=0 bench=insertsort cycles=4440 instructions=2946 cache-misses=12
[sample=15] cpu=0 bench=insertsort cycles=4425 instructions=2946 cache-misses=10
[sample=16] cpu=0 bench=insertsort cycles=4449 instructions=2946 cache-misses=13
[sample=17] cpu=0 bench=insertsort cycles=4401 instructions=2946 cache-misses=11
[sample=18] cpu=0 bench=insertsort cycles=4448 instructions=2946 cache-misses=18
[sample=19] cpu=0 bench=insertsort cycles=4407 instructions=2946 cache-misses=14
[sample=20] cpu=0 bench=insertsort cycles=4388 instructions=2946 cache-misses=10
[sample=21] cpu=0 bench=insertsort cycles=4419 instructions=2946 cache-misses=13
[sample=22] cpu=0 bench=insertsort cycles=4460 instructions=2946 cache-misses=11
[sample=23] cpu=0 bench=insertsort cycles=4387 instructions=2946 cache-misses=11
[sample=24] cpu=0 bench=insertsort cycles=5259 instructions=2946 cache-misses=13
[sample=25] cpu=0 bench=insertsort cycles=5165 instructions=2946 cache-misses=9
[sample=26] cpu=0 bench=insertsort cycles=5415 instructions=2946 cache-misses=18
[sample=27] cpu=0 bench=insertsort cycles=4544 instructions=2946 cache-misses=11
[sample=28] cpu=0 bench=insertsort cycles=5021 instructions=2946 cache-misses=11
[sample=29] cpu=0 bench=insertsort cycles=4466 instructions=2946 cache-misses=11
[sample=30] cpu=0 bench=insertsort cycles=4996 instructions=2946 cache-misses=11
[sample=31] cpu=0 bench=insertsort cycles=4965 instructions=2946 cache-misses=12
[sample=32] cpu=0 bench=insertsort cycles=4884 instructions=2946 cache-misses=11
[sample=33] cpu=0 bench=insertsort cycles=4625 instructions=2947 cache-misses=11
[sample=34] cpu=0 bench=insertsort cycles=4413 instructions=2946 cache-misses=12
[sample=35] cpu=0 bench=insertsort cycles=4378 instructions=2946 cache-misses=12
[sample=36] cpu=0 bench=insertsort cycles=4388 instructions=2946 cache-misses=9
[sample=37] cpu=0 bench=insertsort cycles=4391 instructions=2946 cache-misses=11
[sample=38] cpu=0 bench=insertsort cycles=4433 instructions=2946 cache-misses=12
[sample=39] cpu=0 bench=insertsort cycles=4397 instructions=2946 cache-misses=10
[sample=40] cpu=0 bench=insertsort cycles=4462 instructions=2946 cache-misses=15
[sample=41] cpu=0 bench=insertsort cycles=4609 instructions=2946 cache-misses=15
[sample=42] cpu=0 bench=insertsort cycles=4416 instructions=2946 cache-misses=12
[sample=43] cpu=0 bench=insertsort cycles=4424 instructions=2946 cache-misses=12
[sample=44] cpu=0 bench=insertsort cycles=4414 instructions=2946 cache-misses=11
[sample=45] cpu=0 bench=insertsort cycles=4396 instructions=2946 cache-misses=13
[sample=46] cpu=0 bench=insertsort cycles=4414 instructions=2946 cache-misses=13
[sample=47] cpu=0 bench=insertsort cycles=4526 instructions=2946 cache-misses=16
