[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=insertsort cycles=13041 instructions=2954 cache-misses=22
[sample=1] cpu=0 bench=insertsort cycles=5089 instructions=2947 cache-misses=16
[sample=2] cpu=0 bench=insertsort cycles=4422 instructions=2947 cache-misses=13
[sample=3] cpu=0 bench=insertsort cycles=4545 instructions=2947 cache-misses=12
[sample=4] cpu=0 bench=insertsort cycles=4430 instructions=2947 cache-misses=9
[sample=5] cpu=0 bench=insertsort cycles=4434 instructions=2947 cache-misses=13
[sample=6] cpu=0 bench=insertsort cycles=4360 instructions=2947 cache-misses=13
[sample=7] cpu=0 bench=insertsort cycles=4360 instructions=2947 cache-misses=12
[sample=8] cpu=0 bench=insertsort cycles=4379 instructions=2947 cache-misses=13
[sample=9] cpu=0 bench=insertsort cycles=4396 instructions=2947 cache-misses=10
[sample=10] cpu=0 bench=insertsort cycles=4399 instructions=2947 cache-misses=11
[sample=11] cpu=0 bench=insertsort cycles=4369 instructions=2947 cache-misses=11
[sample=12] cpu=0 bench=insertsort cycles=4386 instructions=2947 cache-misses=11
[sample=13] cpu=0 bench=insertsort cycles=4397 instructions=2947 cache-misses=12
[sample=14] cpu=0 bench=insertsort cycles=4381 instructions=2947 cache-misses=11
[sample=15] cpu=0 bench=insertsort cycles=4397 instructions=2947 cache-misses=9
[sample=16] cpu=0 bench=insertsort cycles=4357 instructions=2947 cache-misses=11
[sample=17] cpu=0 bench=insertsort cycles=4396 instructions=2947 cache-misses=12
[sample=18] cpu=0 bench=insertsort cycles=4426 instructions=2947 cache-misses=12
[sample=19] cpu=0 bench=insertsort cycles=4412 instructions=2947 cache-misses=12
[sample=20] cpu=0 bench=insertsort cycles=4382 instructions=2947 cache-misses=13
[sample=21] cpu=0 bench=insertsort cycles=4410 instructions=2947 cache-misses=12
[sample=22] cpu=0 bench=insertsort cycles=4417 instructions=2947 cache-misses=11
[sample=23] cpu=0 bench=insertsort cycles=4455 instructions=2947 cache-misses=11
[sample=24] cpu=0 bench=insertsort cycles=4432 instructions=2947 cache-misses=12
[sample=25] cpu=0 bench=insertsort cycles=4475 instructions=2947 cache-misses=11
[sample=26] cpu=0 bench=insertsort cycles=4388 instructions=2947 cache-misses=10
[sample=27] cpu=0 bench=insertsort cycles=4406 instructions=2947 cache-misses=12
[sample=28] cpu=0 bench=insertsort cycles=4413 instructions=2947 cache-misses=13
[sample=29] cpu=0 bench=insertsort cycles=4369 instructions=2947 cache-misses=10
[sample=30] cpu=0 bench=insertsort cycles=4396 instructions=2947 cache-misses=11
[sample=31] cpu=0 bench=insertsort cycles=4403 instructions=2947 cache-misses=12
[sample=32] cpu=0 bench=insertsort cycles=4384 instructions=2947 cache-misses=9
[sample=33] cpu=0 bench=insertsort cycles=4374 instructions=2947 cache-misses=12
[sample=34] cpu=0 bench=insertsort cycles=4373 instructions=2947 cache-misses=10
[sample=35] cpu=0 bench=insertsort cycles=4427 instructions=2947 cache-misses=12
[sample=36] cpu=0 bench=insertsort cycles=4380 instructions=2947 cache-misses=10
[sample=37] cpu=0 bench=insertsort cycles=4392 instructions=2947 cache-misses=10
