[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=PIPELINE  cpu2=PIPELINE  cpu3=PIPELINE
[sample=0] cpu=0 bench=insertsort cycles=12178 instructions=2953 cache-misses=23
[sample=1] cpu=0 bench=insertsort cycles=4731 instructions=2947 cache-misses=17
[sample=2] cpu=0 bench=insertsort cycles=4448 instructions=2947 cache-misses=13
[sample=3] cpu=0 bench=insertsort cycles=4385 instructions=2947 cache-misses=12
[sample=4] cpu=0 bench=insertsort cycles=4382 instructions=2947 cache-misses=11
[sample=5] cpu=0 bench=insertsort cycles=4408 instructions=2947 cache-misses=12
[sample=6] cpu=0 bench=insertsort cycles=4462 instructions=2947 cache-misses=16
[sample=7] cpu=0 bench=insertsort cycles=4409 instructions=2947 cache-misses=13
[sample=8] cpu=0 bench=insertsort cycles=4419 instructions=2947 cache-misses=13
[sample=9] cpu=0 bench=insertsort cycles=4358 instructions=2947 cache-misses=12
[sample=10] cpu=0 bench=insertsort cycles=4433 instructions=2947 cache-misses=14
[sample=11] cpu=0 bench=insertsort cycles=4368 instructions=2947 cache-misses=12
[sample=12] cpu=0 bench=insertsort cycles=4378 instructions=2947 cache-misses=12
[sample=13] cpu=0 bench=insertsort cycles=4377 instructions=2947 cache-misses=13
[sample=14] cpu=0 bench=insertsort cycles=4395 instructions=2946 cache-misses=12
[sample=15] cpu=0 bench=insertsort cycles=4402 instructions=2946 cache-misses=12
[sample=16] cpu=0 bench=insertsort cycles=4425 instructions=2946 cache-misses=15
[sample=17] cpu=0 bench=insertsort cycles=4358 instructions=2946 cache-misses=11
[sample=18] cpu=0 bench=insertsort cycles=4339 instructions=2946 cache-misses=11
[sample=19] cpu=0 bench=insertsort cycles=4454 instructions=2946 cache-misses=14
[sample=20] cpu=0 bench=insertsort cycles=4626 instructions=2946 cache-misses=12
[sample=21] cpu=0 bench=insertsort cycles=4384 instructions=2946 cache-misses=12
[sample=22] cpu=0 bench=insertsort cycles=4390 instructions=2946 cache-misses=14
[sample=23] cpu=0 bench=insertsort cycles=4364 instructions=2947 cache-misses=12
[sample=24] cpu=0 bench=insertsort cycles=4364 instructions=2946 cache-misses=11
[sample=25] cpu=0 bench=insertsort cycles=4372 instructions=2947 cache-misses=11
[sample=26] cpu=0 bench=insertsort cycles=4417 instructions=2946 cache-misses=15
[sample=27] cpu=0 bench=insertsort cycles=4433 instructions=2947 cache-misses=15
[sample=28] cpu=0 bench=insertsort cycles=4380 instructions=2947 cache-misses=11
[sample=29] cpu=0 bench=insertsort cycles=4387 instructions=2947 cache-misses=13
[sample=30] cpu=0 bench=insertsort cycles=4352 instructions=2947 cache-misses=11
[sample=31] cpu=0 bench=insertsort cycles=4456 instructions=2946 cache-misses=15
[sample=32] cpu=0 bench=insertsort cycles=4458 instructions=2948 cache-misses=13
[sample=33] cpu=0 bench=insertsort cycles=4362 instructions=2947 cache-misses=13
[sample=34] cpu=0 bench=insertsort cycles=4376 instructions=2947 cache-misses=11
[sample=35] cpu=0 bench=insertsort cycles=4351 instructions=2946 cache-misses=10
[sample=36] cpu=0 bench=insertsort cycles=4397 instructions=2947 cache-misses=14
[sample=37] cpu=0 bench=insertsort cycles=4415 instructions=2947 cache-misses=16
[sample=38] cpu=0 bench=insertsort cycles=4404 instructions=2947 cache-misses=16
[sample=39] cpu=0 bench=insertsort cycles=4333 instructions=2947 cache-misses=14
[sample=40] cpu=0 bench=insertsort cycles=4367 instructions=2947 cache-misses=12
[sample=41] cpu=0 bench=insertsort cycles=4364 instructions=2947 cache-misses=13
[sample=42] cpu=0 bench=insertsort cycles=4326 instructions=2947 cache-misses=12
[sample=43] cpu=0 bench=insertsort cycles=4413 instructions=2947 cache-misses=14
[sample=44] cpu=0 bench=insertsort cycles=4400 instructions=2947 cache-misses=12
[sample=45] cpu=0 bench=insertsort cycles=4427 instructions=2947 cache-misses=14
[sample=46] cpu=0 bench=insertsort cycles=4419 instructions=2946 cache-misses=14
[sample=47] cpu=0 bench=insertsort cycles=4378 instructions=2947 cache-misses=13
[sample=48] cpu=0 bench=insertsort cycles=4393 instructions=2948 cache-misses=11
[sample=49] cpu=0 bench=insertsort cycles=4421 instructions=2947 cache-misses=16
[sample=50] cpu=0 bench=insertsort cycles=4374 instructions=2947 cache-misses=12
[sample=51] cpu=0 bench=insertsort cycles=4391 instructions=2946 cache-misses=13
[sample=52] cpu=0 bench=insertsort cycles=4405 instructions=2946 cache-misses=13
[sample=53] cpu=0 bench=insertsort cycles=4457 instructions=2947 cache-misses=14
[sample=54] cpu=0 bench=insertsort cycles=4428 instructions=2946 cache-misses=13
[sample=55] cpu=0 bench=insertsort cycles=4397 instructions=2946 cache-misses=15
[sample=56] cpu=0 bench=insertsort cycles=4391 instructions=2947 cache-misses=12
[sample=57] cpu=0 bench=insertsort cycles=4400 instructions=2946 cache-misses=14
[sample=58] cpu=0 bench=insertsort cycles=4408 instructions=2947 cache-misses=12
[sample=59] cpu=0 bench=insertsort cycles=4380 instructions=2947 cache-misses=10
[sample=60] cpu=0 bench=insertsort cycles=4393 instructions=2947 cache-misses=11
[sample=61] cpu=0 bench=insertsort cycles=4404 instructions=2947 cache-misses=13
[sample=62] cpu=0 bench=insertsort cycles=4401 instructions=2948 cache-misses=10
[sample=63] cpu=0 bench=insertsort cycles=4415 instructions=2947 cache-misses=12
[sample=64] cpu=0 bench=insertsort cycles=4356 instructions=2947 cache-misses=11
[sample=65] cpu=0 bench=insertsort cycles=4389 instructions=2947 cache-misses=15
[sample=66] cpu=0 bench=insertsort cycles=4428 instructions=2947 cache-misses=14
[sample=67] cpu=0 bench=insertsort cycles=4359 instructions=2947 cache-misses=12
[sample=68] cpu=0 bench=insertsort cycles=4474 instructions=2946 cache-misses=10
[sample=69] cpu=0 bench=insertsort cycles=4404 instructions=2947 cache-misses=12
[sample=70] cpu=0 bench=insertsort cycles=4449 instructions=2947 cache-misses=13
[sample=71] cpu=0 bench=insertsort cycles=4418 instructions=2947 cache-misses=12
[sample=72] cpu=0 bench=insertsort cycles=4362 instructions=2947 cache-misses=12
[sample=73] cpu=0 bench=insertsort cycles=4403 instructions=2947 cache-misses=13
[sample=74] cpu=0 bench=insertsort cycles=4383 instructions=2947 cache-misses=12
[sample=75] cpu=0 bench=insertsort cycles=4461 instructions=2947 cache-misses=14
[sample=76] cpu=0 bench=insertsort cycles=4397 instructions=2947 cache-misses=10
[sample=77] cpu=0 bench=insertsort cycles=4423 instructions=2947 cache-misses=13
[sample=78] cpu=0 bench=insertsort cycles=4387 instructions=2947 cache-misses=11
[sample=79] cpu=0 bench=insertsort cycles=4401 instructions=2947 cache-misses=14
[sample=80] cpu=0 bench=insertsort cycles=4415 instructions=2947 cache-misses=14
[sample=81] cpu=0 bench=insertsort cycles=4397 instructions=2947 cache-misses=11
[sample=82] cpu=0 bench=insertsort cycles=4428 instructions=2947 cache-misses=12
[sample=83] cpu=0 bench=insertsort cycles=4365 instructions=2947 cache-misses=11
[sample=84] cpu=0 bench=insertsort cycles=4456 instructions=2947 cache-misses=15
[sample=85] cpu=0 bench=insertsort cycles=4396 instructions=2947 cache-misses=12
[sample=86] cpu=0 bench=insertsort cycles=4427 instructions=2947 cache-misses=14
[sample=87] cpu=0 bench=insertsort cycles=4398 instructions=2947 cache-misses=13
[sample=88] cpu=0 bench=insertsort cycles=4402 instructions=2947 cache-misses=12
[sample=89] cpu=0 bench=insertsort cycles=4468 instructions=2947 cache-misses=14
[sample=90] cpu=0 bench=insertsort cycles=4437 instructions=2947 cache-misses=12
[sample=91] cpu=0 bench=insertsort cycles=4427 instructions=2947 cache-misses=13
[sample=92] cpu=0 bench=insertsort cycles=4413 instructions=2947 cache-misses=12
[sample=93] cpu=0 bench=insertsort cycles=4403 instructions=2947 cache-misses=12
[sample=94] cpu=0 bench=insertsort cycles=4366 instructions=2947 cache-misses=14
[sample=95] cpu=0 bench=insertsort cycles=4351 instructions=2947 cache-misses=12
[sample=96] cpu=0 bench=insertsort cycles=4371 instructions=2947 cache-misses=11
[sample=97] cpu=0 bench=insertsort cycles=4425 instructions=2947 cache-misses=17
[sample=98] cpu=0 bench=insertsort cycles=4368 instructions=2947 cache-misses=10
[sample=99] cpu=0 bench=insertsort cycles=4423 instructions=2947 cache-misses=14

# Statistics over 100 samples on cpu0 bench=insertsort (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        4326                12178              4483.12              4400.50
  instructions                  2946                 2953              2946.89              2947.00
  cache-misses                    10                   23                12.85                12.50
