[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=insertsort cycles=34335 instructions=2953 cache-misses=23
[sample=1] cpu=0 bench=insertsort cycles=43778 instructions=2946 cache-misses=16
[sample=2] cpu=0 bench=insertsort cycles=7831 instructions=2946 cache-misses=10
[sample=3] cpu=0 bench=insertsort cycles=5260 instructions=2946 cache-misses=10
[sample=4] cpu=0 bench=insertsort cycles=7286 instructions=2946 cache-misses=11
[sample=5] cpu=0 bench=insertsort cycles=8516 instructions=2947 cache-misses=15
[sample=6] cpu=0 bench=insertsort cycles=6966 instructions=2946 cache-misses=10
[sample=7] cpu=0 bench=insertsort cycles=6522 instructions=2946 cache-misses=14
[sample=8] cpu=0 bench=insertsort cycles=5951 instructions=2946 cache-misses=14
[sample=9] cpu=0 bench=insertsort cycles=20311 instructions=2946 cache-misses=13
[sample=10] cpu=0 bench=insertsort cycles=7428 instructions=2946 cache-misses=12
[sample=11] cpu=0 bench=insertsort cycles=10933 instructions=2946 cache-misses=16
[sample=12] cpu=0 bench=insertsort cycles=7047 instructions=2946 cache-misses=11
[sample=13] cpu=0 bench=insertsort cycles=7231 instructions=2946 cache-misses=12
[sample=14] cpu=0 bench=insertsort cycles=7360 instructions=2946 cache-misses=8
[sample=15] cpu=0 bench=insertsort cycles=7753 instructions=2946 cache-misses=11
[sample=16] cpu=0 bench=insertsort cycles=6869 instructions=2946 cache-misses=15
[sample=17] cpu=0 bench=insertsort cycles=7698 instructions=2947 cache-misses=12
[sample=18] cpu=0 bench=insertsort cycles=28675 instructions=2946 cache-misses=12
[sample=19] cpu=0 bench=insertsort cycles=13641 instructions=2946 cache-misses=8
[sample=20] cpu=0 bench=insertsort cycles=6989 instructions=2946 cache-misses=11
[sample=21] cpu=0 bench=insertsort cycles=8521 instructions=2946 cache-misses=12
[sample=22] cpu=0 bench=insertsort cycles=6612 instructions=2946 cache-misses=10
[sample=23] cpu=0 bench=insertsort cycles=6485 instructions=2946 cache-misses=15
[sample=24] cpu=0 bench=insertsort cycles=7464 instructions=2946 cache-misses=10
[sample=25] cpu=0 bench=insertsort cycles=5300 instructions=2946 cache-misses=13
[sample=26] cpu=0 bench=insertsort cycles=6425 instructions=2947 cache-misses=10
[sample=27] cpu=0 bench=insertsort cycles=6660 instructions=2946 cache-misses=11
[sample=28] cpu=0 bench=insertsort cycles=6945 instructions=2946 cache-misses=9
[sample=29] cpu=0 bench=insertsort cycles=10918 instructions=2946 cache-misses=11
[sample=30] cpu=0 bench=insertsort cycles=13653 instructions=2946 cache-misses=12
[sample=31] cpu=0 bench=insertsort cycles=15131 instructions=2946 cache-misses=12
[sample=32] cpu=0 bench=insertsort cycles=6011 instructions=2946 cache-misses=14
[sample=33] cpu=0 bench=insertsort cycles=7858 instructions=2946 cache-misses=12
[sample=34] cpu=0 bench=insertsort cycles=6870 instructions=2947 cache-misses=12
[sample=35] cpu=0 bench=insertsort cycles=5946 instructions=2946 cache-misses=11
[sample=36] cpu=0 bench=insertsort cycles=7413 instructions=2946 cache-misses=10
[sample=37] cpu=0 bench=insertsort cycles=9161 instructions=2946 cache-misses=13
[sample=38] cpu=0 bench=insertsort cycles=6772 instructions=2946 cache-misses=13
[sample=39] cpu=0 bench=insertsort cycles=8408 instructions=2947 cache-misses=10
[sample=40] cpu=0 bench=insertsort cycles=13486 instructions=2946 cache-misses=12
