[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=MEM  cpu2=CACHE  cpu3=BUS  cpu4=POINTER
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=insertsort cycles=49126 instructions=2953 cache-misses=23
[sample=1] cpu=0 bench=insertsort cycles=37868 instructions=2946 cache-misses=17
[sample=2] cpu=0 bench=insertsort cycles=34240 instructions=2947 cache-misses=19
[sample=3] cpu=0 bench=insertsort cycles=27329 instructions=2946 cache-misses=16
[sample=4] cpu=0 bench=insertsort cycles=18299 instructions=2947 cache-misses=15
[sample=5] cpu=0 bench=insertsort cycles=21075 instructions=2946 cache-misses=15
[sample=6] cpu=0 bench=insertsort cycles=32786 instructions=2946 cache-misses=17
[sample=7] cpu=0 bench=insertsort cycles=25491 instructions=2946 cache-misses=14
[sample=8] cpu=0 bench=insertsort cycles=15588 instructions=2946 cache-misses=15
[sample=9] cpu=0 bench=insertsort cycles=5089 instructions=2946 cache-misses=13
[sample=10] cpu=0 bench=insertsort cycles=9659 instructions=2946 cache-misses=16
[sample=11] cpu=0 bench=insertsort cycles=4679 instructions=2946 cache-misses=15
[sample=12] cpu=0 bench=insertsort cycles=5473 instructions=2946 cache-misses=16
[sample=13] cpu=0 bench=insertsort cycles=4671 instructions=2946 cache-misses=14
[sample=14] cpu=0 bench=insertsort cycles=5431 instructions=2947 cache-misses=16
[sample=15] cpu=0 bench=insertsort cycles=4919 instructions=2946 cache-misses=13
[sample=16] cpu=0 bench=insertsort cycles=4821 instructions=2946 cache-misses=15
[sample=17] cpu=0 bench=insertsort cycles=5230 instructions=2947 cache-misses=16
[sample=18] cpu=0 bench=insertsort cycles=4479 instructions=2946 cache-misses=16
[sample=19] cpu=0 bench=insertsort cycles=8599 instructions=2946 cache-misses=14
[sample=20] cpu=0 bench=insertsort cycles=6686 instructions=2946 cache-misses=18
