[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=iir (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=iir cycles=8314 instructions=2592 cache-misses=15
[sample=1] cpu=0 bench=iir cycles=3622 instructions=2589 cache-misses=9
[sample=2] cpu=0 bench=iir cycles=3535 instructions=2589 cache-misses=2
[sample=3] cpu=0 bench=iir cycles=3515 instructions=2588 cache-misses=0
[sample=4] cpu=0 bench=iir cycles=3529 instructions=2588 cache-misses=3
[sample=5] cpu=0 bench=iir cycles=3533 instructions=2588 cache-misses=3
[sample=6] cpu=0 bench=iir cycles=3536 instructions=2589 cache-misses=2
[sample=7] cpu=0 bench=iir cycles=3545 instructions=2589 cache-misses=0
[sample=8] cpu=0 bench=iir cycles=3519 instructions=2588 cache-misses=1
[sample=9] cpu=0 bench=iir cycles=3493 instructions=2588 cache-misses=0
[sample=10] cpu=0 bench=iir cycles=3513 instructions=2588 cache-misses=0
[sample=11] cpu=0 bench=iir cycles=3498 instructions=2588 cache-misses=2
[sample=12] cpu=0 bench=iir cycles=3538 instructions=2588 cache-misses=2
[sample=13] cpu=0 bench=iir cycles=3472 instructions=2588 cache-misses=1
[sample=14] cpu=0 bench=iir cycles=3550 instructions=2588 cache-misses=1
[sample=15] cpu=0 bench=iir cycles=3483 instructions=2588 cache-misses=0
[sample=16] cpu=0 bench=iir cycles=3524 instructions=2588 cache-misses=1
[sample=17] cpu=0 bench=iir cycles=3520 instructions=2588 cache-misses=0
[sample=18] cpu=0 bench=iir cycles=3500 instructions=2588 cache-misses=2
[sample=19] cpu=0 bench=iir cycles=3491 instructions=2588 cache-misses=0
[sample=20] cpu=0 bench=iir cycles=3503 instructions=2588 cache-misses=2
[sample=21] cpu=0 bench=iir cycles=3516 instructions=2588 cache-misses=2
[sample=22] cpu=0 bench=iir cycles=3486 instructions=2588 cache-misses=0
[sample=23] cpu=0 bench=iir cycles=3490 instructions=2588 cache-misses=1
[sample=24] cpu=0 bench=iir cycles=3536 instructions=2589 cache-misses=1
[sample=25] cpu=0 bench=iir cycles=3509 instructions=2588 cache-misses=1
