# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MAX_LLC  cpu2=MAX_LLC  cpu3=MAX_LLC
[sample=0] cpu=0 bench=fmref cycles=759437 instructions=454832 cache-misses=169
[sample=1] cpu=0 bench=fmref cycles=695640 instructions=417312 cache-misses=74
[sample=2] cpu=0 bench=fmref cycles=682062 instructions=417313 cache-misses=40
[sample=3] cpu=0 bench=fmref cycles=694907 instructions=417310 cache-misses=28
[sample=4] cpu=0 bench=fmref cycles=692289 instructions=417309 cache-misses=57
[sample=5] cpu=0 bench=fmref cycles=679194 instructions=417309 cache-misses=49
[sample=6] cpu=0 bench=fmref cycles=653754 instructions=417306 cache-misses=27
[sample=7] cpu=0 bench=fmref cycles=656008 instructions=417312 cache-misses=42
[sample=8] cpu=0 bench=fmref cycles=654576 instructions=417305 cache-misses=27
[sample=9] cpu=0 bench=fmref cycles=654418 instructions=417301 cache-misses=36
[sample=10] cpu=0 bench=fmref cycles=653780 instructions=417304 cache-misses=26
[sample=11] cpu=0 bench=fmref cycles=657083 instructions=417302 cache-misses=26
[sample=12] cpu=0 bench=fmref cycles=655492 instructions=417307 cache-misses=48
[sample=13] cpu=0 bench=fmref cycles=656511 instructions=417301 cache-misses=47
[sample=14] cpu=0 bench=fmref cycles=653951 instructions=417309 cache-misses=40
[sample=15] cpu=0 bench=fmref cycles=654150 instructions=417301 cache-misses=23
[sample=16] cpu=0 bench=fmref cycles=654654 instructions=417302 cache-misses=26
[sample=17] cpu=0 bench=fmref cycles=654848 instructions=417300 cache-misses=31
[sample=18] cpu=0 bench=fmref cycles=655136 instructions=417301 cache-misses=38
[sample=19] cpu=0 bench=fmref cycles=654502 instructions=417302 cache-misses=30
[sample=20] cpu=0 bench=fmref cycles=653691 instructions=417304 cache-misses=32
[sample=21] cpu=0 bench=fmref cycles=659689 instructions=417306 cache-misses=44
[sample=22] cpu=0 bench=fmref cycles=660910 instructions=417303 cache-misses=36
[sample=23] cpu=0 bench=fmref cycles=671439 instructions=417308 cache-misses=41
[sample=24] cpu=0 bench=fmref cycles=677208 instructions=417309 cache-misses=31
[sample=25] cpu=0 bench=fmref cycles=683828 instructions=417308 cache-misses=34
[sample=26] cpu=0 bench=fmref cycles=668578 instructions=417308 cache-misses=21
[sample=27] cpu=0 bench=fmref cycles=658214 instructions=417308 cache-misses=30
[sample=28] cpu=0 bench=fmref cycles=673547 instructions=417310 cache-misses=84
[sample=29] cpu=0 bench=fmref cycles=673578 instructions=417315 cache-misses=59
[sample=30] cpu=0 bench=fmref cycles=660328 instructions=417309 cache-misses=48
[sample=31] cpu=0 bench=fmref cycles=655490 instructions=417310 cache-misses=41
[sample=32] cpu=0 bench=fmref cycles=656475 instructions=417309 cache-misses=28
[sample=33] cpu=0 bench=fmref cycles=657173 instructions=417305 cache-misses=28
[sample=34] cpu=0 bench=fmref cycles=659416 instructions=417301 cache-misses=43
[sample=35] cpu=0 bench=fmref cycles=659510 instructions=417312 cache-misses=47
[sample=36] cpu=0 bench=fmref cycles=656810 instructions=417301 cache-misses=42
[sample=37] cpu=0 bench=fmref cycles=656299 instructions=417298 cache-misses=35
[sample=38] cpu=0 bench=fmref cycles=654613 instructions=417299 cache-misses=29
[sample=39] cpu=0 bench=fmref cycles=655117 instructions=417303 cache-misses=42
[sample=40] cpu=0 bench=fmref cycles=655526 instructions=417300 cache-misses=19
[sample=41] cpu=0 bench=fmref cycles=655530 instructions=417300 cache-misses=35
[sample=42] cpu=0 bench=fmref cycles=654709 instructions=417311 cache-misses=32
[sample=43] cpu=0 bench=fmref cycles=659637 instructions=417303 cache-misses=36
[sample=44] cpu=0 bench=fmref cycles=677523 instructions=417303 cache-misses=61
[sample=45] cpu=0 bench=fmref cycles=692186 instructions=417311 cache-misses=36
[sample=46] cpu=0 bench=fmref cycles=688500 instructions=417310 cache-misses=36
[sample=47] cpu=0 bench=fmref cycles=672889 instructions=417299 cache-misses=21
[sample=48] cpu=0 bench=fmref cycles=658673 instructions=417306 cache-misses=40
[sample=49] cpu=0 bench=fmref cycles=656116 instructions=417302 cache-misses=39
[sample=50] cpu=0 bench=fmref cycles=659066 instructions=417310 cache-misses=53
[sample=51] cpu=0 bench=fmref cycles=654881 instructions=417308 cache-misses=57
[sample=52] cpu=0 bench=fmref cycles=658322 instructions=417301 cache-misses=44
[sample=53] cpu=0 bench=fmref cycles=654384 instructions=417300 cache-misses=35
[sample=54] cpu=0 bench=fmref cycles=654971 instructions=417302 cache-misses=27
[sample=55] cpu=0 bench=fmref cycles=655325 instructions=417300 cache-misses=38
[sample=56] cpu=0 bench=fmref cycles=658759 instructions=417310 cache-misses=25
[sample=57] cpu=0 bench=fmref cycles=655176 instructions=417298 cache-misses=37
[sample=58] cpu=0 bench=fmref cycles=654530 instructions=417301 cache-misses=37
[sample=59] cpu=0 bench=fmref cycles=654381 instructions=417308 cache-misses=31
[sample=60] cpu=0 bench=fmref cycles=661281 instructions=417304 cache-misses=53
[sample=61] cpu=0 bench=fmref cycles=657766 instructions=417302 cache-misses=39
[sample=62] cpu=0 bench=fmref cycles=658921 instructions=417299 cache-misses=42
[sample=63] cpu=0 bench=fmref cycles=656602 instructions=417304 cache-misses=34
[sample=64] cpu=0 bench=fmref cycles=656366 instructions=417309 cache-misses=41
[sample=65] cpu=0 bench=fmref cycles=657393 instructions=417304 cache-misses=35
[sample=66] cpu=0 bench=fmref cycles=665666 instructions=417305 cache-misses=30
[sample=67] cpu=0 bench=fmref cycles=682862 instructions=417302 cache-misses=32
[sample=68] cpu=0 bench=fmref cycles=690876 instructions=417308 cache-misses=46
[sample=69] cpu=0 bench=fmref cycles=693607 instructions=417310 cache-misses=42
[sample=70] cpu=0 bench=fmref cycles=658936 instructions=417308 cache-misses=26
[sample=71] cpu=0 bench=fmref cycles=655399 instructions=417309 cache-misses=41
[sample=72] cpu=0 bench=fmref cycles=654918 instructions=417305 cache-misses=31
[sample=73] cpu=0 bench=fmref cycles=655273 instructions=417303 cache-misses=32
[sample=74] cpu=0 bench=fmref cycles=654245 instructions=417308 cache-misses=27
[sample=75] cpu=0 bench=fmref cycles=657389 instructions=417305 cache-misses=56
[sample=76] cpu=0 bench=fmref cycles=661584 instructions=417309 cache-misses=57
[sample=77] cpu=0 bench=fmref cycles=655111 instructions=417302 cache-misses=40
[sample=78] cpu=0 bench=fmref cycles=655137 instructions=417302 cache-misses=38
[sample=79] cpu=0 bench=fmref cycles=654247 instructions=417307 cache-misses=35
[sample=80] cpu=0 bench=fmref cycles=657908 instructions=417306 cache-misses=33
[sample=81] cpu=0 bench=fmref cycles=654221 instructions=417302 cache-misses=33
[sample=82] cpu=0 bench=fmref cycles=655163 instructions=417308 cache-misses=31
