# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MAX_MEM  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=0] cpu=0 bench=fmref cycles=804286 instructions=454826 cache-misses=131
[sample=1] cpu=0 bench=fmref cycles=806194 instructions=417317 cache-misses=130
[sample=2] cpu=0 bench=fmref cycles=743192 instructions=417319 cache-misses=76
[sample=3] cpu=0 bench=fmref cycles=728952 instructions=417313 cache-misses=73
[sample=4] cpu=0 bench=fmref cycles=732010 instructions=417317 cache-misses=74
[sample=5] cpu=0 bench=fmref cycles=736100 instructions=417309 cache-misses=71
[sample=6] cpu=0 bench=fmref cycles=738282 instructions=417309 cache-misses=74
[sample=7] cpu=0 bench=fmref cycles=736225 instructions=417311 cache-misses=74
[sample=8] cpu=0 bench=fmref cycles=752830 instructions=417316 cache-misses=81
[sample=9] cpu=0 bench=fmref cycles=730865 instructions=417309 cache-misses=75
[sample=10] cpu=0 bench=fmref cycles=743460 instructions=417311 cache-misses=72
[sample=11] cpu=0 bench=fmref cycles=739779 instructions=417318 cache-misses=91
[sample=12] cpu=0 bench=fmref cycles=724726 instructions=417317 cache-misses=73
[sample=13] cpu=0 bench=fmref cycles=724589 instructions=417313 cache-misses=94
[sample=14] cpu=0 bench=fmref cycles=714409 instructions=417313 cache-misses=75
[sample=15] cpu=0 bench=fmref cycles=696980 instructions=417313 cache-misses=78
[sample=16] cpu=0 bench=fmref cycles=679282 instructions=417311 cache-misses=85
[sample=17] cpu=0 bench=fmref cycles=677094 instructions=417317 cache-misses=67
[sample=18] cpu=0 bench=fmref cycles=686913 instructions=417314 cache-misses=68
[sample=19] cpu=0 bench=fmref cycles=695196 instructions=417318 cache-misses=84
[sample=20] cpu=0 bench=fmref cycles=739955 instructions=417317 cache-misses=88
[sample=21] cpu=0 bench=fmref cycles=740954 instructions=417312 cache-misses=93
[sample=22] cpu=0 bench=fmref cycles=733264 instructions=417316 cache-misses=76
[sample=23] cpu=0 bench=fmref cycles=731144 instructions=417309 cache-misses=84
[sample=24] cpu=0 bench=fmref cycles=739443 instructions=417312 cache-misses=69
[sample=25] cpu=0 bench=fmref cycles=733297 instructions=417315 cache-misses=78
[sample=26] cpu=0 bench=fmref cycles=732365 instructions=417314 cache-misses=73
[sample=27] cpu=0 bench=fmref cycles=714790 instructions=417310 cache-misses=76
[sample=28] cpu=0 bench=fmref cycles=727207 instructions=417311 cache-misses=78
[sample=29] cpu=0 bench=fmref cycles=725964 instructions=417309 cache-misses=77
[sample=30] cpu=0 bench=fmref cycles=739533 instructions=417316 cache-misses=75
[sample=31] cpu=0 bench=fmref cycles=734098 instructions=417310 cache-misses=81
[sample=32] cpu=0 bench=fmref cycles=720599 instructions=417306 cache-misses=72
[sample=33] cpu=0 bench=fmref cycles=723881 instructions=417310 cache-misses=82
[sample=34] cpu=0 bench=fmref cycles=703335 instructions=417310 cache-misses=71
[sample=35] cpu=0 bench=fmref cycles=682426 instructions=417315 cache-misses=74
[sample=36] cpu=0 bench=fmref cycles=682752 instructions=417313 cache-misses=77
[sample=37] cpu=0 bench=fmref cycles=700073 instructions=417315 cache-misses=74
[sample=38] cpu=0 bench=fmref cycles=704969 instructions=417308 cache-misses=72
[sample=39] cpu=0 bench=fmref cycles=713717 instructions=417305 cache-misses=77
[sample=40] cpu=0 bench=fmref cycles=745254 instructions=417315 cache-misses=75
[sample=41] cpu=0 bench=fmref cycles=738744 instructions=417312 cache-misses=82
[sample=42] cpu=0 bench=fmref cycles=726635 instructions=417306 cache-misses=80
[sample=43] cpu=0 bench=fmref cycles=728909 instructions=417313 cache-misses=84
