# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=cosf (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM
[sample=0] cpu=0 bench=cosf cycles=46270 instructions=23698 cache-misses=19
[sample=1] cpu=0 bench=cosf cycles=45249 instructions=23689 cache-misses=15
[sample=2] cpu=0 bench=cosf cycles=33458 instructions=23691 cache-misses=7
[sample=3] cpu=0 bench=cosf cycles=31992 instructions=23689 cache-misses=4
[sample=4] cpu=0 bench=cosf cycles=31638 instructions=23689 cache-misses=2
[sample=5] cpu=0 bench=cosf cycles=31076 instructions=23692 cache-misses=5
[sample=6] cpu=0 bench=cosf cycles=31020 instructions=23692 cache-misses=3
[sample=7] cpu=0 bench=cosf cycles=31000 instructions=23690 cache-misses=2
[sample=8] cpu=0 bench=cosf cycles=31417 instructions=23690 cache-misses=2
[sample=9] cpu=0 bench=cosf cycles=31814 instructions=23688 cache-misses=1
[sample=10] cpu=0 bench=cosf cycles=31385 instructions=23690 cache-misses=3
[sample=11] cpu=0 bench=cosf cycles=31188 instructions=23689 cache-misses=2
[sample=12] cpu=0 bench=cosf cycles=31842 instructions=23691 cache-misses=2
[sample=13] cpu=0 bench=cosf cycles=31016 instructions=23689 cache-misses=2
[sample=14] cpu=0 bench=cosf cycles=31024 instructions=23690 cache-misses=2
[sample=15] cpu=0 bench=cosf cycles=30921 instructions=23689 cache-misses=1
[sample=16] cpu=0 bench=cosf cycles=31374 instructions=23691 cache-misses=2
[sample=17] cpu=0 bench=cosf cycles=34193 instructions=23690 cache-misses=3
[sample=18] cpu=0 bench=cosf cycles=31318 instructions=23690 cache-misses=1
[sample=19] cpu=0 bench=cosf cycles=31549 instructions=23689 cache-misses=1
[sample=20] cpu=0 bench=cosf cycles=31245 instructions=23690 cache-misses=3
[sample=21] cpu=0 bench=cosf cycles=30982 instructions=23688 cache-misses=2
[sample=22] cpu=0 bench=cosf cycles=31040 instructions=23691 cache-misses=1
[sample=23] cpu=0 bench=cosf cycles=31039 instructions=23690 cache-misses=2
[sample=24] cpu=0 bench=cosf cycles=31082 instructions=23690 cache-misses=3
[sample=25] cpu=0 bench=cosf cycles=31321 instructions=23690 cache-misses=2
[sample=26] cpu=0 bench=cosf cycles=33236 instructions=23690 cache-misses=3
[sample=27] cpu=0 bench=cosf cycles=35258 instructions=23690 cache-misses=1
[sample=28] cpu=0 bench=cosf cycles=31396 instructions=23689 cache-misses=1
[sample=29] cpu=0 bench=cosf cycles=31042 instructions=23690 cache-misses=1
[sample=30] cpu=0 bench=cosf cycles=31064 instructions=23690 cache-misses=3
[sample=31] cpu=0 bench=cosf cycles=31058 instructions=23689 cache-misses=3
[sample=32] cpu=0 bench=cosf cycles=31095 instructions=23691 cache-misses=2
[sample=33] cpu=0 bench=cosf cycles=35562 instructions=23690 cache-misses=3
[sample=34] cpu=0 bench=cosf cycles=34096 instructions=23691 cache-misses=2
[sample=35] cpu=0 bench=cosf cycles=30951 instructions=23690 cache-misses=2
[sample=36] cpu=0 bench=cosf cycles=30952 instructions=23691 cache-misses=3
[sample=37] cpu=0 bench=cosf cycles=31011 instructions=23690 cache-misses=2
[sample=38] cpu=0 bench=cosf cycles=31018 instructions=23690 cache-misses=0
[sample=39] cpu=0 bench=cosf cycles=31045 instructions=23689 cache-misses=1
[sample=40] cpu=0 bench=cosf cycles=30996 instructions=23690 cache-misses=2
[sample=41] cpu=0 bench=cosf cycles=31045 instructions=23690 cache-misses=1
[sample=42] cpu=0 bench=cosf cycles=31045 instructions=23690 cache-misses=2
[sample=43] cpu=0 bench=cosf cycles=36157 instructions=23691 cache-misses=2
[sample=44] cpu=0 bench=cosf cycles=34917 instructions=23690 cache-misses=1
[sample=45] cpu=0 bench=cosf cycles=31284 instructions=23690 cache-misses=4
