# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MAX_MEM
[sample=0] cpu=0 bench=fmref cycles=772166 instructions=454828 cache-misses=137
[sample=1] cpu=0 bench=fmref cycles=665333 instructions=417309 cache-misses=72
[sample=2] cpu=0 bench=fmref cycles=684371 instructions=417309 cache-misses=96
[sample=3] cpu=0 bench=fmref cycles=676690 instructions=417314 cache-misses=68
[sample=4] cpu=0 bench=fmref cycles=654287 instructions=417308 cache-misses=37
[sample=5] cpu=0 bench=fmref cycles=653697 instructions=417309 cache-misses=30
[sample=6] cpu=0 bench=fmref cycles=653732 instructions=417301 cache-misses=29
[sample=7] cpu=0 bench=fmref cycles=653587 instructions=417311 cache-misses=23
[sample=8] cpu=0 bench=fmref cycles=653653 instructions=417307 cache-misses=28
[sample=9] cpu=0 bench=fmref cycles=654349 instructions=417301 cache-misses=28
[sample=10] cpu=0 bench=fmref cycles=654096 instructions=417302 cache-misses=30
[sample=11] cpu=0 bench=fmref cycles=658970 instructions=417311 cache-misses=52
[sample=12] cpu=0 bench=fmref cycles=654821 instructions=417305 cache-misses=37
[sample=13] cpu=0 bench=fmref cycles=658678 instructions=417306 cache-misses=27
[sample=14] cpu=0 bench=fmref cycles=653592 instructions=417312 cache-misses=22
[sample=15] cpu=0 bench=fmref cycles=653552 instructions=417306 cache-misses=25
[sample=16] cpu=0 bench=fmref cycles=653547 instructions=417313 cache-misses=26
[sample=17] cpu=0 bench=fmref cycles=653583 instructions=417301 cache-misses=26
[sample=18] cpu=0 bench=fmref cycles=653501 instructions=417312 cache-misses=28
[sample=19] cpu=0 bench=fmref cycles=696118 instructions=417314 cache-misses=74
[sample=20] cpu=0 bench=fmref cycles=688280 instructions=417312 cache-misses=54
[sample=21] cpu=0 bench=fmref cycles=658871 instructions=417310 cache-misses=42
[sample=22] cpu=0 bench=fmref cycles=653672 instructions=417307 cache-misses=24
[sample=23] cpu=0 bench=fmref cycles=654049 instructions=417312 cache-misses=26
[sample=24] cpu=0 bench=fmref cycles=654068 instructions=417304 cache-misses=29
[sample=25] cpu=0 bench=fmref cycles=656991 instructions=417307 cache-misses=27
[sample=26] cpu=0 bench=fmref cycles=654552 instructions=417305 cache-misses=26
[sample=27] cpu=0 bench=fmref cycles=725676 instructions=417324 cache-misses=100
[sample=28] cpu=0 bench=fmref cycles=662323 instructions=417315 cache-misses=54
[sample=29] cpu=0 bench=fmref cycles=654248 instructions=417306 cache-misses=36
[sample=30] cpu=0 bench=fmref cycles=653771 instructions=417303 cache-misses=26
[sample=31] cpu=0 bench=fmref cycles=653680 instructions=417312 cache-misses=32
[sample=32] cpu=0 bench=fmref cycles=653622 instructions=417303 cache-misses=27
[sample=33] cpu=0 bench=fmref cycles=653622 instructions=417309 cache-misses=26
[sample=34] cpu=0 bench=fmref cycles=653593 instructions=417304 cache-misses=28
[sample=35] cpu=0 bench=fmref cycles=684478 instructions=417315 cache-misses=115
[sample=36] cpu=0 bench=fmref cycles=657523 instructions=417315 cache-misses=65
[sample=37] cpu=0 bench=fmref cycles=654067 instructions=417307 cache-misses=42
[sample=38] cpu=0 bench=fmref cycles=654282 instructions=417314 cache-misses=35
[sample=39] cpu=0 bench=fmref cycles=654175 instructions=417305 cache-misses=30
[sample=40] cpu=0 bench=fmref cycles=654187 instructions=417307 cache-misses=24
[sample=41] cpu=0 bench=fmref cycles=654126 instructions=417301 cache-misses=25
[sample=42] cpu=0 bench=fmref cycles=654095 instructions=417301 cache-misses=23
[sample=43] cpu=0 bench=fmref cycles=654027 instructions=417303 cache-misses=23
[sample=44] cpu=0 bench=fmref cycles=685651 instructions=417315 cache-misses=89
[sample=45] cpu=0 bench=fmref cycles=665818 instructions=417304 cache-misses=54
[sample=46] cpu=0 bench=fmref cycles=657035 instructions=417307 cache-misses=32
[sample=47] cpu=0 bench=fmref cycles=653596 instructions=417306 cache-misses=30
[sample=48] cpu=0 bench=fmref cycles=653575 instructions=417301 cache-misses=27
[sample=49] cpu=0 bench=fmref cycles=653615 instructions=417306 cache-misses=28
[sample=50] cpu=0 bench=fmref cycles=656390 instructions=417302 cache-misses=40
[sample=51] cpu=0 bench=fmref cycles=665112 instructions=417311 cache-misses=82
[sample=52] cpu=0 bench=fmref cycles=655969 instructions=417309 cache-misses=52
[sample=53] cpu=0 bench=fmref cycles=654224 instructions=417300 cache-misses=42
[sample=54] cpu=0 bench=fmref cycles=653597 instructions=417307 cache-misses=40
[sample=55] cpu=0 bench=fmref cycles=653646 instructions=417305 cache-misses=36
[sample=56] cpu=0 bench=fmref cycles=654063 instructions=417302 cache-misses=27
[sample=57] cpu=0 bench=fmref cycles=653532 instructions=417312 cache-misses=25
[sample=58] cpu=0 bench=fmref cycles=658142 instructions=417310 cache-misses=63
[sample=59] cpu=0 bench=fmref cycles=655929 instructions=417314 cache-misses=56
[sample=60] cpu=0 bench=fmref cycles=654357 instructions=417310 cache-misses=39
[sample=61] cpu=0 bench=fmref cycles=654296 instructions=417306 cache-misses=25
[sample=62] cpu=0 bench=fmref cycles=654187 instructions=417309 cache-misses=30
[sample=63] cpu=0 bench=fmref cycles=654067 instructions=417303 cache-misses=24
[sample=64] cpu=0 bench=fmref cycles=654184 instructions=417303 cache-misses=27
[sample=65] cpu=0 bench=fmref cycles=653946 instructions=417306 cache-misses=18
[sample=66] cpu=0 bench=fmref cycles=668790 instructions=417317 cache-misses=66
[sample=67] cpu=0 bench=fmref cycles=673687 instructions=417304 cache-misses=53
[sample=68] cpu=0 bench=fmref cycles=654030 instructions=417312 cache-misses=43
[sample=69] cpu=0 bench=fmref cycles=653650 instructions=417307 cache-misses=29
[sample=70] cpu=0 bench=fmref cycles=653645 instructions=417306 cache-misses=26
[sample=71] cpu=0 bench=fmref cycles=654335 instructions=417307 cache-misses=22
[sample=72] cpu=0 bench=fmref cycles=653536 instructions=417315 cache-misses=28
[sample=73] cpu=0 bench=fmref cycles=653686 instructions=417308 cache-misses=27
[sample=74] cpu=0 bench=fmref cycles=659894 instructions=417313 cache-misses=76
[sample=75] cpu=0 bench=fmref cycles=654996 instructions=417305 cache-misses=49
[sample=76] cpu=0 bench=fmref cycles=654390 instructions=417308 cache-misses=39
[sample=77] cpu=0 bench=fmref cycles=653960 instructions=417308 cache-misses=28
[sample=78] cpu=0 bench=fmref cycles=653992 instructions=417302 cache-misses=24
[sample=79] cpu=0 bench=fmref cycles=653649 instructions=417302 cache-misses=28
[sample=80] cpu=0 bench=fmref cycles=654110 instructions=417304 cache-misses=31
[sample=81] cpu=0 bench=fmref cycles=653997 instructions=417301 cache-misses=22
[sample=82] cpu=0 bench=fmref cycles=674608 instructions=417312 cache-misses=79
[sample=83] cpu=0 bench=fmref cycles=658575 instructions=417311 cache-misses=56
[sample=84] cpu=0 bench=fmref cycles=654555 instructions=417306 cache-misses=37
[sample=85] cpu=0 bench=fmref cycles=653707 instructions=417306 cache-misses=34
[sample=86] cpu=0 bench=fmref cycles=653568 instructions=417306 cache-misses=24
[sample=87] cpu=0 bench=fmref cycles=653575 instructions=417306 cache-misses=25
[sample=88] cpu=0 bench=fmref cycles=653461 instructions=417303 cache-misses=23
[sample=89] cpu=0 bench=fmref cycles=653650 instructions=417305 cache-misses=25
[sample=90] cpu=0 bench=fmref cycles=664728 instructions=417312 cache-misses=83
[sample=91] cpu=0 bench=fmref cycles=655700 instructions=417306 cache-misses=51
[sample=92] cpu=0 bench=fmref cycles=654697 instructions=417304 cache-misses=40
[sample=93] cpu=0 bench=fmref cycles=653609 instructions=417304 cache-misses=35
[sample=94] cpu=0 bench=fmref cycles=653545 instructions=417309 cache-misses=31
[sample=95] cpu=0 bench=fmref cycles=653676 instructions=417305 cache-misses=28
[sample=96] cpu=0 bench=fmref cycles=653798 instructions=417307 cache-misses=33
[sample=97] cpu=0 bench=fmref cycles=659466 instructions=417317 cache-misses=73
[sample=98] cpu=0 bench=fmref cycles=654869 instructions=417308 cache-misses=50
[sample=99] cpu=0 bench=fmref cycles=657315 instructions=417304 cache-misses=42

# Statistics over 100 samples on cpu0 bench=fmref (background load on cpu1..cpu1)
# event                          min                  max                  avg               median
  cycles                      653461               772166            659406.81            654150.50
  instructions                417300               454828            417682.78            417307.00
  cache-misses                    18                  137                40.80                30.50
