# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=matrix1 (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM
[sample=0] cpu=0 bench=matrix1 cycles=39777 instructions=19924 cache-misses=33
[sample=1] cpu=0 bench=matrix1 cycles=25357 instructions=19919 cache-misses=24
[sample=2] cpu=0 bench=matrix1 cycles=38176 instructions=19919 cache-misses=25
[sample=3] cpu=0 bench=matrix1 cycles=35778 instructions=19916 cache-misses=23
[sample=4] cpu=0 bench=matrix1 cycles=29605 instructions=19918 cache-misses=12
[sample=5] cpu=0 bench=matrix1 cycles=41945 instructions=19919 cache-misses=23
[sample=6] cpu=0 bench=matrix1 cycles=25786 instructions=19919 cache-misses=21
[sample=7] cpu=0 bench=matrix1 cycles=39649 instructions=19918 cache-misses=20
[sample=8] cpu=0 bench=matrix1 cycles=38485 instructions=19919 cache-misses=26
[sample=9] cpu=0 bench=matrix1 cycles=26384 instructions=19923 cache-misses=29
[sample=10] cpu=0 bench=matrix1 cycles=25976 instructions=19918 cache-misses=16
[sample=11] cpu=0 bench=matrix1 cycles=37031 instructions=19919 cache-misses=15
[sample=12] cpu=0 bench=matrix1 cycles=25603 instructions=19919 cache-misses=19
[sample=13] cpu=0 bench=matrix1 cycles=39329 instructions=19915 cache-misses=24
[sample=14] cpu=0 bench=matrix1 cycles=27438 instructions=19919 cache-misses=24
[sample=15] cpu=0 bench=matrix1 cycles=44154 instructions=19920 cache-misses=30
[sample=16] cpu=0 bench=matrix1 cycles=26666 instructions=19919 cache-misses=23
[sample=17] cpu=0 bench=matrix1 cycles=26602 instructions=19920 cache-misses=24
[sample=18] cpu=0 bench=matrix1 cycles=43343 instructions=19920 cache-misses=24
[sample=19] cpu=0 bench=matrix1 cycles=28229 instructions=19920 cache-misses=22
[sample=20] cpu=0 bench=matrix1 cycles=27002 instructions=19919 cache-misses=23
[sample=21] cpu=0 bench=matrix1 cycles=37243 instructions=19920 cache-misses=18
[sample=22] cpu=0 bench=matrix1 cycles=26069 instructions=19920 cache-misses=25
[sample=23] cpu=0 bench=matrix1 cycles=27515 instructions=19917 cache-misses=22
[sample=24] cpu=0 bench=matrix1 cycles=29777 instructions=19916 cache-misses=27
[sample=25] cpu=0 bench=matrix1 cycles=33053 instructions=19917 cache-misses=20
[sample=26] cpu=0 bench=matrix1 cycles=43655 instructions=19916 cache-misses=25
[sample=27] cpu=0 bench=matrix1 cycles=41200 instructions=19920 cache-misses=29
[sample=28] cpu=0 bench=matrix1 cycles=29387 instructions=19914 cache-misses=28
[sample=29] cpu=0 bench=matrix1 cycles=40462 instructions=19919 cache-misses=19
[sample=30] cpu=0 bench=matrix1 cycles=29943 instructions=19916 cache-misses=25
[sample=31] cpu=0 bench=matrix1 cycles=28338 instructions=19917 cache-misses=28
[sample=32] cpu=0 bench=matrix1 cycles=45314 instructions=19917 cache-misses=23
[sample=33] cpu=0 bench=matrix1 cycles=38725 instructions=19913 cache-misses=20
[sample=34] cpu=0 bench=matrix1 cycles=25649 instructions=19914 cache-misses=25
[sample=35] cpu=0 bench=matrix1 cycles=22988 instructions=19916 cache-misses=16
[sample=36] cpu=0 bench=matrix1 cycles=22125 instructions=19918 cache-misses=21
[sample=37] cpu=0 bench=matrix1 cycles=22059 instructions=19919 cache-misses=23
[sample=38] cpu=0 bench=matrix1 cycles=23085 instructions=19918 cache-misses=15
[sample=39] cpu=0 bench=matrix1 cycles=33581 instructions=19917 cache-misses=19
[sample=40] cpu=0 bench=matrix1 cycles=29823 instructions=19919 cache-misses=28
[sample=41] cpu=0 bench=matrix1 cycles=21113 instructions=19917 cache-misses=22
[sample=42] cpu=0 bench=matrix1 cycles=24851 instructions=19919 cache-misses=20
[sample=43] cpu=0 bench=matrix1 cycles=27623 instructions=19918 cache-misses=16
[sample=44] cpu=0 bench=matrix1 cycles=20964 instructions=19899 cache-misses=14
[sample=45] cpu=0 bench=matrix1 cycles=21838 instructions=19919 cache-misses=15
[sample=46] cpu=0 bench=matrix1 cycles=22888 instructions=19918 cache-misses=19
[sample=47] cpu=0 bench=matrix1 cycles=29805 instructions=19917 cache-misses=13
[sample=48] cpu=0 bench=matrix1 cycles=31535 instructions=19918 cache-misses=22
[sample=49] cpu=0 bench=matrix1 cycles=32883 instructions=19913 cache-misses=16
[sample=50] cpu=0 bench=matrix1 cycles=26999 instructions=19918 cache-misses=20
[sample=51] cpu=0 bench=matrix1 cycles=28742 instructions=19918 cache-misses=22
[sample=52] cpu=0 bench=matrix1 cycles=27273 instructions=19919 cache-misses=19
[sample=53] cpu=0 bench=matrix1 cycles=26573 instructions=19918 cache-misses=21
[sample=54] cpu=0 bench=matrix1 cycles=46201 instructions=19918 cache-misses=28
[sample=55] cpu=0 bench=matrix1 cycles=28246 instructions=19916 cache-misses=26
