# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=CACHE  cpu2=MTH_BUS  cpu3=PR_ROWBUF
[sample=0] cpu=0 bench=fir2dim cycles=27174 instructions=10137 cache-misses=16
[sample=1] cpu=0 bench=fir2dim cycles=22060 instructions=10119 cache-misses=9
[sample=2] cpu=0 bench=fir2dim cycles=19824 instructions=10117 cache-misses=10
[sample=3] cpu=0 bench=fir2dim cycles=14252 instructions=10122 cache-misses=6
[sample=4] cpu=0 bench=fir2dim cycles=13567 instructions=10125 cache-misses=8
[sample=5] cpu=0 bench=fir2dim cycles=13219 instructions=10123 cache-misses=8
[sample=6] cpu=0 bench=fir2dim cycles=13230 instructions=10123 cache-misses=6
[sample=7] cpu=0 bench=fir2dim cycles=13201 instructions=10122 cache-misses=8
[sample=8] cpu=0 bench=fir2dim cycles=13279 instructions=10126 cache-misses=5
[sample=9] cpu=0 bench=fir2dim cycles=13224 instructions=10121 cache-misses=7
[sample=10] cpu=0 bench=fir2dim cycles=13192 instructions=10114 cache-misses=6
[sample=11] cpu=0 bench=fir2dim cycles=13406 instructions=10122 cache-misses=7
[sample=12] cpu=0 bench=fir2dim cycles=13326 instructions=10126 cache-misses=8
[sample=13] cpu=0 bench=fir2dim cycles=13265 instructions=10123 cache-misses=7
[sample=14] cpu=0 bench=fir2dim cycles=13169 instructions=10116 cache-misses=5
[sample=15] cpu=0 bench=fir2dim cycles=13291 instructions=10122 cache-misses=6
[sample=16] cpu=0 bench=fir2dim cycles=13188 instructions=10115 cache-misses=8
[sample=17] cpu=0 bench=fir2dim cycles=13209 instructions=10118 cache-misses=8
[sample=18] cpu=0 bench=fir2dim cycles=13211 instructions=10119 cache-misses=8
[sample=19] cpu=0 bench=fir2dim cycles=13673 instructions=10118 cache-misses=7
[sample=20] cpu=0 bench=fir2dim cycles=23165 instructions=10130 cache-misses=9
[sample=21] cpu=0 bench=fir2dim cycles=19927 instructions=10127 cache-misses=12
[sample=22] cpu=0 bench=fir2dim cycles=15336 instructions=10127 cache-misses=10
[sample=23] cpu=0 bench=fir2dim cycles=14447 instructions=10127 cache-misses=8
[sample=24] cpu=0 bench=fir2dim cycles=14302 instructions=10123 cache-misses=7
[sample=25] cpu=0 bench=fir2dim cycles=13288 instructions=10128 cache-misses=7
[sample=26] cpu=0 bench=fir2dim cycles=13494 instructions=10124 cache-misses=7
[sample=27] cpu=0 bench=fir2dim cycles=13227 instructions=10125 cache-misses=6
[sample=28] cpu=0 bench=fir2dim cycles=13273 instructions=10126 cache-misses=8
[sample=29] cpu=0 bench=fir2dim cycles=13261 instructions=10127 cache-misses=5
[sample=30] cpu=0 bench=fir2dim cycles=13226 instructions=10123 cache-misses=8
[sample=31] cpu=0 bench=fir2dim cycles=13286 instructions=10128 cache-misses=7
[sample=32] cpu=0 bench=fir2dim cycles=13281 instructions=10129 cache-misses=7
[sample=33] cpu=0 bench=fir2dim cycles=13298 instructions=10131 cache-misses=8
[sample=34] cpu=0 bench=fir2dim cycles=13211 instructions=10127 cache-misses=7
[sample=35] cpu=0 bench=fir2dim cycles=13219 instructions=10124 cache-misses=8
[sample=36] cpu=0 bench=fir2dim cycles=13193 instructions=10125 cache-misses=9
[sample=37] cpu=0 bench=fir2dim cycles=13224 instructions=10121 cache-misses=8
[sample=38] cpu=0 bench=fir2dim cycles=13245 instructions=10124 cache-misses=6
[sample=39] cpu=0 bench=fir2dim cycles=13248 instructions=10126 cache-misses=5
[sample=40] cpu=0 bench=fir2dim cycles=13301 instructions=10127 cache-misses=7
[sample=41] cpu=0 bench=fir2dim cycles=13164 instructions=10114 cache-misses=5
[sample=42] cpu=0 bench=fir2dim cycles=13199 instructions=10114 cache-misses=8
[sample=43] cpu=0 bench=fir2dim cycles=13101 instructions=10114 cache-misses=8
[sample=44] cpu=0 bench=fir2dim cycles=13154 instructions=10116 cache-misses=6
[sample=45] cpu=0 bench=fir2dim cycles=13158 instructions=10115 cache-misses=8
[sample=46] cpu=0 bench=fir2dim cycles=13114 instructions=10114 cache-misses=7
[sample=47] cpu=0 bench=fir2dim cycles=13164 instructions=10116 cache-misses=6
[sample=48] cpu=0 bench=fir2dim cycles=13147 instructions=10117 cache-misses=5
[sample=49] cpu=0 bench=fir2dim cycles=13149 instructions=10117 cache-misses=7
[sample=50] cpu=0 bench=fir2dim cycles=13068 instructions=10112 cache-misses=6
[sample=51] cpu=0 bench=fir2dim cycles=13879 instructions=10114 cache-misses=8
[sample=52] cpu=0 bench=fir2dim cycles=13135 instructions=10120 cache-misses=7
[sample=53] cpu=0 bench=fir2dim cycles=13225 instructions=10121 cache-misses=5
[sample=54] cpu=0 bench=fir2dim cycles=13107 instructions=10118 cache-misses=6
[sample=55] cpu=0 bench=fir2dim cycles=13108 instructions=10114 cache-misses=6
[sample=56] cpu=0 bench=fir2dim cycles=13497 instructions=10116 cache-misses=6
[sample=57] cpu=0 bench=fir2dim cycles=13401 instructions=10117 cache-misses=6
[sample=58] cpu=0 bench=fir2dim cycles=13189 instructions=10121 cache-misses=7
[sample=59] cpu=0 bench=fir2dim cycles=13210 instructions=10116 cache-misses=7
